id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__end_of_session',272.2220,35,1.0000,0
8699,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,42,0.8781,1
4676,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,78,0.6182,2
7021,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,33,0.5011,3
20780,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,34,0.3690,4
20364,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,80,0.3655,5
8936,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',162.9005,81,0.3270,6
20347,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,37,0.3131,7
11734,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.2453,8
17945,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,136,0.2427,9
19293,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,31,0.2382,10
8631,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,29,0.1631,11
7617,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,75,0.1544,12
65,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,135,0.1344,13
6541,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.1180,14
20005,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,100,0.1079,15
9717,5,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder',105.2941,101,0.1016,16
7918,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,64,0.0926,17
18997,7,b'7-syntactic_feature__obj_word__next_system_utterance__item',270.4851,36,0.0923,18
8888,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',1238.2639,1,0.0900,19
10129,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.0851,20
20714,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.0807,21
11145,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time',246.1264,43,0.0786,22
21447,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',201.7096,69,0.0691,23
8676,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n5',185.8872,73,0.0682,24
22501,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',168.8379,79,0.0636,25
19286,7,b'7-syntactic_feature__obj_word__next_system_utterance__task',121.8116,91,0.0630,26
20218,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,67,0.0629,27
7,2.1,b'2.1-user_action_words.current_user_utterance__item',117.9209,94,0.0577,28
16184,6,b'6-entity_feature__entity__next_system_utterance__\\_NUMBER',197.4073,71,0.0570,29
22288,7,b'7-syntactic_feature__subj_word__next_system_utterance__nyou',267.0933,38,0.0532,30
8664,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n4',207.3310,68,0.0492,31
63,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,137,0.0492,32
8683,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n7',129.8713,90,0.0491,33
8782,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nhere',260.2771,40,0.0479,34
21829,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',315.2330,23,0.0460,35
21216,7,b'7-syntactic_feature__root_word__next_system_utterance__remov',121.4450,92,0.0415,36
8632,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n10',81.7769,125,0.0409,37
4528,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nhere',259.5465,41,0.0405,38
0,1,b'1-utterance_length.current_user_utterance__utterance_length',223.7570,48,0.0404,39
21952,7,b'7-syntactic_feature__subj_word__next_system_utterance__-lsb-',217.1369,51,0.0374,40
20659,7,b'7-syntactic_feature__root_word__next_system_utterance__discard',175.6339,76,0.0373,41
64,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,132,0.0370,42
17944,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,130,0.0349,43
21155,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',85.1059,122,0.0313,44
21218,7,b'7-syntactic_feature__root_word__next_system_utterance__rephras',101.5515,102,0.0270,45
