id,name,prefix,chi2,pval
0,b'5-phrase_feature__noun_phrases__next_system_utterance__remover',b'5',1501.9779,0.0000
1,b'5-phrase_feature__noun_phrases__next_system_utterance__nutritional_reseach_uic',b'5',1238.2639,0.0000
2,b'5-phrase_feature__noun_phrases__next_system_utterance__new_child',b'5',1040.3301,0.0000
3,b'5-phrase_feature__noun_phrases__next_system_utterance__new_candy',b'5',1040.3301,0.0000
4,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_n53',b'5',1040.3301,0.0000
5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_n6',b'5',1040.3301,0.0000
6,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_n6',b'5',935.3846,0.0000
7,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nremind',b'5',935.3846,0.0000
8,b'4.1-ngram.current_user_utterance__zyrtec',b'4.1',897.9034,0.0000
9,b'5-phrase_feature__noun_phrases__next_system_utterance__etc.',b'5',743.7167,0.0000
10,b'3-time_feature__turns_from_start',b'3',671.9179,0.0000
11,b'7-syntactic_feature__subj_word__next_system_utterance__stuf',b'7',506.3669,0.0000
12,b'5-phrase_feature__noun_phrases__next_system_utterance__lemon_seltzer',b'5',388.6406,0.0000
13,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nif',b'5',365.0066,0.0000
14,b'5-phrase_feature__noun_phrases__next_system_utterance__nourish_\\_n10',b'5',365.0066,0.0000
15,b'5-phrase_feature__noun_phrases__next_system_utterance__softener_sheets',b'5',355.6549,0.0000
16,b'6-entity_feature__entity__next_system_utterance__gmt-05:00_TIME',b'6',351.7964,0.0000
17,b'5-phrase_feature__noun_phrases__next_system_utterance__hair_skin_\\',b'5',351.7964,0.0000
18,b'5-phrase_feature__noun_phrases__next_system_utterance__xxx-xxx-7496',b'5',351.6712,0.0000
19,b'7-syntactic_feature__root_word__next_system_utterance__bullion',b'7',349.5698,0.0000
20,b'7-syntactic_feature__root_word__next_system_utterance__eras',b'7',344.4768,0.0000
21,b'7-syntactic_feature__root_word__current_user_utterance__water',b'7',339.6939,0.0000
22,b'7-syntactic_feature__root_word__next_system_utterance__lifeguard',b'7',327.9754,0.0000
23,b'7-syntactic_feature__root_word__next_user_utterance__turkey',b'7',315.2330,0.0000
24,b'4.1-ngram.next_user_utterance__workout',b'4.1',315.2330,0.0000
25,b'7-syntactic_feature__obj_word__next_system_utterance__powder',b'7',314.5180,0.0000
26,b'7-syntactic_feature__root_word__next_system_utterance__violet',b'7',303.6067,0.0000
27,b'5-phrase_feature__noun_phrases__next_system_utterance__parchment_paper',b'5',299.1515,0.0000
28,b'7-syntactic_feature__root_word__next_system_utterance__dal',b'7',297.2825,0.0000
29,b'7-syntactic_feature__obj_word__next_system_utterance__pm',b'7',297.2295,0.0000
30,b"5-phrase_feature__noun_phrases__next_system_utterance__n'show_list",b'5',295.9841,0.0000
31,b'7-syntactic_feature__subj_word__next_system_utterance__product',b'7',293.9305,0.0000
32,b'7-syntactic_feature__obj_word__next_system_utterance__stuff',b'7',285.7022,0.0000
33,b'4.1-ngram.next_system_utterance__zucchinis',b'4.1',285.2474,0.0000
