id,name,prefix,chi2,pval
0,b'3-time_feature__turns_from_start',b'3',10060.3908,0.0000
1,b'3-time_feature__time_ratio',b'3',2854.4766,0.0000
2,b'7-syntactic_feature__subj_word__next_system_utterance__tandoori',b'7',2188.7270,0.0000
3,b'5-phrase_feature__noun_phrases__next_system_utterance__entrance_fee',b'5',1813.1816,0.0000
4,b'5-phrase_feature__noun_phrases__next_system_utterance__little_saint',b'5',1159.8529,0.0000
5,b'7-syntactic_feature__root_word__next_system_utterance__hinton',b'7',1120.8550,0.0000
6,b'7-syntactic_feature__root_word__next_system_utterance__charg',b'7',834.1992,0.0000
7,b'7-syntactic_feature__root_word__next_user_utterance__sure',b'7',774.3776,0.0000
8,b'7-syntactic_feature__root_word__current_user_utterance__uhhh',b'7',696.0335,0.0000
9,b'4.1-ngram.next_system_utterance__yippee',b'4.1',665.9143,0.0000
10,b'7-syntactic_feature__root_word__next_system_utterance__hear',b'7',617.6721,0.0000
11,b'7-syntactic_feature__root_word__next_user_utterance__um',b'7',562.5987,0.0000
12,b'5-phrase_feature__noun_phrases__next_user_utterance__breathing_spanish_restaurant',b'5',560.2088,0.0000
13,b'5-phrase_feature__noun_phrases__next_user_utterance__girton',b'5',554.4238,0.0000
14,b'2.2-#user_action_words.current_user_utterance__utterance_length',b'2.2',543.3024,0.0000
15,b'7-syntactic_feature__root_word__next_system_utterance__no',b'7',541.9996,0.0000
16,b'5-phrase_feature__noun_phrases__next_system_utterance__park',b'5',533.6286,0.0000
17,b'2.1-user_action_words.current_user_utterance__address',b'2.1',518.1937,0.0000
18,b'5-phrase_feature__noun_phrases__current_user_utterance__addonbrookes_area',b'5',517.1957,0.0000
19,b'5-phrase_feature__noun_phrases__next_system_utterance__peas_hill',b'5',511.3760,0.0000
20,b'5-phrase_feature__noun_phrases__next_system_utterance__peking_restaurant',b'5',511.3760,0.0000
21,b'5-phrase_feature__noun_phrases__next_system_utterance__noodle',b'5',511.3760,0.0000
22,b'5-phrase_feature__noun_phrases__next_system_utterance__jinling_noodle',b'5',495.5897,0.0000
23,b'7-syntactic_feature__obj_word__next_system_utterance__pound',b'7',466.5424,0.0000
24,b'5-phrase_feature__noun_phrases__next_user_utterance__northern_european_restaurant',b'5',449.7773,0.0000
25,b'2.1-user_action_words.next_user_utterance__list',b'2.1',449.7773,0.0000
26,b'5-phrase_feature__noun_phrases__next_user_utterance__peking_restaurant',b'5',443.1393,0.0000
27,b'2.1-user_action_words.next_user_utterance__moder',b'2.1',443.1393,0.0000
28,b'7-syntactic_feature__obj_word__next_system_utterance__drink',b'7',442.7794,0.0000
29,b'5-phrase_feature__noun_phrases__next_system_utterance__trumpington',b'5',442.7794,0.0000
30,b'5-phrase_feature__noun_phrases__next_user_utterance__pho',b'5',438.1765,0.0000
31,b'5-phrase_feature__noun_phrases__current_user_utterance__northern_european',b'5',432.7138,0.0000
32,b'2.1-user_action_words.current_user_utterance__number',b'2.1',432.7138,0.0000
33,b'2.1-user_action_words.current_user_utterance__phone',b'2.1',432.1026,0.0000
34,b'5-phrase_feature__noun_phrases__current_user_utterance__peking_restaurant',b'5',432.1026,0.0000
35,b'5-phrase_feature__noun_phrases__current_user_utterance__phnne_number',b'5',430.3287,0.0000
36,b'5-phrase_feature__noun_phrases__next_user_utterance__addonbrookes_area',b'5',421.5448,0.0000
37,b'4.1-ngram.next_system_utterance__yippee noodle bar',b'4.1',421.5448,0.0000
38,b'5-phrase_feature__noun_phrases__next_user_utterance__cafe',b'5',419.7978,0.0000
39,b'5-phrase_feature__noun_phrases__next_system_utterance__milton_country',b'5',415.2967,0.0000
40,b'7-syntactic_feature__obj_word__current_user_utterance__ya',b'7',415.2967,0.0000
41,b'7-syntactic_feature__root_word__next_system_utterance__parad',b'7',404.8427,0.0000
42,b'7-syntactic_feature__root_word__next_system_utterance__f1',b'7',397.1010,0.0000
43,b'7-syntactic_feature__subj_word__next_system_utterance__i',b'7',376.5040,0.0000
44,b'2.1-user_action_words.next_user_utterance__telephon',b'2.1',358.3450,0.0000
45,b'5-phrase_feature__noun_phrases__next_system_utterance__university_botanic_gardens',b'5',356.3895,0.0000
46,b'5-phrase_feature__noun_phrases__next_system_utterance__silver',b'5',344.8455,0.0000
47,b'4.1-ngram.current_user_utterance__addonsbookes area',b'4.1',344.7469,0.0000
48,b'7-syntactic_feature__root_word__next_system_utterance__play',b'7',339.0116,0.0000
49,b'4.1-ngram.next_user_utterance__thai',b'4.1',333.4715,0.0000
50,b'5-phrase_feature__noun_phrases__next_system_utterance__corpus',b'5',332.8822,0.0000
51,b'5-phrase_feature__noun_phrases__next_system_utterance__lynne_strover',b'5',332.8822,0.0000
52,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode_cb4_6df',b'5',332.8822,0.0000
53,b'7-syntactic_feature__root_word__next_user_utterance__contemporari',b'7',326.9468,0.0000
54,b'5-phrase_feature__noun_phrases__next_system_utterance__clare_hall',b'5',317.6879,0.0000
55,b'5-phrase_feature__noun_phrases__next_user_utterance__going',b'5',311.8463,0.0000
56,b'7-syntactic_feature__subj_word__next_system_utterance__kohinoor',b'7',310.9899,0.0000
57,b'4.1-ngram.current_user_utterance__yes restaurant',b'4.1',301.5740,0.0000
58,b'7-syntactic_feature__subj_word__next_system_utterance__eagl',b'7',299.3307,0.0000
59,b'7-syntactic_feature__root_word__next_system_utterance__help',b'7',273.3423,0.0000
60,b'1-utterance_length.current_user_utterance__utterance_length',b'1',255.2932,0.0000
61,b'7-syntactic_feature__root_word__next_system_utterance__have',b'7',253.6060,0.0000
62,b'5-phrase_feature__noun_phrases__current_user_utterance__vhurch',b'5',251.1847,0.0000
63,b'4.1-ngram.next_user_utterance__cafe',b'4.1',249.4201,0.0000
64,b'5-phrase_feature__noun_phrases__next_user_utterance__regency_gallery',b'5',240.2505,0.0000
65,b'5-phrase_feature__noun_phrases__current_user_utterance__repeat_address',b'5',235.1914,0.0000
66,b'4.1-ngram.next_user_utterance__doesnt matter',b'4.1',234.8901,0.0000
67,b'4.1-ngram.next_user_utterance__addonbrookes area',b'4.1',232.4335,0.0000
68,b'4.1-ngram.next_user_utterance__doesnt',b'4.1',229.8376,0.0000
69,b'5-phrase_feature__noun_phrases__next_system_utterance__other_children',b'5',229.3330,0.0000
70,b'5-phrase_feature__noun_phrases__next_system_utterance__restaurant_serving_spanish',b'5',226.5808,0.0000
71,b'4.1-ngram.next_user_utterance__breathing sil',b'4.1',223.3413,0.0000
72,b'4.1-ngram.next_user_utterance__gallery',b'4.1',221.3249,0.0000
73,b'4.1-ngram.next_user_utterance__girton',b'4.1',220.4684,0.0000
74,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',b'2.3.1',220.2308,0.0000
75,b'4.1-ngram.next_user_utterance__thank address phone',b'4.1',218.6260,0.0000
76,b'4.1-ngram.next_user_utterance__thank bu',b'4.1',215.8310,0.0000
77,b'5-phrase_feature__noun_phrases__next_user_utterance__vhurch',b'5',214.6384,0.0000
78,b'5-phrase_feature__noun_phrases__next_system_utterance__granta',b'5',210.5947,0.0000
79,b'5-phrase_feature__noun_phrases__next_system_utterance__play',b'5',199.0477,0.0000
80,b'5-phrase_feature__noun_phrases__next_system_utterance__milton_park_english',b'5',195.4431,0.0000
81,b'7-syntactic_feature__root_word__next_user_utterance__whisper',b'7',192.6696,0.0000
82,b'7-syntactic_feature__root_word__next_user_utterance__mex',b'7',192.4609,0.0000
83,b'5-phrase_feature__noun_phrases__next_system_utterance__star',b'5',191.0994,0.0000
84,b'4.1-ngram.next_system_utterance__european middleeastern',b'4.1',187.8127,0.0000
85,b'4.1-ngram.current_user_utterance__phone num',b'4.1',187.0974,0.0000
86,b'4.1-ngram.current_user_utterance__perfect',b'4.1',185.5460,0.0000
87,b'5-phrase_feature__noun_phrases__next_system_utterance__regency_gallery',b'5',182.7536,0.0000
88,b'4.1-ngram.current_user_utterance__num',b'4.1',182.4017,0.0000
89,b'4.1-ngram.next_user_utterance__good day',b'4.1',182.2327,0.0000
90,b'4.1-ngram.next_user_utterance__thank good bye',b'4.1',178.8764,0.0000
91,b'7-syntactic_feature__root_word__current_user_utterance__price',b'7',177.4425,0.0000
92,b'5-phrase_feature__noun_phrases__next_system_utterance__fulbourn',b'5',171.6527,0.0000
93,b'3-time_feature__start_of_session',b'3',170.5127,0.0000
