id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__end_of_session',272.2220,35,1.0000,0
19293,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,31,0.3406,1
4676,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,78,0.2902,2
8699,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,42,0.2440,3
20347,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,37,0.2296,4
17945,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,784,0.2085,5
65,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,770,0.2042,6
20364,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,80,0.1754,7
20714,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.1492,8
8683,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n7',129.8713,90,0.1407,9
7021,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,33,0.1381,10
7918,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,64,0.1293,11
20005,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,100,0.1066,12
10129,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.0999,13
22684,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=171',0.0000,503,0.0989,14
8392,5,b'5-phrase_feature__noun_phrases__next_system_utterance__milk',42.8263,202,0.0940,15
35,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.0862,16
19122,7,b'7-syntactic_feature__obj_word__next_system_utterance__n5',59.7503,159,0.0821,17
23185,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=83',0.0000,1059,0.0810,18
22979,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=167',0.0000,1017,0.0759,19
22919,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=112',0.0000,371,0.0705,20
