id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8699,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,42,1.0000,0
30,3,b'3-time_feature__end_of_session',272.2220,35,0.7654,1
20364,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,80,0.5053,2
4676,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,78,0.4195,3
7021,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,33,0.3960,4
20347,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,37,0.3183,5
20780,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,34,0.2990,6
22621,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,263,0.2090,7
19293,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,31,0.1768,8
11734,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.1623,9
10129,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.1406,10
22614,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,265,0.1284,11
9717,5,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder',105.2941,101,0.1166,12
11335,5,b'5-phrase_feature__noun_phrases__next_system_utterance__typing',48.4614,194,0.1089,13
20714,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.1066,14
20005,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,100,0.1053,15
9311,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,152,0.1052,16
19122,7,b'7-syntactic_feature__obj_word__next_system_utterance__n5',59.7503,159,0.1015,17
8053,5,b'5-phrase_feature__noun_phrases__next_system_utterance__list',169.7379,77,0.0979,18
35,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.0855,19
8705,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_ntype',56.1006,167,0.0855,20
21071,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',56.2694,166,0.0854,21
7918,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,64,0.0846,22
8634,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n12',66.2984,147,0.0826,23
7076,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',71.7207,139,0.0781,24
8631,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,29,0.0760,25
8636,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n14',42.3540,220,0.0725,26
8642,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n2',260.7042,39,0.0673,27
21447,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',201.7096,69,0.0647,28
