id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
95,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,4982,1.0000,0
21616,7,b'7-syntactic_feature__root_word__next_user_utterance__play',105.8380,47,0.8622,1
94,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,4981,0.6015,2
30105,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,3734,0.4713,3
9096,5,b'5-phrase_feature__noun_phrases__next_system_utterance__oz_orange',41.9590,203,0.3314,4
9656,5,b'5-phrase_feature__noun_phrases__next_system_utterance__provider',41.9590,192,0.2636,5
7958,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',157.3596,21,0.2512,6
25728,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,1639,0.2005,7
18600,7,b'7-syntactic_feature__obj_word__current_user_utterance__athena',41.9590,221,0.1820,8
19332,7,b'7-syntactic_feature__obj_word__next_system_utterance__name',147.9556,25,0.1648,9
25687,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,1652,0.1585,10
44,3,b'3-time_feature__end_of_session',110.1752,41,0.1432,11
23978,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1964',0.0000,3369,0.1299,12
19469,7,b'7-syntactic_feature__obj_word__next_system_utterance__tri',48.4269,164,0.1140,13
25689,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1343',0.0000,1654,0.1117,14
26098,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1711',0.0000,1138,0.1096,15
26182,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1788',0.0000,1495,0.1088,16
25802,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1445',0.0000,1985,0.1076,17
24435,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2375',0.0000,3228,0.1056,18
28860,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2037',0.0000,3791,0.1024,19
19361,7,b'7-syntactic_feature__obj_word__next_system_utterance__pizza',83.9180,77,0.0997,20
27049,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=408',0.0000,5713,0.0989,21
18571,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,4988,0.0965,22
26831,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2371',0.0000,6372,0.0942,23
43,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,4979,0.0938,24
27526,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=838',0.0000,7067,0.0938,25
26755,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2302',0.0000,6355,0.0932,26
25882,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1517',0.0000,1794,0.0926,27
27337,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=668',0.0000,7169,0.0925,28
23147,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1215',0.0000,2783,0.0925,29
25984,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1609',0.0000,1243,0.0922,30
18307,6,b'6-entity_feature__entity__next_user_utterance__katy perry roar_PERSON',41.9590,226,0.0900,31
27983,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1248',0.0000,6648,0.0880,32
93,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,4980,0.0879,33
