id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__end_of_session',272.2220,36,1.0000,0
31442,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,34,0.2234,1
29097,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,87,0.2184,2
7246,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,153,0.2146,3
45479,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,47,0.1922,4
44785,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,89,0.1833,5
45135,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.1716,6
33357,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',162.9005,92,0.1699,7
33732,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,208,0.1699,8
30962,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.1650,9
47414,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=18',0.0000,998,0.1635,10
36155,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.1632,11
2791,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,794,0.1595,12
47508,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=264',0.0000,1129,0.1512,13
42366,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,790,0.1298,14
43418,7,b'7-syntactic_feature__obj_word__next_system_utterance__item',270.4851,37,0.1190,15
47451,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=212',0.0000,888,0.1114,16
16923,4.1,b'4.1-ngram.next_system_utterance__nyou',213.1769,71,0.1081,17
47473,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=232',0.0000,947,0.1076,18
24486,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,783,0.0974,19
47318,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=94',0.0000,357,0.0848,20
44426,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,115,0.0805,21
47405,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=171',0.0000,1025,0.0796,22
47456,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=217',0.0000,893,0.0794,23
47122,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=187',0.0000,553,0.0785,24
47572,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=52',0.0000,1156,0.0734,25
47737,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=20',0.0000,621,0.0731,26
44639,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,74,0.0707,27
45201,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,35,0.0676,28
47254,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=36',0.0000,294,0.0651,29
47683,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=151',0.0000,678,0.0641,30
