id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
33052,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,30,1.0000,0
30,3,b'3-time_feature__end_of_session',272.2220,36,0.9846,1
31442,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,34,0.9600,2
44785,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,89,0.8278,3
29097,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,87,0.7080,4
30962,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.7077,5
7246,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,153,0.5888,6
33120,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,43,0.5784,7
45201,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,35,0.4623,8
43714,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,32,0.4244,9
44768,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,38,0.3691,10
32038,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,84,0.3379,11
33732,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,208,0.2799,12
47106,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,265,0.2799,13
44426,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,115,0.2534,14
47090,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,322,0.2132,15
47033,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1005',0.0000,268,0.1985,16
35566,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time',246.1264,46,0.1857,17
33309,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',1238.2639,1,0.1775,18
43418,7,b'7-syntactic_feature__obj_word__next_system_utterance__item',270.4851,37,0.1740,19
47099,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,279,0.1645,20
45135,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.1622,21
47031,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1003',0.0000,285,0.1558,22
40605,6,b'6-entity_feature__entity__next_system_utterance__\\_NUMBER',197.4073,78,0.1546,23
28841,5,b'5-phrase_feature__noun_phrases__next_system_utterance__<name>',62.9198,211,0.1514,24
7333,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.1513,25
45392,7,b'7-syntactic_feature__root_word__next_system_utterance__milk',69.2227,188,0.1432,26
33357,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',162.9005,92,0.1382,27
33126,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_ntype',56.1006,233,0.1302,28
31497,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',71.7207,180,0.1294,29
45492,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',56.2694,232,0.1274,30
7,2.1,b'2.1-user_action_words.current_user_utterance__item',117.9209,109,0.1269,31
