id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
961,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,4980,1.0000,0
30,3,b'3-time_feature__time_ratio',251.2757,68,0.4354,1
5237,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,4981,0.2913,2
5239,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,4983,0.1602,3
15776,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,3734,0.1004,4
27,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,4978,0.1001,5
7667,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,4988,0.0899,6
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.0842,7
6760,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,77,0.0724,8
960,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,4979,0.0619,9
8374,7,b'7-syntactic_feature__root_word__next_user_utterance__what',380.8588,42,0.0607,10
12287,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2178',0.0000,6303,0.0591,11
11848,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1783',0.0000,1490,0.0496,12
10794,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=835',0.0000,383,0.0463,13
12464,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2337',0.0000,6392,0.0460,14
6900,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,21,0.0459,15
7427,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,15,0.0455,16
31,3,b'3-time_feature__turns_from_start',2873.4959,1,0.0443,17
10081,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2352',0.0000,2931,0.0438,18
11702,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1651',0.0000,1314,0.0428,19
11079,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1090',0.0000,505,0.0394,20
12353,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2237',0.0000,6515,0.0370,21
9172,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1534',0.0000,2049,0.0370,22
12023,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1940',0.0000,1448,0.0345,23
12298,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2188',0.0000,6460,0.0342,24
10095,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2365',0.0000,3081,0.0342,25
13830,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1406',0.0000,6827,0.0338,26
11926,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1853',0.0000,1514,0.0334,27
11444,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1419',0.0000,1902,0.0328,28
12072,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1985',0.0000,6235,0.0318,29
9342,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1688',0.0000,2248,0.0317,30
6029,5,b'5-phrase_feature__noun_phrases__next_system_utterance__c.b',140.4303,108,0.0316,31
11671,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1623',0.0000,1259,0.0312,32
9948,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2232',0.0000,3070,0.0304,33
12127,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2033',0.0000,6289,0.0302,34
9473,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1805',0.0000,3411,0.0294,35
11291,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1281',0.0000,1683,0.0292,36
9248,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1602',0.0000,2370,0.0285,37
9130,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1497',0.0000,2035,0.0280,38
11428,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1404',0.0000,1913,0.0269,39
8969,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1351',0.0000,2744,0.0265,40
11986,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1907',0.0000,1356,0.0265,41
9277,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1629',0.0000,2345,0.0264,42
11749,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1694',0.0000,1174,0.0264,43
8884,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1275',0.0000,2822,0.0263,44
9847,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2141',0.0000,3622,0.0262,45
11288,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1279',0.0000,1746,0.0258,46
11875,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1807',0.0000,1463,0.0257,47
11490,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1460',0.0000,1948,0.0255,48
12484,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2355',0.0000,6413,0.0254,49
11268,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1260',0.0000,1726,0.0251,50
12460,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2333',0.0000,6331,0.0249,51
11941,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1867',0.0000,1529,0.0240,52
9457,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1791',0.0000,3450,0.0239,53
12166,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2069',0.0000,6270,0.0236,54
7450,6,b'6-entity_feature__entity__next_system_utterance__1_NUMBER',78.7023,192,0.0235,55
4614,4.1,b'4.1-ngram.next_user_utterance__address',275.7813,64,0.0235,56
9661,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1975',0.0000,3517,0.0234,57
11590,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1550',0.0000,1861,0.0232,58
14,2.1,b'2.1-user_action_words.current_user_utterance__north',78.9246,190,0.0231,59
14614,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2111',0.0000,3815,0.0230,60
14012,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1570',0.0000,4381,0.0229,61
9181,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1542',0.0000,2085,0.0229,62
9001,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1380',0.0000,2722,0.0228,63
12225,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2121',0.0000,6095,0.0227,64
12240,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2135',0.0000,6168,0.0227,65
10616,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=675',0.0000,1074,0.0226,66
10040,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2315',0.0000,2890,0.0221,67
11511,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=148',0.0000,1885,0.0221,68
8670,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1082',0.0000,2608,0.0219,69
8839,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1234',0.0000,2777,0.0218,70
13624,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1220',0.0000,6561,0.0218,71
10853,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=889',0.0000,441,0.0215,72
4613,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',156.4017,104,0.0214,73
9669,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1982',0.0000,3661,0.0212,74
12404,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2283',0.0000,6420,0.0211,75
12457,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2330',0.0000,6328,0.0210,76
12348,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2232',0.0000,6510,0.0210,77
13855,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1429',0.0000,6793,0.0210,78
9622,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=194',0.0000,3396,0.0210,79
12205,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2103',0.0000,6075,0.0209,80
14802,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2281',0.0000,4062,0.0208,81
9768,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2070',0.0000,3681,0.0208,82
9721,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2028',0.0000,3713,0.0208,83
8914,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1301',0.0000,2690,0.0207,84
13639,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1234',0.0000,6634,0.0205,85
11936,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1862',0.0000,1524,0.0204,86
12354,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2238',0.0000,6516,0.0203,87
14363,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1887',0.0000,4499,0.0200,88
9971,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2253',0.0000,3039,0.0199,89
13704,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1293',0.0000,6933,0.0198,90
9505,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1834',0.0000,3497,0.0196,91
9385,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1726',0.0000,2236,0.0196,92
14350,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1875',0.0000,4544,0.0196,93
9348,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1693',0.0000,2254,0.0194,94
12196,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2096',0.0000,6125,0.0194,95
9146,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1510',0.0000,2021,0.0194,96
11987,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1908',0.0000,1358,0.0194,97
12230,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2126',0.0000,6129,0.0193,98
9398,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1738',0.0000,2303,0.0193,99
12204,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2102',0.0000,6074,0.0192,100
5243,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_phone_number',73.1872,205,0.0190,101
12602,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=301',0.0000,5830,0.0190,102
8149,7,b'7-syntactic_feature__root_word__next_user_utterance__address',111.9276,135,0.0190,103
10075,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2347',0.0000,2925,0.0190,104
5242,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_phone',73.1872,204,0.0189,105
11979,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1900',0.0000,1350,0.0188,106
8937,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1322',0.0000,2658,0.0185,107
8941,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1326',0.0000,2661,0.0184,108
