id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=0',0.0000,257,1.0000,0
3,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=100',0.0000,93,0.2915,1
256,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,65,0.2762,2
5,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=102',0.0000,91,0.2702,3
18,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=114',0.0000,78,0.1083,4
15,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=111',0.0000,81,0.1040,5
9,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=106',0.0000,87,0.0910,6
1,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=1',0.0000,95,0.0728,7
8,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=105',0.0000,88,0.0720,8
2,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=10',0.0000,94,0.0716,9
4,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=101',0.0000,92,0.0534,10
27,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=122',0.0000,69,0.0489,11
65,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=157',0.0000,63,0.0441,12
22,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=118',0.0000,74,0.0424,13
19,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=115',0.0000,77,0.0422,14
20,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=116',0.0000,76,0.0346,15
26,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=121',0.0000,70,0.0343,16
10,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=107',0.0000,86,0.0329,17
14,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=110',0.0000,82,0.0320,18
