id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
1,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=1',0.0000,2,1.0000,0
15,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=111',0.0000,9,0.8081,1
2,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=10',0.0000,3,0.7978,2
0,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=0',0.0000,16,0.4843,3
10,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=107',0.0000,11,0.3829,4
3,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=100',0.0000,4,0.3179,5
9,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=106',0.0000,10,0.3025,6
6,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=103',0.0000,7,0.2618,7
16,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,0,0.2451,8
8,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=105',0.0000,8,0.1702,9
13,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=11',0.0000,14,0.1299,10
5,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=102',0.0000,6,0.1208,11
12,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=109',0.0000,13,0.0997,12
4,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=101',0.0000,5,0.0821,13
7,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=104',0.0000,1,0.0730,14
14,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=110',0.0000,15,0.0636,15
11,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=108',0.0000,12,0.0257,16
