id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=0',0.0000,256,1.0000,0
2,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=10',0.0000,93,0.5488,1
1,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=1',0.0000,94,0.2329,2
256,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,0,0.1078,3
22,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=118',0.0000,73,0.0581,4
19,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=115',0.0000,76,0.0469,5
12,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=109',0.0000,83,0.0351,6
9,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=106',0.0000,86,0.0305,7
30,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=125',0.0000,81,0.0262,8
45,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=139',0.0000,114,0.0262,9
18,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=114',0.0000,77,0.0250,10
47,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=140',0.0000,98,0.0233,11
21,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=117',0.0000,74,0.0200,12
41,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=135',0.0000,118,0.0168,13
8,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=105',0.0000,87,0.0159,14
70,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=161',0.0000,25,0.0151,15
5,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=102',0.0000,90,0.0151,16
6,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=103',0.0000,89,0.0149,17
38,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=132',0.0000,121,0.0129,18
79,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=17',0.0000,16,0.0120,19
23,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=119',0.0000,72,0.0117,20
31,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=126',0.0000,96,0.0114,21
10,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=107',0.0000,85,0.0113,22
69,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=160',0.0000,26,0.0110,23
58,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=150',0.0000,101,0.0110,24
26,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=121',0.0000,69,0.0109,25
15,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=111',0.0000,66,0.0101,26
50,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=143',0.0000,109,0.0100,27
44,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=138',0.0000,115,0.0098,28
77,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=168',0.0000,18,0.0097,29
48,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=141',0.0000,111,0.0095,30
216,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=293',0.0000,137,0.0094,31
11,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=108',0.0000,84,0.0094,32
13,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=11',0.0000,82,0.0092,33
237,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=42',0.0000,181,0.0091,34
25,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=120',0.0000,70,0.0091,35
17,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=113',0.0000,78,0.0091,36
34,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=129',0.0000,125,0.0089,37
87,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=177',0.0000,8,0.0087,38
16,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=112',0.0000,79,0.0084,39
219,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=296',0.0000,134,0.0084,40
20,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=116',0.0000,75,0.0083,41
126,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=211',0.0000,127,0.0082,42
225,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=31',0.0000,162,0.0080,43
24,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=12',0.0000,71,0.0077,44
29,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=124',0.0000,95,0.0076,45
104,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=192',0.0000,56,0.0072,46
7,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=104',0.0000,88,0.0071,47
197,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=276',0.0000,156,0.0071,48
32,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=127',0.0000,113,0.0070,49
27,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=122',0.0000,68,0.0069,50
159,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=241',0.0000,210,0.0068,51
78,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=169',0.0000,17,0.0068,52
39,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=133',0.0000,120,0.0067,53
136,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=220',0.0000,217,0.0067,54
3,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=100',0.0000,92,0.0066,55
236,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=41',0.0000,182,0.0065,56
4,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=101',0.0000,91,0.0064,57
193,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=272',0.0000,192,0.0063,58
232,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=38',0.0000,186,0.0063,59
91,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=180',0.0000,4,0.0061,60
28,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=123',0.0000,67,0.0061,61
119,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=205',0.0000,41,0.0060,62
88,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=178',0.0000,7,0.0059,63
56,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=149',0.0000,103,0.0058,64
170,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=251',0.0000,247,0.0058,65
86,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=176',0.0000,9,0.0058,66
33,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=128',0.0000,126,0.0058,67
202,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=280',0.0000,151,0.0058,68
178,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=259',0.0000,239,0.0057,69
224,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=30',0.0000,161,0.0056,70
60,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=152',0.0000,99,0.0054,71
130,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=215',0.0000,223,0.0054,72
68,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=16',0.0000,27,0.0052,73
55,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=148',0.0000,104,0.0052,74
244,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=49',0.0000,174,0.0051,75
66,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=158',0.0000,29,0.0051,76
106,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=194',0.0000,54,0.0050,77
114,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=200',0.0000,46,0.0050,78
53,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=146',0.0000,106,0.0050,79
111,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=199',0.0000,48,0.0050,80
154,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=237',0.0000,199,0.0049,81
100,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=189',0.0000,60,0.0049,82
40,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=134',0.0000,119,0.0048,83
133,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=218',0.0000,220,0.0048,84
71,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=162',0.0000,24,0.0048,85
82,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=172',0.0000,13,0.0048,86
94,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=183',0.0000,31,0.0046,87
14,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=110',0.0000,80,0.0044,88
67,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=159',0.0000,28,0.0044,89
195,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=274',0.0000,158,0.0043,90
120,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=206',0.0000,40,0.0043,91
135,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=22',0.0000,218,0.0043,92
141,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=225',0.0000,212,0.0043,93
83,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=173',0.0000,12,0.0043,94
187,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=267',0.0000,230,0.0041,95
80,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=170',0.0000,15,0.0041,96
76,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=167',0.0000,19,0.0040,97
37,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=131',0.0000,122,0.0040,98
57,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=15',0.0000,102,0.0039,99
96,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=185',0.0000,33,0.0039,100
62,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=154',0.0000,65,0.0039,101
129,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=214',0.0000,130,0.0038,102
110,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=198',0.0000,50,0.0038,103
214,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=291',0.0000,139,0.0038,104
52,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=145',0.0000,107,0.0037,105
140,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=224',0.0000,213,0.0035,106
227,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=33',0.0000,191,0.0035,107
234,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=4',0.0000,184,0.0035,108
153,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=236',0.0000,200,0.0034,109
72,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=163',0.0000,23,0.0034,110
92,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=181',0.0000,3,0.0034,111
160,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=242',0.0000,225,0.0032,112
243,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=48',0.0000,175,0.0032,113
238,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=43',0.0000,180,0.0032,114
251,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=55',0.0000,167,0.0032,115
182,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=262',0.0000,235,0.0031,116
109,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=197',0.0000,51,0.0031,117
46,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=14',0.0000,112,0.0031,118
217,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=294',0.0000,136,0.0030,119
209,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=287',0.0000,144,0.0030,120
42,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=136',0.0000,117,0.0030,121
223,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=3',0.0000,160,0.0030,122
51,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=144',0.0000,108,0.0029,123
240,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=45',0.0000,177,0.0029,124
