id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7200,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,0,1.0000,0
1795,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=454',0.0000,3007,0.3277,1
3272,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1783',0.0000,940,0.2941,2
2868,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1419',0.0000,1407,0.2250,3
3888,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2337',0.0000,6281,0.1850,4
1464,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2315',0.0000,2733,0.1848,5
3668,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2139',0.0000,6061,0.1695,6
2503,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1090',0.0000,353,0.1676,7
3173,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1694',0.0000,1065,0.1676,8
308,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1275',0.0000,2659,0.1651,9
3711,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2178',0.0000,5965,0.1549,10
596,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1534',0.0000,1808,0.1442,11
5254,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1406',0.0000,6747,0.1416,12
3126,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1651',0.0000,1637,0.1387,13
2935,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=148',0.0000,1727,0.1379,14
3350,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1853',0.0000,961,0.1274,15
897,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1805',0.0000,2699,0.1267,16
379,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1339',0.0000,2491,0.1211,17
2715,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1281',0.0000,1507,0.1182,18
809,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1726',0.0000,2078,0.1178,19
393,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1351',0.0000,2533,0.1160,20
6226,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2281',0.0000,3837,0.1159,21
3195,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1713',0.0000,1031,0.1147,22
3095,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1623',0.0000,1661,0.1111,23
3629,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2103',0.0000,5991,0.1106,24
