id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7200,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,0,1.0000,0
3193,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1711',0.0000,1029,0.1455,1
3079,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1609',0.0000,1590,0.1397,2
4621,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=838',0.0000,6790,0.1172,3
3926,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2371',0.0000,6263,0.1117,4
3659,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2130',0.0000,6052,0.1096,5
2823,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,1391,0.0991,6
2782,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,1562,0.0990,7
314,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1280',0.0000,2651,0.0962,8
3954,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2397',0.0000,6123,0.0961,9
2897,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1445',0.0000,1422,0.0872,10
3259,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1771',0.0000,1095,0.0817,11
3626,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2100',0.0000,6007,0.0814,12
799,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1717',0.0000,2056,0.0775,13
2977,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1517',0.0000,1713,0.0760,14
2884,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1433',0.0000,1451,0.0741,15
4144,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=408',0.0000,5581,0.0740,16
5955,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2037',0.0000,3791,0.0701,17
877,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1788',0.0000,2089,0.0691,18
974,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1875',0.0000,3367,0.0651,19
3277,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1788',0.0000,945,0.0643,20
3354,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1857',0.0000,965,0.0608,21
3365,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1867',0.0000,976,0.0583,22
3716,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2182',0.0000,5885,0.0576,23
3458,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1950',0.0000,1322,0.0570,24
286,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1255',0.0000,2679,0.0551,25
242,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1215',0.0000,2635,0.0534,26
1167,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2048',0.0000,3504,0.0532,27
6001,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2079',0.0000,3611,0.0526,28
3757,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2219',0.0000,5869,0.0515,29
3652,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2124',0.0000,5989,0.0507,30
6336,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2380',0.0000,5072,0.0502,31
4432,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=668',0.0000,5644,0.0501,32
2790,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1349',0.0000,1526,0.0483,33
2921,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1467',0.0000,1432,0.0479,34
3906,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2353',0.0000,6299,0.0472,35
3164,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1686',0.0000,1055,0.0439,36
3494,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1983',0.0000,1162,0.0438,37
3325,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1830',0.0000,992,0.0437,38
3900,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2348',0.0000,6293,0.0437,39
614,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1550',0.0000,1826,0.0428,40
4325,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=571',0.0000,5762,0.0425,41
2939,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1483',0.0000,1730,0.0423,42
3919,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2365',0.0000,6256,0.0418,43
4181,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=441',0.0000,5450,0.0417,44
3835,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=229',0.0000,6228,0.0414,45
3776,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2236',0.0000,5944,0.0413,46
3646,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2119',0.0000,5983,0.0409,47
6128,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2193',0.0000,3964,0.0407,48
3723,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2189',0.0000,5892,0.0399,49
5781,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1881',0.0000,4293,0.0398,50
