id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1003',0.0000,344,1.0000,0
18,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1013',0.0000,333,0.5255,1
9,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1005',0.0000,342,0.4323,2
8,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1004',0.0000,343,0.3797,3
10,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1006',0.0000,341,0.3655,4
0,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=0',0.0000,1024,0.2622,5
3,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=100',0.0000,348,0.2465,6
12,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1008',0.0000,339,0.1353,7
27,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1021',0.0000,324,0.1215,8
2,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=10',0.0000,349,0.1023,9
1024,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,0,0.0870,10
22,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1017',0.0000,329,0.0826,11
16,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1011',0.0000,335,0.0769,12
1,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1',0.0000,350,0.0585,13
62,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1053',0.0000,320,0.0581,14
44,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1037',0.0000,371,0.0492,15
54,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1046',0.0000,361,0.0481,16
4,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1000',0.0000,347,0.0472,17
11,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1007',0.0000,340,0.0406,18
6,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1002',0.0000,345,0.0382,19
73,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1063',0.0000,278,0.0352,20
69,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=106',0.0000,282,0.0349,21
84,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1073',0.0000,267,0.0341,22
66,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1057',0.0000,285,0.0339,23
28,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1022',0.0000,323,0.0323,24
593,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1531',0.0000,784,0.0313,25
965,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1867',0.0000,669,0.0302,26
100,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1088',0.0000,315,0.0301,27
83,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1072',0.0000,268,0.0292,28
14,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=101',0.0000,336,0.0290,29
998,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1897',0.0000,700,0.0274,30
77,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1067',0.0000,274,0.0272,31
944,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1848',0.0000,753,0.0265,32
48,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1040',0.0000,367,0.0257,33
143,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1126',0.0000,450,0.0252,34
849,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1762',0.0000,528,0.0251,35
684,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1613',0.0000,1013,0.0250,36
445,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1399',0.0000,227,0.0245,37
59,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1050',0.0000,356,0.0235,38
414,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1370',0.0000,223,0.0230,39
799,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1717',0.0000,594,0.0224,40
771,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1692',0.0000,606,0.0222,41
19,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1014',0.0000,332,0.0217,42
662,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1594',0.0000,971,0.0215,43
29,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1023',0.0000,351,0.0212,44
916,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1822',0.0000,718,0.0209,45
357,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1319',0.0000,59,0.0209,46
487,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1436',0.0000,185,0.0208,47
65,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1056',0.0000,286,0.0207,48
126,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1110',0.0000,321,0.0204,49
39,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1032',0.0000,376,0.0203,50
826,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1741',0.0000,615,0.0199,51
672,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1602',0.0000,993,0.0198,52
714,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1640',0.0000,919,0.0193,53
25,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=102',0.0000,326,0.0189,54
31,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1025',0.0000,352,0.0186,55
994,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1893',0.0000,690,0.0185,56
855,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1768',0.0000,522,0.0182,57
839,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1753',0.0000,538,0.0179,58
755,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1678',0.0000,942,0.0177,59
307,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1274',0.0000,108,0.0175,60
51,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1043',0.0000,364,0.0172,61
80,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=107',0.0000,271,0.0170,62
49,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1041',0.0000,366,0.0169,63
881,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1791',0.0000,547,0.0168,64
784,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1703',0.0000,579,0.0167,65
