id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8559,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,1.0000,0
5024,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.2831,1
36004,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,858,0.2521,2
34433,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,0.2181,3
34980,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,522,0.0903,4
36015,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,869,0.0837,5
34986,8.1,b'8.1-lda_feature.current_user_utterance__topic_17',0.0000,516,0.0750,6
36007,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,861,0.0714,7
33312,7,b'7-syntactic_feature__root_word__next_system_utterance__turn',68.4163,139,0.0518,8
32996,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.0482,9
20552,5,b'5-phrase_feature__noun_phrases__next_system_utterance__minutes',103.8777,70,0.0463,10
23350,5,b'5-phrase_feature__noun_phrases__next_system_utterance__turning',240.5849,20,0.0448,11
5833,4.1,b'4.1-ngram.next_system_utterance__help',575.0181,5,0.0410,12
34985,8.1,b'8.1-lda_feature.current_user_utterance__topic_16',0.0000,517,0.0394,13
21029,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',118.6848,53,0.0389,14
44,3,b'3-time_feature__end_of_session',110.1752,60,0.0338,15
22237,5,b'5-phrase_feature__noun_phrases__next_system_utterance__seconds',45.3290,243,0.0332,16
35039,8.1,b'8.1-lda_feature.next_system_utterance__topic_2',0.0000,462,0.0302,17
35056,8.1,b'8.1-lda_feature.next_system_utterance__topic_35',0.0000,495,0.0293,18
35047,8.1,b'8.1-lda_feature.next_system_utterance__topic_27',0.0000,476,0.0275,19
33342,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,73,0.0273,20
33274,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,14,0.0270,21
36018,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,457,0.0265,22
35090,8.1,b'8.1-lda_feature.next_user_utterance__topic_20',0.0000,609,0.0258,23
36006,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,860,0.0256,24
34984,8.1,b'8.1-lda_feature.current_user_utterance__topic_15',0.0000,518,0.0252,25
34983,8.1,b'8.1-lda_feature.current_user_utterance__topic_14',0.0000,519,0.0242,26
33036,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,35,0.0239,27
8247,4.1,b'4.1-ngram.next_system_utterance__screen',69.2170,136,0.0238,28
34978,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,524,0.0238,29
33089,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',62.3054,152,0.0223,30
34992,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,510,0.0213,31
35656,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=34',0.0000,1198,0.0212,32
35105,8.1,b'8.1-lda_feature.next_user_utterance__topic_34',0.0000,643,0.0203,33
32879,7,b'7-syntactic_feature__root_word__next_system_utterance__help',237.1259,23,0.0194,34
35036,8.1,b'8.1-lda_feature.next_system_utterance__topic_17',0.0000,465,0.0192,35
35157,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=124',0.0000,592,0.0191,36
35134,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=103',0.0000,566,0.0189,37
34270,7,b'7-syntactic_feature__subj_word__next_system_utterance__alright',44.0578,253,0.0186,38
33308,7,b'7-syntactic_feature__root_word__next_system_utterance__tri',150.5583,39,0.0168,39
19964,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lamp',58.0313,163,0.0168,40
9325,4.1,b'4.1-ngram.next_system_utterance__try',48.8943,219,0.0167,41
35637,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=287',0.0000,1140,0.0165,42
35144,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=112',0.0000,556,0.0164,43
35022,8.1,b'8.1-lda_feature.current_user_utterance__topic_5',0.0000,504,0.0164,44
34979,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,523,0.0164,45
35009,8.1,b'8.1-lda_feature.current_user_utterance__topic_38',0.0000,542,0.0159,46
32826,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,79,0.0158,47
