id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
29,3,b'3-time_feature__end_of_session',272.2220,36,1.0000,0
33038,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,30,0.8705,1
31428,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,34,0.6241,2
7243,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,153,0.4805,3
44765,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,89,0.4626,4
30948,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.4593,5
29085,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,87,0.4540,6
45181,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,35,0.2269,7
33718,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,208,0.2153,8
43694,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,32,0.2038,9
36141,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.1735,10
32024,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,84,0.1595,11
47013,8.1,b'8.1-lda_feature.current_user_utterance__topic_17',0.0000,328,0.1552,12
35552,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time',246.1264,46,0.1493,13
45459,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,47,0.1265,14
47004,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,319,0.1246,15
16918,4.1,b'4.1-ngram.next_system_utterance__nyou discard',246.7700,45,0.1101,16
7330,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.1085,17
44748,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,38,0.1046,18
16919,4.1,b'4.1-ngram.next_system_utterance__nyou discard request',246.7700,44,0.1041,19
47005,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,320,0.1009,20
33106,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,43,0.0983,21
40591,6,b'6-entity_feature__entity__next_system_utterance__\\_NUMBER',197.4073,78,0.0982,22
31483,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',71.7207,180,0.0967,23
47006,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,321,0.0883,24
47075,8.1,b'8.1-lda_feature.next_system_utterance__topic_28',0.0000,345,0.0877,25
45372,7,b'7-syntactic_feature__root_word__next_system_utterance__milk',69.2227,188,0.0862,26
47024,8.1,b'8.1-lda_feature.current_user_utterance__topic_27',0.0000,316,0.0848,27
45556,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',85.1059,145,0.0818,28
0,1,b'1-utterance_length.current_user_utterance__utterance_length',223.7570,53,0.0803,29
18800,4.1,b'4.1-ngram.next_system_utterance__reminder ntry',62.8033,212,0.0794,30
43398,7,b'7-syntactic_feature__obj_word__next_system_utterance__item',270.4851,37,0.0794,31
33060,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n3',241.9232,48,0.0784,32
45472,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',56.2694,232,0.0778,33
43744,7,b'7-syntactic_feature__obj_word__next_system_utterance__you',70.8665,182,0.0769,34
35461,5,b'5-phrase_feature__noun_phrases__next_system_utterance__task',87.7669,142,0.0757,35
45115,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.0757,36
21793,4.1,b'4.1-ngram.next_system_utterance__understand',55.2939,235,0.0753,37
33343,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',162.9005,92,0.0752,38
47008,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,323,0.0750,39
45617,7,b'7-syntactic_feature__root_word__next_system_utterance__remov',121.4450,107,0.0749,40
47110,8.1,b'8.1-lda_feature.next_user_utterance__topic_14',0.0000,284,0.0731,41
23351,4.1,b'4.1-ngram.next_user_utterance__discard',134.5622,102,0.0717,42
45965,7,b'7-syntactic_feature__root_word__next_user_utterance__add',57.8600,224,0.0648,43
2789,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.0645,44
8291,4.1,b'4.1-ngram.next_system_utterance__friday',72.6222,179,0.0640,45
16637,4.1,b'4.1-ngram.next_system_utterance__nfor',184.8938,82,0.0613,46
39123,5,b'5-phrase_feature__noun_phrases__next_user_utterance__today',76.4376,162,0.0609,47
47007,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,322,0.0607,48
