id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
22906,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,281,1.0000,0
9656,5,b'5-phrase_feature__noun_phrases__next_system_utterance__provider',41.9590,240,0.3393,1
8631,5,b'5-phrase_feature__noun_phrases__next_system_utterance__music_library',105.0964,49,0.3308,2
44,3,b'3-time_feature__end_of_session',110.1752,41,0.2795,3
21616,7,b'7-syntactic_feature__root_word__next_user_utterance__play',105.8380,47,0.2126,4
9096,5,b'5-phrase_feature__noun_phrases__next_system_utterance__oz_orange',41.9590,253,0.1623,5
7958,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',157.3596,21,0.1387,6
18600,7,b'7-syntactic_feature__obj_word__current_user_utterance__athena',41.9590,193,0.1322,7
7892,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lamp',58.0313,124,0.1293,8
8747,5,b'5-phrase_feature__noun_phrases__next_system_utterance__network_time',83.9180,68,0.1163,9
22932,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,283,0.1109,10
13326,5,b'5-phrase_feature__noun_phrases__next_user_utterance__joe_rogan_experience',41.9624,188,0.1081,11
22908,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,279,0.1015,12
18331,6,b'6-entity_feature__entity__next_user_utterance__london england_LOCATION',41.9590,220,0.0957,13
21816,7,b'7-syntactic_feature__subj_word__current_user_utterance__6',41.9590,211,0.0909,14
18911,7,b'7-syntactic_feature__obj_word__current_user_utterance__pizza',54.7192,139,0.0873,15
2464,5,b'5-phrase_feature__noun_phrases__current_user_utterance__open_netflix',125.8770,34,0.0868,16
13791,5,b'5-phrase_feature__noun_phrases__next_user_utterance__netflix',82.7969,89,0.0798,17
9097,5,b'5-phrase_feature__noun_phrases__next_system_utterance__oz_orange_juice',41.9590,255,0.0682,18
22923,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,262,0.0648,19
22907,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,280,0.0617,20
11478,5,b'5-phrase_feature__noun_phrases__next_system_utterance__video',259.9380,10,0.0597,21
49,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,4,0.0591,22
19309,7,b'7-syntactic_feature__obj_word__next_system_utterance__me',309.9814,6,0.0589,23
3531,5,b'5-phrase_feature__noun_phrases__current_user_utterance__tunein',51.5776,150,0.0570,24
19381,7,b'7-syntactic_feature__obj_word__next_system_utterance__question',57.4095,127,0.0567,25
19188,7,b'7-syntactic_feature__obj_word__next_system_utterance__direct',54.7192,144,0.0545,26
1515,5,b'5-phrase_feature__noun_phrases__current_user_utterance__happy_holidays',41.9590,217,0.0493,27
22922,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,261,0.0481,28
7114,5,b'5-phrase_feature__noun_phrases__next_system_utterance__home',58.7082,123,0.0481,29
18307,6,b'6-entity_feature__entity__next_user_utterance__katy perry roar_PERSON',41.9590,222,0.0470,30
18126,6,b'6-entity_feature__entity__next_user_utterance__carrie fisher_PERSON',41.9590,245,0.0409,31
18086,6,b'6-entity_feature__entity__next_user_utterance__batman_PERSON',41.9590,254,0.0401,32
22924,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,263,0.0375,33
18723,7,b'7-syntactic_feature__obj_word__current_user_utterance__event',41.9590,195,0.0371,34
21246,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',263.0493,9,0.0339,35
3534,5,b'5-phrase_feature__noun_phrases__current_user_utterance__tunein_station',125.8770,33,0.0326,36
19388,7,b'7-syntactic_feature__obj_word__next_system_utterance__remind',46.0358,172,0.0323,37
18944,7,b'7-syntactic_feature__obj_word__current_user_utterance__remind',54.5186,146,0.0302,38
22910,8.1,b'8.1-lda_feature.current_user_utterance__topic_13',0.0000,268,0.0290,39
11610,5,b'5-phrase_feature__noun_phrases__next_system_utterance__wblx',83.9180,74,0.0280,40
22930,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,264,0.0268,41
47,3,b'3-time_feature__turns_from_start',1855.8406,1,0.0260,42
22909,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,278,0.0235,43
