id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
12065,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,1.0000,0
1322,1,b'1-utterance_length.next_system_utterance__utterance_length',301.5740,57,0.2418,1
5620,4.1,b'4.1-ngram.next_system_utterance__pounds',78.9269,182,0.2372,2
12032,7,b'7-syntactic_feature__subj_word__next_system_utterance__price',310.9899,56,0.2146,3
12140,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,265,0.1792,4
27,3,b'3-time_feature__time_ratio',170.5127,93,0.1593,5
7753,4.1,b'4.1-ngram.next_user_utterance__thank',333.4715,49,0.1144,6
7762,4.1,b'4.1-ngram.next_user_utterance__thank goodbye',178.8764,90,0.1110,7
12143,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,268,0.1099,8
39,4.1,b'4.1-ngram.current_user_utterance__address',344.7469,47,0.0991,9
8527,5,b'5-phrase_feature__noun_phrases__current_user_utterance__phone_number',430.3287,35,0.0848,10
11563,7,b'7-syntactic_feature__root_word__next_system_utterance__is',146.7035,102,0.0780,11
11593,7,b'7-syntactic_feature__root_word__next_system_utterance__serv',137.5642,105,0.0729,12
10074,5,b'5-phrase_feature__noun_phrases__next_user_utterance__goodbye',311.8463,55,0.0641,13
9345,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',1159.8529,4,0.0625,14
9544,5,b'5-phrase_feature__noun_phrases__next_system_utterance__restaurant',182.7536,87,0.0589,15
9851,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',560.2088,12,0.0585,16
849,4.1,b'4.1-ngram.current_user_utterance__phone number',187.0974,85,0.0566,17
9451,5,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode',199.0477,79,0.0528,18
791,4.1,b'4.1-ngram.current_user_utterance__number',182.4017,88,0.0506,19
12144,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,259,0.0499,20
12141,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,266,0.0487,21
29,3,b'3-time_feature__turns_to_end',10060.3908,0,0.0470,22
12157,8.1,b'8.1-lda_feature.current_user_utterance__topic_24',0.0000,276,0.0468,23
847,4.1,b'4.1-ngram.current_user_utterance__phone',185.5460,86,0.0464,24
9431,5,b'5-phrase_feature__noun_phrases__next_system_utterance__particular_venue',533.6286,16,0.0457,25
12149,8.1,b'8.1-lda_feature.current_user_utterance__topic_17',0.0000,284,0.0451,26
11889,7,b'7-syntactic_feature__subj_word__current_user_utterance__address',192.6696,81,0.0445,27
4739,4.1,b'4.1-ngram.next_system_utterance__looking',150.2643,99,0.0443,28
7256,4.1,b'4.1-ngram.next_user_utterance__goodbye',182.2327,89,0.0416,29
7929,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',517.1957,18,0.0409,30
9713,5,b'5-phrase_feature__noun_phrases__next_system_utterance__venue',356.3895,45,0.0400,31
4491,4.1,b'4.1-ngram.next_system_utterance__like',99.0139,135,0.0393,32
11568,7,b'7-syntactic_feature__root_word__next_system_utterance__let',253.6060,61,0.0379,33
7250,4.1,b'4.1-ngram.next_user_utterance__good',221.3249,72,0.0379,34
9393,5,b'5-phrase_feature__noun_phrases__next_system_utterance__new',63.3533,249,0.0376,35
11571,7,b'7-syntactic_feature__root_word__next_system_utterance__look',1120.8550,5,0.0363,36
9166,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,3,0.0336,37
7758,4.1,b'4.1-ngram.next_user_utterance__thank good',218.6260,75,0.0319,38
9522,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pub',71.4656,206,0.0319,39
7178,4.1,b'4.1-ngram.next_user_utterance__dont care',234.8901,66,0.0312,40
18,2.1,b'2.1-user_action_words.current_user_utterance__price',63.5241,247,0.0294,41
10340,5,b'5-phrase_feature__noun_phrases__next_user_utterance__restaurant',240.2505,64,0.0290,42
9394,5,b'5-phrase_feature__noun_phrases__next_system_utterance__new_chesterton',64.1300,242,0.0285,43
10109,5,b'5-phrase_feature__noun_phrases__next_user_utterance__im_looking',76.8764,193,0.0257,44
11579,7,b'7-syntactic_feature__root_word__next_system_utterance__part',78.4996,184,0.0251,45
6992,4.1,b'4.1-ngram.next_user_utterance__address',232.4335,67,0.0244,46
10689,6,b'6-entity_feature__entity__next_system_utterance__6 pounds_MONEY',113.2600,117,0.0243,47
11569,7,b'7-syntactic_feature__root_word__next_system_utterance__like',617.6721,10,0.0242,48
7573,4.1,b'4.1-ngram.next_user_utterance__phone',167.7216,95,0.0242,49
8383,5,b'5-phrase_feature__noun_phrases__current_user_utterance__looking',80.9568,176,0.0233,50
1280,4.1,b'4.1-ngram.current_user_utterance__whats',117.0458,115,0.0229,51
9651,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',191.0994,83,0.0228,52
1096,4.1,b'4.1-ngram.current_user_utterance__television',98.8662,138,0.0228,53
10771,6,b'6-entity_feature__entity__next_system_utterance__castle hill_LOCATION',74.5649,200,0.0222,54
10168,5,b'5-phrase_feature__noun_phrases__next_user_utterance__matter',143.8108,104,0.0208,55
9230,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_venue',86.1426,159,0.0207,56
0,1,b'1-utterance_length.current_user_utterance__utterance_length',255.2932,60,0.0207,57
10648,6,b'6-entity_feature__entity__next_system_utterance__2 pounds_MONEY',103.1301,130,0.0197,58
12103,7,b'7-syntactic_feature__subj_word__next_user_utterance__number',137.4681,106,0.0196,59
9558,5,b'5-phrase_feature__noun_phrases__next_system_utterance__romsey_area',65.7068,229,0.0196,60
10299,5,b'5-phrase_feature__noun_phrases__next_user_utterance__postcode',103.2587,129,0.0195,61
11082,7,b'7-syntactic_feature__obj_word__next_system_utterance__you',70.2282,212,0.0194,62
11292,7,b'7-syntactic_feature__root_word__current_user_utterance__number',90.6671,155,0.0193,63
8543,5,b'5-phrase_feature__noun_phrases__current_user_utterance__postcode',107.4588,122,0.0191,64
11570,7,b'7-syntactic_feature__root_word__next_system_utterance__locat',273.3423,59,0.0188,65
9087,5,b'5-phrase_feature__noun_phrases__next_system_utterance__chesterton_area',98.4406,139,0.0187,66
9983,5,b'5-phrase_feature__noun_phrases__next_user_utterance__doesnt_matter',128.3749,113,0.0186,67
11884,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',102.8412,131,0.0184,68
8549,5,b'5-phrase_feature__noun_phrases__current_user_utterance__price',65.6961,230,0.0183,69
12155,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,278,0.0181,70
12147,8.1,b'8.1-lda_feature.current_user_utterance__topic_15',0.0000,286,0.0180,71
12166,8.1,b'8.1-lda_feature.current_user_utterance__topic_32',0.0000,258,0.0175,72
11845,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',774.3776,7,0.0173,73
7077,4.1,b'4.1-ngram.next_user_utterance__care',249.4201,63,0.0172,74
272,4.1,b'4.1-ngram.current_user_utterance__does television',72.9991,203,0.0170,75
25,3,b'3-time_feature__end_of_session',220.2308,74,0.0168,76
8999,5,b'5-phrase_feature__noun_phrases__next_system_utterance__castle_hill',76.4447,197,0.0166,77
7177,4.1,b'4.1-ngram.next_user_utterance__dont',229.8376,68,0.0166,78
10684,6,b'6-entity_feature__entity__next_system_utterance__50_NUMBER',93.6761,150,0.0161,79
11521,7,b'7-syntactic_feature__root_word__next_system_utterance__area',118.9033,114,0.0161,80
7071,4.1,b'4.1-ngram.next_user_utterance__bye',223.3413,71,0.0160,81
9383,5,b'5-phrase_feature__noun_phrases__next_system_utterance__mind',415.2967,39,0.0159,82
8915,5,b'5-phrase_feature__noun_phrases__next_system_utterance__area',130.4845,112,0.0156,83
12142,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,267,0.0154,84
6970,2.1,b'2.1-user_action_words.next_user_utterance__matter',147.3281,101,0.0153,85
