id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8556,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,1.0000,0
34965,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,299,0.7025,1
43,3,b'3-time_feature__end_of_session',110.1752,60,0.6757,2
5021,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.5632,3
21022,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',118.6848,53,0.4646,4
21422,5,b'5-phrase_feature__noun_phrases__next_system_utterance__playing',73.0405,125,0.4623,5
5039,4.1,b'4.1-ngram.next_system_utterance__don understand',211.4860,28,0.3917,6
2946,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,6,0.2697,7
34420,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,0.2453,8
32983,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.2338,9
22230,5,b'5-phrase_feature__noun_phrases__next_system_utterance__seconds',45.3290,243,0.2175,10
33074,7,b'7-syntactic_feature__root_word__next_system_utterance__play',60.3412,157,0.1960,11
20106,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lights',91.3558,80,0.1944,12
23343,5,b'5-phrase_feature__noun_phrases__next_system_utterance__turning',240.5849,20,0.1912,13
19957,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lamp',58.0313,163,0.1828,14
34966,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,298,0.1757,15
34492,7,b'7-syntactic_feature__subj_word__next_system_utterance__ok',74.8827,119,0.1576,16
34967,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,297,0.1473,17
31328,7,b'7-syntactic_feature__obj_word__next_system_utterance__it',107.4299,65,0.1466,18
20545,5,b'5-phrase_feature__noun_phrases__next_system_utterance__minutes',103.8777,70,0.1444,19
5830,4.1,b'4.1-ngram.next_system_utterance__help',575.0181,5,0.1371,20
33295,7,b'7-syntactic_feature__root_word__next_system_utterance__tri',150.5583,39,0.1206,21
14252,5,b'5-phrase_feature__noun_phrases__current_user_utterance__minutes',46.4813,240,0.1192,22
33261,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,14,0.1083,23
8565,4.1,b'4.1-ngram.next_system_utterance__sorry help',178.4302,32,0.1080,24
22274,5,b'5-phrase_feature__noun_phrases__next_system_utterance__setting',98.0135,72,0.1068,25
32849,7,b'7-syntactic_feature__root_word__next_system_utterance__got',142.9711,42,0.1063,26
33023,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,35,0.1040,27
8244,4.1,b'4.1-ngram.next_system_utterance__screen',69.2170,136,0.0954,28
33299,7,b'7-syntactic_feature__root_word__next_system_utterance__turn',68.4163,139,0.0946,29
5025,4.1,b'4.1-ngram.next_system_utterance__don know',240.5310,21,0.0940,30
29487,6,b'6-entity_feature__entity__next_system_utterance__now_DATE',70.7557,133,0.0939,31
9349,4.1,b'4.1-ngram.next_system_utterance__turning',51.4677,200,0.0923,32
9322,4.1,b'4.1-ngram.next_system_utterance__try',48.8943,219,0.0896,33
8561,4.1,b'4.1-ngram.next_system_utterance__sorry don',323.0077,12,0.0869,34
20716,5,b'5-phrase_feature__noun_phrases__next_system_utterance__name',201.1263,30,0.0816,35
31096,7,b'7-syntactic_feature__obj_word__current_user_utterance__timer',76.8242,117,0.0784,36
4919,4.1,b'4.1-ngram.next_system_utterance__device',95.2261,74,0.0767,37
6328,4.1,b'4.1-ngram.next_system_utterance__know',226.4448,25,0.0730,38
34964,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,300,0.0705,39
33251,7,b'7-syntactic_feature__root_word__next_system_utterance__sure',50.8077,204,0.0698,40
35022,8.1,b'8.1-lda_feature.next_system_utterance__topic_16',0.0000,278,0.0698,41
34992,8.1,b'8.1-lda_feature.current_user_utterance__topic_34',0.0000,316,0.0657,42
16275,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',111.9174,58,0.0650,43
32954,7,b'7-syntactic_feature__root_word__next_system_utterance__know',726.7511,3,0.0650,44
34977,8.1,b'8.1-lda_feature.current_user_utterance__topic_20',0.0000,302,0.0644,45
34998,8.1,b'8.1-lda_feature.current_user_utterance__topic_4',0.0000,256,0.0628,46
32813,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,79,0.0619,47
34975,8.1,b'8.1-lda_feature.current_user_utterance__topic_19',0.0000,289,0.0599,48
33076,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',62.3054,152,0.0596,49
32584,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',68.7046,138,0.0575,50
33230,7,b'7-syntactic_feature__root_word__next_system_utterance__start',66.5469,141,0.0570,51
32866,7,b'7-syntactic_feature__root_word__next_system_utterance__help',237.1259,23,0.0566,52
9909,1,b'1-utterance_length.next_user_utterance__utterance_length',386.2874,7,0.0554,53
25856,5,b'5-phrase_feature__noun_phrases__next_user_utterance__netflix',82.7969,110,0.0549,54
34995,8.1,b'8.1-lda_feature.current_user_utterance__topic_37',0.0000,295,0.0530,55
33329,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,73,0.0529,56
31368,7,b'7-syntactic_feature__obj_word__next_system_utterance__me',309.9814,13,0.0513,57
34970,8.1,b'8.1-lda_feature.current_user_utterance__topic_14',0.0000,287,0.0482,58
3869,4.1,b'4.1-ngram.next_system_utterance__ask',82.7572,111,0.0478,59
34257,7,b'7-syntactic_feature__subj_word__next_system_utterance__alright',44.0578,253,0.0476,60
26947,5,b'5-phrase_feature__noun_phrases__next_user_utterance__watch',68.8235,137,0.0440,61
20,2.1,b'2.1-user_action_words.current_user_utterance__remind',63.9066,147,0.0433,62
20023,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',157.3596,36,0.0415,63
34982,8.1,b'8.1-lda_feature.current_user_utterance__topic_25',0.0000,307,0.0413,64
14071,5,b'5-phrase_feature__noun_phrases__current_user_utterance__love',110.0250,62,0.0400,65
33305,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',263.0493,16,0.0399,66
6419,4.1,b'4.1-ngram.next_system_utterance__learning',60.9885,153,0.0392,67
9597,4.1,b'4.1-ngram.next_system_utterance__want',49.8661,211,0.0379,68
