id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__end_of_session',272.2220,36,1.0000,0
33120,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,43,0.7634,1
30962,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.5837,2
31442,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,34,0.4718,3
44785,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,89,0.3808,4
7246,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,153,0.3776,5
29097,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,87,0.3728,6
45201,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,35,0.3725,7
32038,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,84,0.3551,8
44768,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,38,0.2316,9
33052,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,30,0.2042,10
36155,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.2020,11
43714,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,32,0.1797,12
33309,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',1238.2639,1,0.1787,13
33732,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,208,0.1640,14
47058,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,272,0.1515,15
33357,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',162.9005,92,0.1506,16
16923,4.1,b'4.1-ngram.next_system_utterance__nyou',213.1769,71,0.1504,17
44426,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,115,0.1408,18
45135,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.1114,19
47042,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,264,0.1083,20
43418,7,b'7-syntactic_feature__obj_word__next_system_utterance__item',270.4851,37,0.1081,21
7,2.1,b'2.1-user_action_words.current_user_utterance__item',117.9209,109,0.1034,22
33126,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_ntype',56.1006,233,0.0967,23
35566,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time',246.1264,46,0.0961,24
47051,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,265,0.0952,25
43543,7,b'7-syntactic_feature__obj_word__next_system_utterance__n5',59.7503,220,0.0854,26
45392,7,b'7-syntactic_feature__root_word__next_system_utterance__milk',69.2227,188,0.0830,27
34138,5,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder',105.2941,116,0.0752,28
35475,5,b'5-phrase_feature__noun_phrases__next_system_utterance__task',87.7669,142,0.0750,29
44639,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,74,0.0743,30
45479,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,47,0.0698,31
33097,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n5',185.8872,80,0.0669,32
21802,4.1,b'4.1-ngram.next_system_utterance__understand',55.2939,235,0.0641,33
18809,4.1,b'4.1-ngram.next_system_utterance__reminder ntry',62.8033,212,0.0629,34
32474,5,b'5-phrase_feature__noun_phrases__next_system_utterance__list',169.7379,86,0.0617,35
34930,5,b'5-phrase_feature__noun_phrases__next_system_utterance__shopping',76.1704,168,0.0584,36
44492,7,b'7-syntactic_feature__root_word__current_user_utterance__discard',64.9271,204,0.0575,37
7333,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.0559,38
45637,7,b'7-syntactic_feature__root_word__next_system_utterance__remov',121.4450,107,0.0550,39
32339,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,70,0.0550,40
45576,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',85.1059,145,0.0523,41
33104,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n7',129.8713,105,0.0512,42
46709,7,b'7-syntactic_feature__subj_word__next_system_utterance__nyou',267.0933,39,0.0498,43
34550,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.0484,44
39137,5,b'5-phrase_feature__noun_phrases__next_user_utterance__today',76.4376,162,0.0481,45
47057,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,271,0.0473,46
33056,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n13',56.4024,230,0.0468,47
47050,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,263,0.0467,48
47029,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=102',0.0000,283,0.0464,49
47031,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=104',0.0000,284,0.0463,50
3514,4.1,b'4.1-ngram.next_system_utterance__add items',59.7357,221,0.0456,51
16645,4.1,b'4.1-ngram.next_system_utterance__nfor',184.8938,82,0.0452,52
31497,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',71.7207,180,0.0428,53
33085,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n4',207.3310,75,0.0418,54
33203,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nhere',260.2771,41,0.0418,55
20277,4.1,b'4.1-ngram.next_system_utterance__sorry',85.8791,144,0.0409,56
40605,6,b'6-entity_feature__entity__next_system_utterance__\\_NUMBER',197.4073,78,0.0406,57
23360,4.1,b'4.1-ngram.next_user_utterance__discard',134.5622,102,0.0406,58
8297,4.1,b'4.1-ngram.next_system_utterance__friday',72.6222,179,0.0392,59
33074,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n3',241.9232,48,0.0391,60
46046,7,b'7-syntactic_feature__root_word__next_user_utterance__discard',130.3317,104,0.0390,61
16646,4.1,b'4.1-ngram.next_system_utterance__nfor example',184.8938,81,0.0388,62
47049,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,262,0.0385,63
33055,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n12',66.2984,201,0.0381,64
34931,5,b'5-phrase_feature__noun_phrases__next_system_utterance__shopping_list',75.2549,170,0.0380,65
45492,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',56.2694,232,0.0363,66
43549,7,b'7-syntactic_feature__obj_word__next_system_utterance__n9',53.2927,248,0.0353,67
45639,7,b'7-syntactic_feature__root_word__next_system_utterance__rephras',101.5515,123,0.0351,68
28841,5,b'5-phrase_feature__noun_phrases__next_system_utterance__<name>',62.9198,211,0.0349,69
22747,1,b'1-utterance_length.next_user_utterance__utterance_length',285.2474,33,0.0347,70
28947,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor',1040.3301,4,0.0346,71
44931,7,b'7-syntactic_feature__root_word__next_system_utterance__call',349.5698,19,0.0340,72
47024,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=0',0.0000,278,0.0339,73
45636,7,b'7-syntactic_feature__root_word__next_system_utterance__remind',52.4635,251,0.0333,74
45819,7,b'7-syntactic_feature__root_word__next_system_utterance__think',58.4329,222,0.0332,75
47028,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=101',0.0000,282,0.0330,76
43764,7,b'7-syntactic_feature__obj_word__next_system_utterance__you',70.8665,182,0.0329,77
28948,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor_example',1040.3301,5,0.0329,78
777,4.1,b'4.1-ngram.current_user_utterance__clear',82.0707,150,0.0324,79
33053,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n10',81.7769,151,0.0318,80
2161,4.1,b'4.1-ngram.current_user_utterance__reminder',61.4610,217,0.0311,81
45080,7,b'7-syntactic_feature__root_word__next_system_utterance__discard',175.6339,85,0.0310,82
6681,4.1,b'4.1-ngram.next_system_utterance__couldn',50.9553,253,0.0310,83
45701,7,b'7-syntactic_feature__root_word__next_system_utterance__set',210.9131,73,0.0309,84
16926,4.1,b'4.1-ngram.next_system_utterance__nyou discard',246.7700,44,0.0302,85
