id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
29,3,b'3-time_feature__time_ratio',251.2757,68,1.0000,0
5235,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.8630,1
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.8042,2
8114,7,b'7-syntactic_feature__root_word__next_system_utterance__like',1172.1812,3,0.5529,3
5608,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,33,0.5113,4
33,4.1,b'4.1-ngram.current_user_utterance__address',350.4873,49,0.5092,5
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,32,0.5045,6
6594,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,73,0.4494,7
506,4.1,b'4.1-ngram.current_user_utterance__phone number',201.5084,86,0.4261,8
461,4.1,b'4.1-ngram.current_user_utterance__number',201.0520,87,0.3736,9
8931,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=159',0.0000,1003,0.3706,10
6894,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,21,0.3420,11
6458,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_restaurant',86.2284,171,0.2599,12
959,1,b'1-utterance_length.next_system_utterance__utterance_length',325.2387,58,0.2409,13
6511,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',579.7128,12,0.2350,14
6510,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',579.7128,11,0.2344,15
17,2.1,b'2.1-user_action_words.current_user_utterance__phone',407.0356,36,0.2343,16
5649,5,b'5-phrase_feature__noun_phrases__current_user_utterance__phone',407.0356,35,0.2323,17
6467,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',579.7128,10,0.2290,18
5360,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',112.5779,134,0.2122,19
6238,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,61,0.1943,20
6754,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,77,0.1903,21
9109,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=5',0.0000,1037,0.1762,22
8984,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=206',0.0000,876,0.1752,23
9066,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=280',0.0000,1103,0.1749,24
8591,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=122',0.0000,487,0.1655,25
9459,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=95',0.0000,773,0.1627,26
151,4.1,b'4.1-ngram.current_user_utterance__code',58.8962,241,0.1579,27
31,3,b'3-time_feature__turns_to_end',7328.0899,0,0.1558,28
9200,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=130',0.0000,659,0.1474,29
8948,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=174',0.0000,978,0.1453,30
7737,7,b'7-syntactic_feature__root_word__current_user_utterance__address',139.3320,109,0.1426,31
9117,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=57',0.0000,1045,0.1418,32
8748,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=264',0.0000,331,0.1408,33
6514,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pizza',71.9939,208,0.1405,34
5674,5,b'5-phrase_feature__noun_phrases__current_user_utterance__post_code',116.1049,130,0.1340,35
9361,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=276',0.0000,855,0.1317,36
5232,4.1,b'4.1-ngram.next_user_utterance__yes',202.5400,84,0.1304,37
9321,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=24',0.0000,796,0.1294,38
8912,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=141',0.0000,942,0.1288,39
8810,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=50',0.0000,391,0.1279,40
9355,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=270',0.0000,814,0.1265,41
9034,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=251',0.0000,1106,0.1255,42
9070,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=284',0.0000,1142,0.1203,43
8991,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=212',0.0000,883,0.1189,44
0,1,b'1-utterance_length.current_user_utterance__utterance_length',116.8619,129,0.1185,45
9354,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=27',0.0000,830,0.1162,46
9252,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=178',0.0000,603,0.1149,47
9202,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=132',0.0000,660,0.1146,48
8860,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=96',0.0000,341,0.1136,49
9115,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=55',0.0000,1043,0.1133,50
8979,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=201',0.0000,871,0.1088,51
9376,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=29',0.0000,834,0.1081,52
6088,5,b'5-phrase_feature__noun_phrases__next_system_utterance__city',202.0640,85,0.1065,53
8659,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=184',0.0000,542,0.1058,54
9295,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=216',0.0000,645,0.1053,55
8880,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=112',0.0000,363,0.1050,56
9316,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=235',0.0000,630,0.1050,57
8900,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=130',0.0000,973,0.1035,58
9075,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=289',0.0000,1140,0.1033,59
6588,5,b'5-phrase_feature__noun_phrases__next_system_utterance__right',335.9529,54,0.1032,60
8685,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=207',0.0000,516,0.1019,61
8129,7,b'7-syntactic_feature__root_word__next_system_utterance__sorri',467.9169,22,0.1010,62
9246,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=172',0.0000,652,0.1010,63
