id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
12077,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,1.0000,0
7912,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,777,0.1319,1
1325,1,b'1-utterance_length.next_system_utterance__utterance_length',301.5740,57,0.0989,2
11023,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,784,0.0834,3
12257,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=193',0.0000,581,0.0784,4
12917,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=247',0.0000,730,0.0774,5
13018,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=69',0.0000,740,0.0729,6
1324,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,776,0.0648,7
12791,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=133',0.0000,676,0.0647,8
12629,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=258',0.0000,1119,0.0635,9
12168,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=112',0.0000,464,0.0631,10
12317,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=247',0.0000,315,0.0612,11
12975,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=3',0.0000,858,0.0578,12
40,4.1,b'4.1-ngram.current_user_utterance__address',344.7469,47,0.0565,13
12698,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=50',0.0000,1096,0.0561,14
12447,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=95',0.0000,350,0.0553,15
12909,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=24',0.0000,631,0.0552,16
28,3,b'3-time_feature__time_ratio',170.5127,93,0.0524,17
12245,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=182',0.0000,552,0.0522,18
9172,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,3,0.0512,19
12795,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=137',0.0000,664,0.0503,20
12290,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=222',0.0000,507,0.0492,21
7756,4.1,b'4.1-ngram.next_user_utterance__thank',333.4715,49,0.0475,22
12391,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=44',0.0000,283,0.0463,23
12169,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=113',0.0000,481,0.0456,24
12259,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=195',0.0000,579,0.0443,25
9550,5,b'5-phrase_feature__noun_phrases__next_system_utterance__restaurant',182.7536,87,0.0435,26
12754,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=10',0.0000,1070,0.0431,27
