id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8559,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,1.0000,0
2948,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,4980,0.6247,1
5024,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.1958,2
12167,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,4983,0.1255,3
22237,5,b'5-phrase_feature__noun_phrases__next_system_utterance__seconds',45.3290,243,0.1086,4
12166,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,4982,0.1035,5
34433,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,0.0984,6
9325,4.1,b'4.1-ngram.next_system_utterance__try',48.8943,219,0.0709,7
23350,5,b'5-phrase_feature__noun_phrases__next_system_utterance__turning',240.5849,20,0.0708,8
32996,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.0550,9
44,3,b'3-time_feature__end_of_session',110.1752,60,0.0494,10
37759,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,1652,0.0476,11
20552,5,b'5-phrase_feature__noun_phrases__next_system_utterance__minutes',103.8777,70,0.0449,12
38254,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1788',0.0000,1495,0.0435,13
32826,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,79,0.0431,14
37800,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,1639,0.0425,15
36050,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1964',0.0000,3370,0.0403,16
33342,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,73,0.0385,17
36507,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2375',0.0000,3229,0.0376,18
38903,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2371',0.0000,6373,0.0358,19
5833,4.1,b'4.1-ngram.next_system_utterance__help',575.0181,5,0.0342,20
35291,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1280',0.0000,2829,0.0325,21
40055,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1248',0.0000,6649,0.0319,22
33036,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,35,0.0296,23
