id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
43,3,b'3-time_feature__end_of_session',110.1752,60,1.0000,0
8556,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,0.4752,1
35339,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=166',0.0000,994,0.2821,2
35551,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=88',0.0000,1079,0.2663,3
35487,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=3',0.0000,1123,0.2450,4
35369,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=193',0.0000,898,0.2015,5
35283,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=115',0.0000,359,0.1975,6
20545,5,b'5-phrase_feature__noun_phrases__next_system_utterance__minutes',103.8777,70,0.1937,7
33299,7,b'7-syntactic_feature__root_word__next_system_utterance__turn',68.4163,139,0.1853,8
35534,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=72',0.0000,1026,0.1841,9
35425,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=243',0.0000,917,0.1721,10
35453,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=269',0.0000,1089,0.1700,11
35568,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=101',0.0000,1060,0.1685,12
35393,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=214',0.0000,903,0.1571,13
35500,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=41',0.0000,1136,0.1542,14
21022,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',118.6848,53,0.1540,15
23343,5,b'5-phrase_feature__noun_phrases__next_system_utterance__turning',240.5849,20,0.1536,16
35306,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=136',0.0000,943,0.1443,17
5021,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.1442,18
35428,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=246',0.0000,920,0.1424,19
32983,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.1412,20
34984,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=116',0.0000,495,0.1405,21
35140,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=257',0.0000,300,0.1355,22
35554,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=90',0.0000,1082,0.1315,23
35448,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=264',0.0000,1102,0.1298,24
35575,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=108',0.0000,580,0.1290,25
34420,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,0.1285,26
35441,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=258',0.0000,1113,0.1285,27
2946,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,6,0.1279,28
35469,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=283',0.0000,1141,0.1275,29
35747,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=263',0.0000,804,0.1238,30
35801,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=42',0.0000,750,0.1228,31
35290,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=121',0.0000,963,0.1193,32
35479,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=292',0.0000,1151,0.1188,33
35474,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=288',0.0000,1146,0.1181,34
35282,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=114',0.0000,360,0.1177,35
35342,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=169',0.0000,979,0.1152,36
35574,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=107',0.0000,867,0.1149,37
35411,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=230',0.0000,932,0.1146,38
33251,7,b'7-syntactic_feature__root_word__next_system_utterance__sure',50.8077,204,0.1128,39
21422,5,b'5-phrase_feature__noun_phrases__next_system_utterance__playing',73.0405,125,0.1107,40
35040,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=167',0.0000,440,0.1106,41
22274,5,b'5-phrase_feature__noun_phrases__next_system_utterance__setting',98.0135,72,0.1104,42
35548,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=85',0.0000,1075,0.1102,43
35464,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=279',0.0000,1100,0.1102,44
20106,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lights',91.3558,80,0.1075,45
35811,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=51',0.0000,740,0.1049,46
35626,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=154',0.0000,721,0.1039,47
35260,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=96',0.0000,342,0.1020,48
35507,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=48',0.0000,1035,0.1000,49
35418,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=237',0.0000,910,0.0978,50
35304,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=134',0.0000,950,0.0971,51
34977,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=11',0.0000,462,0.0957,52
35454,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=27',0.0000,1090,0.0953,53
35343,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=17',0.0000,980,0.0929,54
35654,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=18',0.0000,605,0.0921,55
35821,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=60',0.0000,735,0.0913,56
5039,4.1,b'4.1-ngram.next_system_utterance__don understand',211.4860,28,0.0913,57
35264,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=0',0.0000,355,0.0909,58
35215,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=55',0.0000,386,0.0908,59
35598,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=129',0.0000,657,0.0905,60
35571,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=104',0.0000,1063,0.0903,61
35334,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=161',0.0000,1007,0.0891,62
35503,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=44',0.0000,1049,0.0889,63
35779,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=292',0.0000,837,0.0886,64
35033,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=160',0.0000,439,0.0880,65
35622,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=150',0.0000,717,0.0879,66
35731,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=249',0.0000,825,0.0875,67
35344,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=170',0.0000,981,0.0861,68
34987,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=119',0.0000,492,0.0859,69
35531,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=7',0.0000,1023,0.0848,70
35320,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=149',0.0000,975,0.0847,71
35118,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=237',0.0000,524,0.0838,72
5830,4.1,b'4.1-ngram.next_system_utterance__help',575.0181,5,0.0833,73
35601,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=131',0.0000,653,0.0810,74
35269,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=102',0.0000,373,0.0809,75
22230,5,b'5-phrase_feature__noun_phrases__next_system_utterance__seconds',45.3290,243,0.0804,76
35755,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=270',0.0000,814,0.0804,77
35336,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=163',0.0000,1009,0.0792,78
35367,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=191',0.0000,895,0.0792,79
35207,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=48',0.0000,394,0.0783,80
19957,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lamp',58.0313,163,0.0780,81
35003,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=133',0.0000,456,0.0777,82
34989,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=120',0.0000,490,0.0771,83
35180,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=293',0.0000,260,0.0767,84
35791,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=33',0.0000,795,0.0760,85
35294,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=125',0.0000,960,0.0759,86
35221,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=60',0.0000,381,0.0752,87
35127,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=245',0.0000,313,0.0752,88
35830,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=69',0.0000,780,0.0751,89
35276,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=109',0.0000,358,0.0741,90
34978,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=110',0.0000,461,0.0736,91
36,2.1,b'2.1-user_action_words.current_user_utterance__timer',88.1845,83,0.0736,92
35250,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=87',0.0000,352,0.0732,93
35819,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=59',0.0000,732,0.0719,94
35795,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=37',0.0000,745,0.0718,95
35178,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=291',0.0000,258,0.0711,96
35129,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=247',0.0000,311,0.0710,97
34991,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=122',0.0000,487,0.0709,98
35652,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=178',0.0000,603,0.0708,99
35045,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=171',0.0000,556,0.0694,100
32849,7,b'7-syntactic_feature__root_word__next_system_utterance__got',142.9711,42,0.0688,101
35589,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=120',0.0000,684,0.0687,102
35209,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=5',0.0000,392,0.0682,103
32584,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',68.7046,138,0.0681,104
19179,5,b'5-phrase_feature__noun_phrases__next_system_utterance__home',58.7082,162,0.0675,105
35234,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=72',0.0000,408,0.0667,106
35824,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=63',0.0000,738,0.0666,107
35478,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=291',0.0000,1150,0.0666,108
35628,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=156',0.0000,705,0.0662,109
35710,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=23',0.0000,617,0.0651,110
29911,6,b'6-entity_feature__entity__next_system_utterance__youtube_ORGANIZATION',44.6931,249,0.0650,111
35792,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=34',0.0000,760,0.0646,112
35228,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=67',0.0000,414,0.0644,113
35505,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=46',0.0000,1033,0.0641,114
35326,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=154',0.0000,999,0.0638,115
35583,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=115',0.0000,671,0.0631,116
25903,5,b'5-phrase_feature__noun_phrases__next_user_utterance__nexus_player',44.7194,248,0.0624,117
35547,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=84',0.0000,1068,0.0624,118
35519,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=59',0.0000,1040,0.0623,119
34973,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=106',0.0000,466,0.0623,120
35182,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=295',0.0000,262,0.0621,121
35721,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=24',0.0000,796,0.0619,122
35638,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=165',0.0000,696,0.0619,123
35623,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=151',0.0000,718,0.0618,124
35408,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=228',0.0000,936,0.0617,125
35345,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=171',0.0000,982,0.0617,126
32813,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,79,0.0612,127
35711,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=230',0.0000,624,0.0605,128
35754,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=27',0.0000,830,0.0605,129
35381,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=203',0.0000,873,0.0604,130
20094,5,b'5-phrase_feature__noun_phrases__next_system_utterance__light',80.3700,113,0.0604,131
35007,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=137',0.0000,432,0.0600,132
35155,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=270',0.0000,318,0.0599,133
35681,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=203',0.0000,595,0.0597,134
35729,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=247',0.0000,822,0.0593,135
35489,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=31',0.0000,1125,0.0592,136
35027,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=155',0.0000,453,0.0590,137
33230,7,b'7-syntactic_feature__root_word__next_system_utterance__start',66.5469,141,0.0588,138
35158,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=273',0.0000,295,0.0586,139
35086,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=208',0.0000,515,0.0584,140
35497,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=39',0.0000,1133,0.0584,141
35788,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=30',0.0000,846,0.0576,142
35846,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=83',0.0000,769,0.0575,143
35186,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=299',0.0000,286,0.0575,144
35079,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=201',0.0000,562,0.0572,145
35227,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=66',0.0000,407,0.0572,146
35484,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=297',0.0000,1138,0.0570,147
35816,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=56',0.0000,730,0.0567,148
35696,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=217',0.0000,646,0.0560,149
35162,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=277',0.0000,319,0.0560,150
35492,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=34',0.0000,1128,0.0555,151
35141,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=258',0.0000,299,0.0554,152
35550,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=87',0.0000,1078,0.0553,153
35775,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=289',0.0000,848,0.0552,154
35857,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=93',0.0000,771,0.0550,155
35324,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=152',0.0000,997,0.0548,156
35761,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=276',0.0000,855,0.0547,157
35615,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=144',0.0000,710,0.0546,158
33329,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,73,0.0543,159
35341,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=168',0.0000,993,0.0541,160
35704,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=224',0.0000,618,0.0536,161
34990,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=121',0.0000,489,0.0535,162
35394,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=215',0.0000,904,0.0535,163
35090,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=211',0.0000,511,0.0534,164
35375,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=199',0.0000,887,0.0533,165
35050,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=176',0.0000,551,0.0532,166
35031,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=159',0.0000,449,0.0529,167
35170,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=284',0.0000,270,0.0527,168
35827,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=66',0.0000,742,0.0525,169
35477,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=290',0.0000,1149,0.0524,170
35169,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=283',0.0000,265,0.0522,171
8244,4.1,b'4.1-ngram.next_system_utterance__screen',69.2170,136,0.0519,172
35302,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=132',0.0000,968,0.0519,173
35659,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=184',0.0000,610,0.0518,174
35847,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=84',0.0000,776,0.0515,175
35064,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=189',0.0000,569,0.0513,176
35063,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=188',0.0000,558,0.0512,177
35719,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=238',0.0000,723,0.0511,178
14071,5,b'5-phrase_feature__noun_phrases__current_user_utterance__love',110.0250,62,0.0509,179
35149,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=265',0.0000,332,0.0508,180
35823,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=62',0.0000,737,0.0507,181
