id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
29,3,b'3-time_feature__end_of_session',272.2220,36,1.0000,0
7243,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,153,0.8129,1
31428,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,34,0.4587,2
44765,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,89,0.3749,3
29085,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,87,0.3586,4
30948,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.3184,5
36141,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.2632,6
47004,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=0',0.0000,349,0.2575,7
47006,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=10',0.0000,347,0.1981,8
34536,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.1750,9
33718,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,208,0.1637,10
45181,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,35,0.1635,11
16637,4.1,b'4.1-ngram.next_system_utterance__nfor',184.8938,82,0.1520,12
47013,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1005',0.0000,340,0.1472,13
16638,4.1,b'4.1-ngram.next_system_utterance__nfor example',184.8938,81,0.1442,14
45459,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,47,0.1426,15
16918,4.1,b'4.1-ngram.next_system_utterance__nyou discard',246.7700,45,0.1394,16
47007,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=100',0.0000,346,0.1314,17
35552,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time',246.1264,46,0.1299,18
16919,4.1,b'4.1-ngram.next_system_utterance__nyou discard request',246.7700,44,0.1195,19
7330,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.1169,20
33091,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n8',120.1275,108,0.1150,21
32325,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,70,0.1102,22
31483,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',71.7207,180,0.1080,23
45965,7,b'7-syntactic_feature__root_word__next_user_utterance__add',57.8600,224,0.1066,24
33038,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,30,0.1033,25
43523,7,b'7-syntactic_feature__obj_word__next_system_utterance__n5',59.7503,220,0.1030,26
43398,7,b'7-syntactic_feature__obj_word__next_system_utterance__item',270.4851,37,0.0855,27
34124,5,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder',105.2941,116,0.0839,28
45372,7,b'7-syntactic_feature__root_word__next_system_utterance__milk',69.2227,188,0.0833,29
35461,5,b'5-phrase_feature__noun_phrases__next_system_utterance__task',87.7669,142,0.0827,30
47011,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1003',0.0000,342,0.0823,31
32024,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,84,0.0821,32
45115,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.0819,33
47014,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1006',0.0000,319,0.0805,34
45556,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',85.1059,145,0.0762,35
43694,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,32,0.0754,36
33343,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',162.9005,92,0.0741,37
23351,4.1,b'4.1-ngram.next_user_utterance__discard',134.5622,102,0.0726,38
44406,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,115,0.0714,39
33060,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n3',241.9232,48,0.0694,40
6678,4.1,b'4.1-ngram.next_system_utterance__couldn',50.9553,253,0.0668,41
33083,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n5',185.8872,80,0.0651,42
43744,7,b'7-syntactic_feature__obj_word__next_system_utterance__you',70.8665,182,0.0646,43
47031,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1021',0.0000,323,0.0638,44
18800,4.1,b'4.1-ngram.next_system_utterance__reminder ntry',62.8033,212,0.0628,45
47008,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1000',0.0000,345,0.0576,46
32460,5,b'5-phrase_feature__noun_phrases__next_system_utterance__list',169.7379,86,0.0570,47
3511,4.1,b'4.1-ngram.next_system_utterance__add items',59.7357,221,0.0559,48
45799,7,b'7-syntactic_feature__root_word__next_system_utterance__think',58.4329,222,0.0548,49
47024,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1015',0.0000,330,0.0537,50
47017,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1009',0.0000,337,0.0524,51
46026,7,b'7-syntactic_feature__root_word__next_user_utterance__discard',130.3317,104,0.0519,52
47065,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1052',0.0000,321,0.0504,53
47077,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1063',0.0000,277,0.0499,54
32,3,b'3-time_feature__turns_from_start',229.2487,51,0.0475,55
47104,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1088',0.0000,314,0.0474,56
47225,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1197',0.0000,603,0.0473,57
44719,7,b"7-syntactic_feature__root_word__next_system_utterance__''",339.6939,21,0.0467,58
45472,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',56.2694,232,0.0457,59
29620,5,b'5-phrase_feature__noun_phrases__next_system_utterance__bread',57.3742,225,0.0456,60
44748,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,38,0.0452,61
45848,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',201.7096,76,0.0433,62
44619,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,74,0.0430,63
47346,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1305',0.0000,455,0.0426,64
39123,5,b'5-phrase_feature__noun_phrases__next_user_utterance__today',76.4376,162,0.0419,65
47015,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1007',0.0000,339,0.0414,66
45616,7,b'7-syntactic_feature__root_word__next_system_utterance__remind',52.4635,251,0.0413,67
47327,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1289',0.0000,453,0.0408,68
46852,7,b'7-syntactic_feature__subj_word__next_system_utterance__titl',506.3669,11,0.0402,69
47163,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1140',0.0000,665,0.0394,70
32352,5,b'5-phrase_feature__noun_phrases__next_system_utterance__leslie',388.6406,12,0.0393,71
47009,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1001',0.0000,344,0.0392,72
21793,4.1,b'4.1-ngram.next_system_utterance__understand',55.2939,235,0.0392,73
44472,7,b'7-syntactic_feature__root_word__current_user_utterance__discard',64.9271,204,0.0390,74
47070,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1057',0.0000,284,0.0386,75
45617,7,b'7-syntactic_feature__root_word__next_system_utterance__remov',121.4450,107,0.0385,76
47324,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1286',0.0000,481,0.0383,77
46199,7,b'7-syntactic_feature__root_word__next_user_utterance__today',141.4652,100,0.0380,78
47182,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1158',0.0000,598,0.0365,79
