id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
19,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=115',0.0000,53,1.0000,0
0,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=0',0.0000,129,0.8354,1
128,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,33,0.5481,2
1,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=1',0.0000,35,0.5448,3
22,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=118',0.0000,56,0.4542,4
5,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=102',0.0000,39,0.2754,5
23,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=119',0.0000,57,0.2595,6
2,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=10',0.0000,36,0.2159,7
24,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=12',0.0000,58,0.1894,8
12,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=109',0.0000,46,0.1797,9
17,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=113',0.0000,51,0.1508,10
4,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=101',0.0000,38,0.1230,11
27,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=122',0.0000,61,0.1206,12
79,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=17',0.0000,113,0.1148,13
98,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=187',0.0000,97,0.0973,14
93,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=182',0.0000,127,0.0942,15
99,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=188',0.0000,68,0.0872,16
87,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=177',0.0000,121,0.0865,17
20,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=116',0.0000,54,0.0831,18
21,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=117',0.0000,55,0.0823,19
7,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=104',0.0000,41,0.0802,20
15,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=111',0.0000,49,0.0782,21
