id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
523,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=3',0.0000,688,1.0000,0
639,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=133',0.0000,797,0.6233,1
312,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=109',0.0000,53,0.5975,2
112,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=2',0.0000,339,0.5970,3
245,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=5',0.0000,63,0.5075,4
326,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=121',0.0000,39,0.4711,5
341,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=135',0.0000,193,0.4060,6
69,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=160',0.0000,240,0.4056,7
498,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=277',0.0000,769,0.3922,8
724,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=21',0.0000,542,0.3717,9
76,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=167',0.0000,233,0.3712,10
193,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=272',0.0000,341,0.3547,11
456,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=239',0.0000,755,0.3485,12
627,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=122',0.0000,809,0.3480,13
658,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=150',0.0000,834,0.3322,14
184,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=264',0.0000,350,0.3265,15
86,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=176',0.0000,280,0.3255,16
68,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=16',0.0000,241,0.3184,17
900,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,0,0.3184,18
875,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=77',0.0000,618,0.3031,19
534,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=4',0.0000,705,0.2989,20
207,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=285',0.0000,383,0.2968,21
588,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=89',0.0000,848,0.2942,22
