id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
371,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=162',0.0000,219,1.0000,0
312,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=109',0.0000,53,0.6729,1
538,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=43',0.0000,730,0.5649,2
592,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=92',0.0000,888,0.4444,3
301,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=1',0.0000,7,0.4318,4
544,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=49',0.0000,724,0.4261,5
383,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=173',0.0000,207,0.4213,6
317,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=113',0.0000,48,0.3638,7
900,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,0,0.3506,8
543,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=48',0.0000,725,0.3141,9
597,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=97',0.0000,895,0.3045,10
546,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=50',0.0000,722,0.2894,11
393,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=182',0.0000,169,0.2848,12
374,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=165',0.0000,216,0.2352,13
514,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=291',0.0000,697,0.2296,14
774,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=255',0.0000,481,0.2130,15
528,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=34',0.0000,683,0.2118,16
591,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=91',0.0000,873,0.2116,17
31,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=126',0.0000,334,0.2075,18
389,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=179',0.0000,201,0.2065,19
470,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=251',0.0000,741,0.2029,20
369,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=160',0.0000,221,0.1979,21
477,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=258',0.0000,748,0.1961,22
686,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=176',0.0000,524,0.1931,23
403,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=191',0.0000,131,0.1807,24
179,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=26',0.0000,355,0.1777,25
819,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=296',0.0000,673,0.1771,26
417,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=203',0.0000,117,0.1753,27
347,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=140',0.0000,187,0.1738,28
145,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=229',0.0000,445,0.1638,29
413,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=20',0.0000,121,0.1629,30
357,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=15',0.0000,177,0.1627,31
427,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=212',0.0000,164,0.1626,32
588,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=89',0.0000,848,0.1620,33
334,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=129',0.0000,31,0.1585,34
510,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=288',0.0000,701,0.1540,35
377,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=168',0.0000,213,0.1527,36
504,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=282',0.0000,762,0.1524,37
446,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=23',0.0000,145,0.1488,38
633,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=128',0.0000,791,0.1461,39
246,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=50',0.0000,62,0.1447,40
331,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=126',0.0000,34,0.1440,41
348,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=141',0.0000,186,0.1432,42
366,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=158',0.0000,212,0.1423,43
346,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=14',0.0000,188,0.1420,44
481,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=261',0.0000,786,0.1397,45
154,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=237',0.0000,424,0.1391,46
318,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=114',0.0000,47,0.1368,47
577,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=79',0.0000,847,0.1366,48
381,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=171',0.0000,209,0.1330,49
140,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=224',0.0000,422,0.1322,50
408,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=196',0.0000,126,0.1315,51
306,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=103',0.0000,2,0.1310,52
257,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=60',0.0000,107,0.1301,53
25,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=120',0.0000,309,0.1245,54
422,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=208',0.0000,142,0.1240,55
466,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=248',0.0000,745,0.1236,56
559,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=62',0.0000,709,0.1204,57
297,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=97',0.0000,11,0.1204,58
320,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=116',0.0000,45,0.1203,59
584,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=85',0.0000,852,0.1192,60
267,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=7',0.0000,97,0.1191,61
771,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=252',0.0000,496,0.1173,62
445,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=229',0.0000,146,0.1172,63
898,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=98',0.0000,595,0.1164,64
332,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=127',0.0000,33,0.1128,65
496,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=275',0.0000,771,0.1118,66
333,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=128',0.0000,32,0.1117,67
360,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=152',0.0000,174,0.1116,68
354,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=147',0.0000,180,0.1113,69
353,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=146',0.0000,181,0.1107,70
562,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=65',0.0000,789,0.1105,71
411,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=199',0.0000,123,0.1103,72
447,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=230',0.0000,144,0.1094,73
262,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=65',0.0000,102,0.1084,74
410,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=198',0.0000,124,0.1076,75
467,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=249',0.0000,744,0.1075,76
87,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=177',0.0000,279,0.1074,77
