id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
2948,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3230,1.0000,0
8559,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,0.4156,1
35046,8.1,b'8.1-lda_feature.next_system_utterance__topic_26',0.0000,3301,0.3567,2
35127,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,3103,0.3121,3
12167,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,3227,0.2868,4
12166,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,3228,0.2317,5
35732,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=101',0.0000,2602,0.0886,6
35545,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=203',0.0000,2685,0.0742,7
35617,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=269',0.0000,2757,0.0738,8
39754,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,8116,0.0717,9
35657,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=35',0.0000,2624,0.0708,10
34433,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,0.0665,11
36326,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=96',0.0000,4238,0.0639,12
33342,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,73,0.0635,13
38004,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1964',0.0000,331,0.0577,14
32826,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,79,0.0573,15
35439,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=108',0.0000,3345,0.0556,16
32996,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.0554,17
37245,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1280',0.0000,972,0.0544,18
41346,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=652',0.0000,8290,0.0543,19
5024,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.0536,20
35599,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=252',0.0000,2739,0.0535,21
36568,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=43',0.0000,4543,0.0534,22
44,3,b'3-time_feature__end_of_session',110.1752,60,0.0533,23
35454,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=121',0.0000,3430,0.0530,24
39715,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1343',0.0000,7953,0.0529,25
38290,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2220',0.0000,623,0.0512,26
42141,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1367',0.0000,5766,0.0494,27
35980,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=56',0.0000,2771,0.0489,28
9325,4.1,b'4.1-ngram.next_system_utterance__try',48.8943,219,0.0484,29
40837,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2353',0.0000,8965,0.0470,30
35557,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=214',0.0000,2638,0.0464,31
38461,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2375',0.0000,1978,0.0463,32
35148,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=116',0.0000,3047,0.0460,33
35469,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=135',0.0000,3445,0.0445,34
35987,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=62',0.0000,2765,0.0438,35
39713,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,7951,0.0428,36
37474,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1487',0.0000,1279,0.0419,37
39733,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=136',0.0000,8155,0.0416,38
35051,8.1,b'8.1-lda_feature.next_system_utterance__topic_30',0.0000,3306,0.0414,39
42886,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2037',0.0000,5131,0.0410,40
35506,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=169',0.0000,3413,0.0404,41
40766,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=229',0.0000,8907,0.0400,42
35128,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=0',0.0000,3104,0.0393,43
36592,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=65',0.0000,4567,0.0392,44
35440,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=109',0.0000,3346,0.0390,45
36591,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=64',0.0000,4566,0.0387,46
35664,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=41',0.0000,2530,0.0380,47
36669,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=133',0.0000,3748,0.0380,48
43215,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2333',0.0000,6569,0.0375,49
35503,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=166',0.0000,3410,0.0367,50
35533,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=193',0.0000,2662,0.0361,51
35309,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=261',0.0000,3528,0.0347,52
35711,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=84',0.0000,2502,0.0345,53
40124,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1711',0.0000,7304,0.0341,54
35715,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=88',0.0000,2506,0.0334,55
35361,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=39',0.0000,3546,0.0333,56
12165,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,3229,0.0331,57
35101,8.1,b'8.1-lda_feature.next_user_utterance__topic_30',0.0000,3181,0.0330,58
37683,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1675',0.0000,1201,0.0327,59
36331,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=1',0.0000,4233,0.0319,60
33274,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,14,0.0319,61
35633,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=283',0.0000,2701,0.0312,62
40590,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2130',0.0000,7464,0.0311,63
22237,5,b'5-phrase_feature__noun_phrases__next_system_utterance__seconds',45.3290,243,0.0310,64
38316,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2244',0.0000,2109,0.0307,65
35282,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=237',0.0000,3471,0.0305,66
40411,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1970',0.0000,7642,0.0305,67
35076,8.1,b'8.1-lda_feature.next_system_utterance__topic_9',0.0000,3259,0.0298,68
39182,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=865',0.0000,1800,0.0294,69
40691,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2221',0.0000,9122,0.0293,70
37730,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1717',0.0000,1179,0.0290,71
26954,5,b'5-phrase_feature__noun_phrases__next_user_utterance__watch',68.8235,137,0.0286,72
40537,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2083',0.0000,7480,0.0284,73
43107,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2236',0.0000,6529,0.0281,74
37453,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1468',0.0000,901,0.0280,75
38095,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2045',0.0000,742,0.0280,76
40251,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1826',0.0000,7214,0.0275,77
33821,7,b'7-syntactic_feature__root_word__next_user_utterance__tv',41.9624,255,0.0268,78
35458,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=125',0.0000,3434,0.0268,79
37217,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1255',0.0000,1014,0.0267,80
37795,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1776',0.0000,400,0.0266,81
35994,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=69',0.0000,2785,0.0264,82
36574,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=49',0.0000,4549,0.0263,83
40208,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1788',0.0000,7072,0.0261,84
37173,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1215',0.0000,3965,0.0261,85
32101,7,b'7-syntactic_feature__root_word__current_user_utterance__creat',65.8762,143,0.0259,86
40887,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2399',0.0000,8934,0.0258,87
42158,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1382',0.0000,5859,0.0253,88
35086,8.1,b'8.1-lda_feature.next_user_utterance__topic_17',0.0000,3272,0.0253,89
33036,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,35,0.0250,90
41512,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=801',0.0000,8751,0.0249,91
8247,4.1,b'4.1-ngram.next_system_utterance__screen',69.2170,136,0.0247,92
37325,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1352',0.0000,1053,0.0247,93
38235,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2171',0.0000,569,0.0245,94
31381,7,b'7-syntactic_feature__obj_word__next_system_utterance__me',309.9814,13,0.0245,95
35015,8.1,b'8.1-lda_feature.current_user_utterance__topic_43',0.0000,3200,0.0244,96
35283,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=238',0.0000,3470,0.0241,97
36028,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,2889,0.0241,98
35712,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=85',0.0000,2503,0.0238,99
40621,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2159',0.0000,9053,0.0236,100
35792,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=156',0.0000,2583,0.0236,101
37197,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1237',0.0000,999,0.0235,102
35183,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=148',0.0000,3152,0.0234,103
35621,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=272',0.0000,2746,0.0234,104
35118,8.1,b'8.1-lda_feature.next_user_utterance__topic_46',0.0000,3094,0.0233,105
42085,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1316',0.0000,5785,0.0231,106
42575,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1758',0.0000,4742,0.0229,107
35278,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=233',0.0000,3475,0.0229,108
39485,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1136',0.0000,7826,0.0227,109
39721,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1349',0.0000,8149,0.0227,110
35045,8.1,b'8.1-lda_feature.next_system_utterance__topic_25',0.0000,3300,0.0225,111
38011,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1970',0.0000,343,0.0225,112
39831,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1448',0.0000,8186,0.0221,113
38432,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2349',0.0000,2159,0.0220,114
44131,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,4712,0.0219,115
39815,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1433',0.0000,8237,0.0218,116
30439,6,b'6-entity_feature__entity__next_user_utterance__minix_PERSON',49.7911,212,0.0218,117
42170,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1393',0.0000,5883,0.0218,118
36477,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=230',0.0000,4661,0.0217,119
42461,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1655',0.0000,5003,0.0215,120
39923,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1530',0.0000,7984,0.0215,121
41990,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1230',0.0000,5327,0.0213,122
41075,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=408',0.0000,9169,0.0213,123
38183,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2124',0.0000,586,0.0211,124
38713,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=442',0.0000,2439,0.0210,125
42811,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1970',0.0000,5059,0.0207,126
37784,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1766',0.0000,428,0.0207,127
43279,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2391',0.0000,6984,0.0207,128
36145,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=201',0.0000,4364,0.0206,129
39378,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=104',0.0000,1781,0.0206,130
33263,7,b'7-syntactic_feature__root_word__next_system_utterance__support',88.1407,84,0.0205,131
43739,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=646',0.0000,5897,0.0205,132
42473,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1666',0.0000,4990,0.0204,133
36697,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=159',0.0000,3767,0.0201,134
41464,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=759',0.0000,8340,0.0199,135
34985,8.1,b'8.1-lda_feature.current_user_utterance__topic_16',0.0000,3240,0.0199,136
35191,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=155',0.0000,3167,0.0199,137
35065,8.1,b'8.1-lda_feature.next_system_utterance__topic_43',0.0000,3287,0.0198,138
37366,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=139',0.0000,846,0.0198,139
35735,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=104',0.0000,2599,0.0197,140
35427,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=99',0.0000,3326,0.0197,141
37053,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1107',0.0000,4015,0.0197,142
