id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
45121,7,b'7-syntactic_feature__root_word__next_system_utterance__exampl',25.4531,517,1.0000,0
42366,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,5782,0.6594,1
7246,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,153,0.5910,2
2791,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,5789,0.5220,3
24486,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,5798,0.5090,4
7333,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.4946,5
31,3,b'3-time_feature__start_of_session',94.2762,132,0.4906,6
43644,7,b'7-syntactic_feature__obj_word__next_system_utterance__salad',11.3966,2694,0.3083,7
47604,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=214',0.0000,5592,0.2526,8
44639,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,74,0.2502,9
44770,7,b'7-syntactic_feature__root_word__next_system_utterance__addi',24.1481,548,0.2380,10
28948,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor_example',1040.3301,4,0.2129,11
44542,7,b'7-syntactic_feature__root_word__current_user_utterance__ham',14.2155,1250,0.1992,12
47617,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=226',0.0000,5575,0.1979,13
2174,4.1,b'4.1-ngram.current_user_utterance__reminders',18.3222,728,0.1850,14
24485,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,5797,0.1675,15
47174,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,5956,0.1675,16
44637,7,b'7-syntactic_feature__root_word__current_user_utterance__remaind',14.2155,1161,0.1663,17
46128,7,b'7-syntactic_feature__root_word__next_user_utterance__member',11.3966,2728,0.1576,18
44659,7,b'7-syntactic_feature__root_word__current_user_utterance__share',30.8046,425,0.1377,19
44425,7,b'7-syntactic_feature__root_word__current_user_utterance__accept',14.2155,1193,0.1292,20
47039,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,5802,0.1208,21
777,4.1,b'4.1-ngram.current_user_utterance__clear',82.0707,150,0.1191,22
45474,7,b'7-syntactic_feature__root_word__next_system_utterance__notifi',6.7126,3907,0.1053,23
47088,8.1,b'8.1-lda_feature.next_system_utterance__topic_21',0.0000,5712,0.1050,24
32038,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,84,0.1025,25
50025,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1940',0.0000,11416,0.1017,26
2790,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,5788,0.0998,27
46172,7,b'7-syntactic_feature__root_word__next_user_utterance__reset',12.0741,2212,0.0990,28
28723,5,b'5-phrase_feature__noun_phrases__current_user_utterance__whiting_@heritage',14.2155,1122,0.0980,29
48459,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=172',0.0000,4653,0.0930,30
45556,7,b'7-syntactic_feature__root_word__next_system_utterance__person',12.0741,2342,0.0929,31
35902,5,b'5-phrase_feature__noun_phrases__next_system_utterance__view_reminders',19.5039,699,0.0917,32
44760,7,b'7-syntactic_feature__root_word__next_system_utterance__\\',149.3719,96,0.0913,33
47625,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=233',0.0000,5573,0.0900,34
46535,7,b'7-syntactic_feature__subj_word__next_system_utterance__edi',12.0741,2276,0.0890,35
28045,5,b'5-phrase_feature__noun_phrases__current_user_utterance__seminar',14.2155,1003,0.0883,36
24484,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,5796,0.0856,37
