id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7912,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,18806,1.0000,0
12302,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,19018,0.4011,1
28,3,b'3-time_feature__time_ratio',170.5127,93,0.1959,2
13203,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,17015,0.1734,3
7913,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,18908,0.1690,4
12648,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=139',0.0000,18669,0.1437,5
25,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,18161,0.1360,6
12899,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=96',0.0000,17389,0.1181,7
29,3,b'3-time_feature__turns_from_start',2854.4766,1,0.1146,8
9172,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,3,0.1055,9
153,4.1,b'4.1-ngram.current_user_utterance__care price range',29.2491,679,0.0941,10
12077,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,0.0802,11
12900,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=97',0.0000,17388,0.0799,12
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.0741,13
14105,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,20284,0.0739,14
273,4.1,b'4.1-ngram.current_user_utterance__does television',72.9991,203,0.0713,15
12810,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=285',0.0000,17200,0.0583,16
12649,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=14',0.0000,18670,0.0543,17
852,4.1,b'4.1-ngram.current_user_utterance__phone number area',24.2342,918,0.0523,18
11575,7,b'7-syntactic_feature__root_word__next_system_utterance__is',146.7035,102,0.0485,19
11703,7,b'7-syntactic_feature__root_word__next_user_utterance__fenditton',57.4457,279,0.0474,20
12916,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=11',0.0000,17302,0.0448,21
12676,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=164',0.0000,18724,0.0440,22
