id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7912,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,4419,1.0000,0
12302,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,4298,0.9976,1
28,3,b'3-time_feature__time_ratio',170.5127,93,0.3566,2
25,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,4415,0.2851,3
11023,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,4425,0.2242,4
12648,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=139',0.0000,4033,0.1908,5
17984,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2328',0.0000,9872,0.1835,6
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.1798,7
12899,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=96',0.0000,4228,0.1656,8
17362,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1769',0.0000,10601,0.1598,9
9682,5,b'5-phrase_feature__noun_phrases__next_system_utterance__thai_food',10.5483,1852,0.1564,10
17613,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1995',0.0000,11164,0.1563,11
19861,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1858',0.0000,6090,0.1549,12
13203,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,5255,0.1546,13
7913,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,4420,0.1542,14
16791,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1254',0.0000,9007,0.1384,15
29,3,b'3-time_feature__turns_from_start',2854.4766,1,0.1304,16
153,4.1,b'4.1-ngram.current_user_utterance__care price range',29.2491,679,0.1254,17
19214,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1275',0.0000,5838,0.1214,18
16815,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1276',0.0000,8958,0.1178,19
11929,7,b'7-syntactic_feature__subj_word__current_user_utterance__i',25.8967,870,0.1174,20
14515,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1366',0.0000,2059,0.1127,21
15191,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1975',0.0000,3625,0.1083,22
19514,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1545',0.0000,5714,0.1065,23
11260,7,b'7-syntactic_feature__root_word__current_user_utterance__is',48.1041,353,0.1057,24
12810,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=285',0.0000,4194,0.1032,25
17490,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1884',0.0000,11112,0.1031,26
1324,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,4417,0.1000,27
15095,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1889',0.0000,3807,0.0980,28
