id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
4223,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,1.0000,0
58,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,1176,0.1257,1
1692,5,b'5-phrase_feature__noun_phrases__next_system_utterance__regent_street',50.0564,254,0.0886,2
2221,5,b'5-phrase_feature__noun_phrases__next_user_utterance__good_bye',554.4238,13,0.0727,3
28,3,b'3-time_feature__time_ratio',170.5127,76,0.0564,4
4448,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,1184,0.0524,5
1318,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,3,0.0495,6
3716,7,b'7-syntactic_feature__root_word__next_system_utterance__help',79.9664,143,0.0486,7
4003,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',774.3776,7,0.0457,8
1564,5,b'5-phrase_feature__noun_phrases__next_system_utterance__old_schools',24.8597,727,0.0447,9
3726,7,b'7-syntactic_feature__root_word__next_system_utterance__let',253.6060,59,0.0434,10
1496,5,b'5-phrase_feature__noun_phrases__next_system_utterance__loch_fyne',28.2742,540,0.0429,11
31,1,b'1-utterance_length.next_system_utterance__utterance_length',301.5740,55,0.0423,12
1576,5,b'5-phrase_feature__noun_phrases__next_system_utterance__parade',19.4265,855,0.0378,13
3748,7,b'7-syntactic_feature__root_word__next_system_utterance__road',18.3329,909,0.0360,14
4400,8.1,b'8.1-lda_feature.next_user_utterance__topic_10',0.0000,1027,0.0359,15
4320,8.1,b'8.1-lda_feature.current_user_utterance__topic_29',0.0000,1131,0.0344,16
1940,5,b'5-phrase_feature__noun_phrases__next_user_utterance__area',97.6922,112,0.0333,17
1378,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_pub',21.6602,800,0.0331,18
4357,8.1,b'8.1-lda_feature.next_system_utterance__topic_17',0.0000,1162,0.0328,19
4360,8.1,b'8.1-lda_feature.next_system_utterance__topic_2',0.0000,1145,0.0308,20
4387,8.1,b'8.1-lda_feature.next_system_utterance__topic_44',0.0000,1035,0.0305,21
81,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',517.1957,18,0.0262,22
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.0229,23
4407,8.1,b'8.1-lda_feature.next_user_utterance__topic_17',0.0000,1050,0.0217,24
4440,8.1,b'8.1-lda_feature.next_user_utterance__topic_47',0.0000,1066,0.0216,25
4399,8.1,b'8.1-lda_feature.next_user_utterance__topic_1',0.0000,1028,0.0205,26
2192,5,b'5-phrase_feature__noun_phrases__next_user_utterance__food',18.5836,899,0.0201,27
3742,7,b'7-syntactic_feature__root_word__next_system_utterance__pound',30.8977,494,0.0184,28
2186,5,b'5-phrase_feature__noun_phrases__next_user_utterance__fenditton',63.1525,191,0.0184,29
4382,8.1,b'8.1-lda_feature.next_system_utterance__topic_4',0.0000,1038,0.0183,30
42,2.1,b'2.1-user_action_words.next_user_utterance__food',18.5488,901,0.0175,31
4373,8.1,b'8.1-lda_feature.next_system_utterance__topic_31',0.0000,1158,0.0169,32
4433,8.1,b'8.1-lda_feature.next_user_utterance__topic_40',0.0000,1059,0.0167,33
25,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,1164,0.0161,34
4372,8.1,b'8.1-lda_feature.next_system_utterance__topic_30',0.0000,1157,0.0161,35
1602,5,b'5-phrase_feature__noun_phrases__next_system_utterance__portraits_exhibition',30.4923,504,0.0160,36
59,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,1169,0.0151,37
1251,5,b'5-phrase_feature__noun_phrases__next_system_utterance__church',85.6462,126,0.0150,38
475,5,b'5-phrase_feature__noun_phrases__current_user_utterance__im_looking',70.5478,163,0.0149,39
3712,7,b'7-syntactic_feature__root_word__next_system_utterance__ha',32.6777,458,0.0148,40
1338,5,b'5-phrase_feature__noun_phrases__next_system_utterance__food',28.8160,536,0.0147,41
1240,5,b'5-phrase_feature__noun_phrases__next_system_utterance__chesterton_part',46.7382,284,0.0146,42
4307,8.1,b'8.1-lda_feature.current_user_utterance__topic_17',0.0000,1125,0.0145,43
4326,8.1,b'8.1-lda_feature.current_user_utterance__topic_34',0.0000,1116,0.0140,44
695,5,b'5-phrase_feature__noun_phrases__current_user_utterance__postcode',107.4588,98,0.0138,45
2513,5,b'5-phrase_feature__noun_phrases__next_user_utterance__ringing',27.5288,646,0.0133,46
471,5,b'5-phrase_feature__noun_phrases__current_user_utterance__im',69.6436,166,0.0133,47
4199,7,b'7-syntactic_feature__subj_word__next_system_utterance__seoul',22.8778,773,0.0132,48
4137,7,b'7-syntactic_feature__subj_word__next_system_utterance__baker',44.5004,301,0.0126,49
3197,7,b'7-syntactic_feature__obj_word__current_user_utterance__number',26.9389,672,0.0125,50
1801,5,b'5-phrase_feature__noun_phrases__next_system_utterance__stow_road',32.6287,459,0.0122,51
1088,5,b'5-phrase_feature__noun_phrases__next_system_utterance__barnwell_part',37.0102,375,0.0120,52
4358,8.1,b'8.1-lda_feature.next_system_utterance__topic_18',0.0000,1143,0.0119,53
3725,7,b'7-syntactic_feature__root_word__next_system_utterance__lane',19.9844,841,0.0114,54
3728,7,b'7-syntactic_feature__root_word__next_system_utterance__locat',273.3423,57,0.0113,55
535,5,b'5-phrase_feature__noun_phrases__current_user_utterance__looking',80.9568,141,0.0113,56
2622,5,b'5-phrase_feature__noun_phrases__next_user_utterance__trumpington_area',17.1855,949,0.0110,57
4213,7,b'7-syntactic_feature__subj_word__next_system_utterance__taverna',33.5441,437,0.0109,58
1722,5,b'5-phrase_feature__noun_phrases__next_system_utterance__saigon_city',16.0625,991,0.0109,59
1067,5,b'5-phrase_feature__noun_phrases__next_system_utterance__area',130.4845,90,0.0108,60
4366,8.1,b'8.1-lda_feature.next_system_utterance__topic_25',0.0000,1151,0.0107,61
4042,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',102.8412,105,0.0106,62
2003,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',560.2088,12,0.0105,63
3356,7,b'7-syntactic_feature__root_word__current_user_utterance__doe',22.3352,785,0.0103,64
2182,5,b'5-phrase_feature__noun_phrases__next_user_utterance__fen_ditton_area',33.9202,430,0.0102,65
4341,8.1,b'8.1-lda_feature.current_user_utterance__topic_48',0.0000,1167,0.0102,66
26,3,b'3-time_feature__end_of_session',220.2308,65,0.0100,67
3169,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,1108,0.0099,68
701,5,b'5-phrase_feature__noun_phrases__current_user_utterance__price',65.6961,176,0.0098,69
4426,8.1,b'8.1-lda_feature.next_user_utterance__topic_34',0.0000,1092,0.0097,70
4173,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',63.0134,192,0.0095,71
1667,5,b'5-phrase_feature__noun_phrases__next_system_utterance__press_gallery',32.1109,472,0.0094,72
