dstc2100,dstc2,100,75,25,75.0000,25.0000
dstc2200,dstc2,200,149,51,74.5000,25.5000
dstc2300,dstc2,300,229,71,76.3333,23.6667
dstc2500,dstc2,500,403,97,80.6000,19.4000
dstc2600,dstc2,600,491,109,81.8333,18.1667
dstc2700,dstc2,700,582,118,83.1429,16.8571
dstc2800,dstc2,800,675,125,84.3750,15.6250
dstc2900,dstc2,900,767,133,85.2222,14.7778
dstc21000,dstc2,1000,865,135,86.5000,13.5000
dstc21500,dstc2,1500,1348,152,89.8667,10.1333
dstc22000,dstc2,2000,1843,157,92.1500,7.8500
dstc3100,dstc3,100,68,32,68.0000,32.0000
dstc3200,dstc3,200,145,55,72.5000,27.5000
dstc3300,dstc3,300,227,73,75.6667,24.3333
dstc3500,dstc3,500,395,105,79.0000,21.0000
dstc3600,dstc3,600,483,117,80.5000,19.5000
dstc3700,dstc3,700,571,129,81.5714,18.4286
dstc3800,dstc3,800,664,136,83.0000,17.0000
dstc3900,dstc3,900,761,139,84.5556,15.4444
dstc31000,dstc3,1000,852,148,85.2000,14.8000
dstc31500,dstc3,1500,1344,156,89.6000,10.4000
dstc32000,dstc3,2000,1842,158,92.1000,7.9000
family100,family,100,69,31,69.0000,31.0000
family200,family,200,139,61,69.5000,30.5000
family300,family,300,218,82,72.6667,27.3333
family500,family,500,372,128,74.4000,25.6000
family600,family,600,458,142,76.3333,23.6667
family700,family,700,553,147,79.0000,21.0000
family800,family,800,648,152,81.0000,19.0000
family900,family,900,746,154,82.8889,17.1111
family1000,family,1000,845,155,84.5000,15.5000
family1500,family,1500,1342,158,89.4667,10.5333
family2000,family,2000,1842,158,92.1000,7.9000
ghome100,ghome,100,71,29,71.0000,29.0000
ghome200,ghome,200,131,69,65.5000,34.5000
ghome300,ghome,300,208,92,69.3333,30.6667
ghome500,ghome,500,375,125,75.0000,25.0000
ghome600,ghome,600,463,137,77.1667,22.8333
ghome700,ghome,700,555,145,79.2857,20.7143
ghome800,ghome,800,649,151,81.1250,18.8750
ghome900,ghome,900,745,155,82.7778,17.2222
ghome1000,ghome,1000,843,157,84.3000,15.7000
ghome1500,ghome,1500,1342,158,89.4667,10.5333
ghome2000,ghome,2000,1842,158,92.1000,7.9000
