id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8957,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',118.6848,37,1.0000,0
22361,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,0.8565,1
11278,5,b'5-phrase_feature__noun_phrases__next_system_utterance__turning',240.5849,13,0.5623,2
22433,7,b'7-syntactic_feature__subj_word__next_system_utterance__ok',74.8827,96,0.4461,3
20790,7,b'7-syntactic_feature__root_word__next_system_utterance__got',142.9711,27,0.4107,4
44,3,b'3-time_feature__end_of_session',110.1752,41,0.4043,5
18234,6,b'6-entity_feature__entity__next_user_utterance__fuller_PERSON',57.4095,127,0.3744,6
8480,5,b'5-phrase_feature__noun_phrases__next_system_utterance__minutes',103.8777,51,0.3049,7
10209,5,b'5-phrase_feature__noun_phrases__next_system_utterance__setting',98.0135,53,0.2192,8
9357,5,b'5-phrase_feature__noun_phrases__next_system_utterance__playing',73.0405,101,0.2139,9
19037,7,b'7-syntactic_feature__obj_word__current_user_utterance__timer',76.8242,95,0.1377,10
49,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,4,0.1185,11
8041,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lights',91.3558,60,0.1096,12
95,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,134,0.1007,13
93,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,132,0.0965,14
94,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,135,0.0963,15
20924,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,19,0.0842,16
21240,7,b'7-syntactic_feature__root_word__next_system_utterance__turn',68.4163,108,0.0837,17
4209,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',111.9174,39,0.0835,18
7892,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lamp',58.0313,124,0.0748,19
21015,7,b'7-syntactic_feature__root_word__next_system_utterance__play',60.3412,120,0.0676,20
17079,6,b'6-entity_feature__entity__next_system_utterance__google home_ORGANIZATION',71.3923,103,0.0649,21
21202,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,7,0.0609,22
4334,5,b'5-phrase_feature__noun_phrases__next_system_utterance__apologies',254.6443,12,0.0522,23
18572,7,b'7-syntactic_feature__next_subj_words_overlap',0.0000,138,0.0500,24
21017,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',62.3054,118,0.0486,25
21246,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',263.0493,9,0.0472,26
20895,7,b'7-syntactic_feature__root_word__next_system_utterance__know',726.7511,3,0.0467,27
20964,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,20,0.0445,28
20754,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,59,0.0424,29
8029,5,b'5-phrase_feature__noun_phrases__next_system_utterance__light',80.3700,91,0.0424,30
20535,7,b'7-syntactic_feature__root_word__next_system_utterance__apolog',254.6443,11,0.0415,31
20906,7,b'7-syntactic_feature__root_word__next_system_utterance__learn',195.9882,17,0.0380,32
2005,5,b'5-phrase_feature__noun_phrases__current_user_utterance__love',110.0250,43,0.0358,33
18571,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,137,0.0356,34
8651,5,b'5-phrase_feature__noun_phrases__next_system_utterance__name',201.1263,16,0.0322,35
36,2.1,b'2.1-user_action_words.current_user_utterance__timer',88.1845,63,0.0306,36
10107,5,b'5-phrase_feature__noun_phrases__next_system_utterance__saying',230.8416,15,0.0304,37
14757,5,b'5-phrase_feature__noun_phrases__next_user_utterance__tunein_station',83.9180,86,0.0297,38
3454,5,b'5-phrase_feature__noun_phrases__current_user_utterance__timer',89.1305,61,0.0296,39
21236,7,b'7-syntactic_feature__root_word__next_system_utterance__tri',150.5583,24,0.0293,40
7118,5,b'5-phrase_feature__noun_phrases__next_system_utterance__home_control',151.7848,23,0.0291,41
5817,5,b'5-phrase_feature__noun_phrases__next_system_utterance__device',289.4626,8,0.0284,42
5486,5,b'5-phrase_feature__noun_phrases__next_system_utterance__control',151.7848,22,0.0279,43
21270,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,54,0.0262,44
7114,5,b'5-phrase_feature__noun_phrases__next_system_utterance__home',58.7082,123,0.0256,45
6811,5,b'5-phrase_feature__noun_phrases__next_system_utterance__google_home',63.8048,115,0.0240,46
19269,7,b'7-syntactic_feature__obj_word__next_system_utterance__it',107.4299,46,0.0236,47
4335,5,b'5-phrase_feature__noun_phrases__next_system_utterance__app',79.1270,93,0.0224,48
21191,7,b'7-syntactic_feature__root_word__next_system_utterance__support',88.1407,64,0.0214,49
11478,5,b'5-phrase_feature__noun_phrases__next_system_utterance__video',259.9380,10,0.0198,50
