id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8699,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,42,1.0000,0
30,3,b'3-time_feature__end_of_session',272.2220,35,0.8337,1
20364,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,80,0.4426,2
7021,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,33,0.3839,3
4676,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,78,0.3291,4
20780,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,34,0.2691,5
20347,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,37,0.2690,6
11734,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.2012,7
17945,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,264,0.1835,8
19293,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,31,0.1490,9
10129,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.1390,10
65,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,263,0.1201,11
9717,5,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder',105.2941,101,0.1105,12
20714,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.0996,13
11335,5,b'5-phrase_feature__noun_phrases__next_system_utterance__typing',48.4614,194,0.0976,14
19122,7,b'7-syntactic_feature__obj_word__next_system_utterance__n5',59.7503,159,0.0962,15
9311,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,152,0.0953,16
8053,5,b'5-phrase_feature__noun_phrases__next_system_utterance__list',169.7379,77,0.0904,17
20005,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,100,0.0866,18
8631,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,29,0.0773,19
35,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.0764,20
8705,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_ntype',56.1006,167,0.0746,21
7918,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,64,0.0719,22
8888,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',1238.2639,1,0.0713,23
8636,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n14',42.3540,220,0.0651,24
8634,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n12',66.2984,147,0.0648,25
21071,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',56.2694,166,0.0636,26
7076,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',71.7207,139,0.0633,27
20659,7,b'7-syntactic_feature__root_word__next_system_utterance__discard',175.6339,76,0.0618,28
8936,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',162.9005,81,0.0597,29
8392,5,b'5-phrase_feature__noun_phrases__next_system_utterance__milk',42.8263,202,0.0586,30
8642,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n2',260.7042,39,0.0577,31
20218,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,67,0.0565,32
21447,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',201.7096,69,0.0550,33
20971,7,b'7-syntactic_feature__root_word__next_system_utterance__milk',69.2227,145,0.0536,34
8206,5,b'5-phrase_feature__noun_phrases__next_system_utterance__mar',46.7949,196,0.0528,35
21218,7,b'7-syntactic_feature__root_word__next_system_utterance__rephras',101.5515,102,0.0528,36
16044,6,b'6-entity_feature__entity__next_system_utterance__1,4_NUMBER',38.0987,254,0.0487,37
7617,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,75,0.0480,38
8782,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nhere',260.2771,40,0.0477,39
21155,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',85.1059,122,0.0471,40
20552,7,b'7-syntactic_feature__root_word__next_system_utterance__chees',41.6177,225,0.0460,41
8683,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n7',129.8713,90,0.0448,42
22501,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',168.8379,79,0.0445,43
18997,7,b'7-syntactic_feature__obj_word__next_system_utterance__item',270.4851,36,0.0442,44
63,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,265,0.0435,45
22288,7,b'7-syntactic_feature__subj_word__next_system_utterance__nyou',267.0933,38,0.0435,46
21829,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',315.2330,23,0.0426,47
4528,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nhere',259.5465,41,0.0416,48
7,2.1,b'2.1-user_action_words.current_user_utterance__item',117.9209,94,0.0406,49
21058,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,44,0.0397,50
17944,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,257,0.0393,51
0,1,b'1-utterance_length.current_user_utterance__utterance_length',223.7570,48,0.0386,52
8653,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n3',241.9232,45,0.0371,53
6541,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.0360,54
4499,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_n2',47.5253,195,0.0356,55
7945,5,b'5-phrase_feature__noun_phrases__next_system_utterance__leslie',388.6406,12,0.0343,56
20569,7,b'7-syntactic_feature__root_word__next_system_utterance__clarifi',113.4673,96,0.0342,57
36,1,b'1-utterance_length.next_user_utterance__utterance_length',285.2474,32,0.0336,58
