id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
928,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,1025,1.0000,0
2530,4.1,b'4.1-ngram.next_system_utterance__like',388.2541,1,0.9822,1
3527,4.1,b'4.1-ngram.next_system_utterance__road',33.8848,106,0.4477,2
5066,4.1,b'4.1-ngram.next_user_utterance__thank',412.7607,0,0.3635,3
4079,4.1,b'4.1-ngram.next_system_utterance__street',33.3375,108,0.2894,4
2574,4.1,b'4.1-ngram.next_system_utterance__looking',85.7534,39,0.2455,5
4089,4.1,b'4.1-ngram.next_system_utterance__sure',60.0399,59,0.2258,6
4553,4.1,b'4.1-ngram.next_user_utterance__address',275.7813,14,0.1890,7
4875,4.1,b'4.1-ngram.next_user_utterance__number',213.1081,19,0.1828,8
4726,4.1,b'4.1-ngram.next_user_utterance__good',342.6585,7,0.1675,9
2847,4.1,b'4.1-ngram.next_system_utterance__number',77.2558,44,0.1527,10
3519,4.1,b'4.1-ngram.next_system_utterance__right',83.0720,40,0.1512,11
3051,4.1,b'4.1-ngram.next_system_utterance__phone',77.2558,45,0.1486,12
3052,4.1,b'4.1-ngram.next_system_utterance__phone number',77.2558,46,0.1449,13
473,4.1,b'4.1-ngram.current_user_utterance__phone',199.8041,24,0.1031,14
5174,4.1,b'4.1-ngram.next_user_utterance__yes',202.5400,21,0.1030,15
5068,4.1,b'4.1-ngram.next_user_utterance__thank good',331.0370,10,0.1013,16
5069,4.1,b'4.1-ngram.next_user_utterance__thank good bye',328.6396,11,0.0992,17
3613,4.1,b'4.1-ngram.next_system_utterance__serves',23.9108,145,0.0961,18
3,4.1,b'4.1-ngram.current_user_utterance__address phone number',29.4059,119,0.0794,19
927,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,1024,0.0687,20
119,4.1,b'4.1-ngram.current_user_utterance__code',58.8962,61,0.0644,21
4673,4.1,b'4.1-ngram.next_user_utterance__doesnt',101.6540,33,0.0599,22
4833,4.1,b'4.1-ngram.next_user_utterance__matter',99.7411,35,0.0585,23
4938,4.1,b'4.1-ngram.next_user_utterance__post code',58.4127,63,0.0570,24
