id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
7210,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,26,1.0000,0
18884,4.1,b'4.1-ngram.next_system_utterance__reminders time',16.0249,227,0.4860,1
21873,4.1,b'4.1-ngram.next_system_utterance__ve',19.9675,167,0.4584,2
2756,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,258,0.2761,3
22584,4.1,b'4.1-ngram.next_system_utterance__yes',79.9252,28,0.2395,4
20833,4.1,b'4.1-ngram.next_system_utterance__task',19.6359,174,0.2030,5
21874,4.1,b'4.1-ngram.next_system_utterance__ve added',16.4481,223,0.1877,6
7297,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,5,0.1308,7
16887,4.1,b'4.1-ngram.next_system_utterance__nyou',213.1769,6,0.1269,8
18827,4.1,b'4.1-ngram.next_system_utterance__reminders',19.9760,166,0.1229,9
1481,4.1,b'4.1-ngram.current_user_utterance__list',17.3641,199,0.1074,10
911,4.1,b'4.1-ngram.current_user_utterance__discard',41.2104,81,0.1036,11
16799,4.1,b'4.1-ngram.next_system_utterance__ntry',45.6457,75,0.0991,12
20241,4.1,b'4.1-ngram.next_system_utterance__sorry',85.8791,22,0.0888,13
9364,4.1,b'4.1-ngram.next_system_utterance__item',15.1002,242,0.0821,14
3466,4.1,b'4.1-ngram.next_system_utterance__add',67.8749,43,0.0766,15
8703,4.1,b'4.1-ngram.next_system_utterance__great',17.0475,203,0.0697,16
9629,4.1,b'4.1-ngram.next_system_utterance__items try',14.6596,254,0.0686,17
17932,4.1,b'4.1-ngram.next_system_utterance__pm nyou',29.1627,119,0.0678,18
2743,4.1,b'4.1-ngram.current_user_utterance__yes',37.0292,104,0.0643,19
19096,4.1,b'4.1-ngram.next_system_utterance__request',236.6989,4,0.0641,20
1205,4.1,b'4.1-ngram.current_user_utterance__help',21.6342,152,0.0637,21
23465,4.1,b'4.1-ngram.next_user_utterance__help',15.7199,229,0.0516,22
24417,4.1,b'4.1-ngram.next_user_utterance__yes',315.2330,0,0.0510,23
2139,4.1,b'4.1-ngram.current_user_utterance__reminders',18.3222,191,0.0409,24
8261,4.1,b'4.1-ngram.next_system_utterance__friday',72.6222,40,0.0399,25
214,4.1,b'4.1-ngram.current_user_utterance__add',24.3396,133,0.0375,26
16777,4.1,b'4.1-ngram.next_system_utterance__nto add',39.5718,90,0.0335,27
18773,4.1,b'4.1-ngram.next_system_utterance__reminder ntry',62.8033,57,0.0334,28
21038,4.1,b'4.1-ngram.next_system_utterance__time',34.7701,107,0.0332,29
9059,4.1,b'4.1-ngram.next_system_utterance__help reminders',17.4207,198,0.0327,30
18391,4.1,b'4.1-ngram.next_system_utterance__really',70.6172,41,0.0316,31
266,4.1,b'4.1-ngram.current_user_utterance__add item',21.1614,154,0.0301,32
18722,4.1,b'4.1-ngram.next_system_utterance__reminder',18.8904,180,0.0298,33
9372,4.1,b'4.1-ngram.next_system_utterance__item remove',20.4575,163,0.0287,34
7387,4.1,b'4.1-ngram.next_system_utterance__don',48.4406,71,0.0274,35
6645,4.1,b'4.1-ngram.next_system_utterance__couldn',50.9553,69,0.0269,36
9373,4.1,b'4.1-ngram.next_system_utterance__item remove item',20.4575,164,0.0255,37
7298,4.1,b'4.1-ngram.next_system_utterance__discard request',241.7519,3,0.0244,38
8948,4.1,b'4.1-ngram.next_system_utterance__handle',64.3458,55,0.0238,39
24267,4.1,b'4.1-ngram.next_user_utterance__today',58.2791,62,0.0224,40
7798,4.1,b'4.1-ngram.next_system_utterance__example title lunch',100.5301,21,0.0211,41
2126,4.1,b'4.1-ngram.current_user_utterance__reminder',61.4610,60,0.0199,42
3493,4.1,b'4.1-ngram.next_system_utterance__added',15.4609,235,0.0175,43
1971,4.1,b'4.1-ngram.current_user_utterance__remind',80.0008,27,0.0170,44
21201,4.1,b'4.1-ngram.next_system_utterance__tomorrow 30',52.6603,67,0.0162,45
20708,4.1,b'4.1-ngram.next_system_utterance__sure understand',26.1517,121,0.0161,46
16610,4.1,b'4.1-ngram.next_system_utterance__nfor example',184.8938,8,0.0152,47
19788,4.1,b'4.1-ngram.next_system_utterance__set reminder',40.0799,89,0.0149,48
17933,4.1,b'4.1-ngram.next_system_utterance__pm nyou discard',30.0983,113,0.0146,49
22851,4.1,b'4.1-ngram.next_user_utterance__add',16.2056,225,0.0145,50
24031,4.1,b'4.1-ngram.next_user_utterance__reminders',27.6949,120,0.0140,51
742,4.1,b'4.1-ngram.current_user_utterance__clear',82.0707,25,0.0137,52
16609,4.1,b'4.1-ngram.next_system_utterance__nfor',184.8938,7,0.0136,53
16891,4.1,b'4.1-ngram.next_system_utterance__nyou discard request',246.7700,1,0.0136,54
7781,4.1,b'4.1-ngram.next_system_utterance__example friday nyou',42.4897,76,0.0133,55
19727,4.1,b'4.1-ngram.next_system_utterance__send reminder',34.8132,106,0.0131,56
3060,4.1,b'4.1-ngram.next_system_utterance__19 pm nyou',20.8540,156,0.0127,57
19717,4.1,b'4.1-ngram.next_system_utterance__send',16.1132,226,0.0126,58
24023,4.1,b'4.1-ngram.next_user_utterance__reminder',20.6886,158,0.0123,59
16890,4.1,b'4.1-ngram.next_system_utterance__nyou discard',246.7700,2,0.0121,60
21047,4.1,b'4.1-ngram.next_system_utterance__time set',50.2532,70,0.0120,61
2755,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,257,0.0105,62
2332,4.1,b'4.1-ngram.current_user_utterance__shilpa',14.8204,250,0.0099,63
20123,4.1,b'4.1-ngram.next_system_utterance__snooze hour',14.6421,255,0.0096,64
1264,4.1,b'4.1-ngram.current_user_utterance__item',25.7367,123,0.0096,65
743,4.1,b'4.1-ngram.current_user_utterance__clear list',66.7468,53,0.0095,66
10225,4.1,b'4.1-ngram.next_system_utterance__learning clarify',72.9151,39,0.0093,67
19729,4.1,b'4.1-ngram.next_system_utterance__send reminder ntry',37.6856,100,0.0090,68
6283,4.1,b'4.1-ngram.next_system_utterance__clarify',72.9151,37,0.0089,69
16743,4.1,b'4.1-ngram.next_system_utterance__notify',21.1184,155,0.0089,70
723,4.1,b'4.1-ngram.current_user_utterance__christmas',18.4756,189,0.0087,71
10224,4.1,b'4.1-ngram.next_system_utterance__learning',72.9151,38,0.0084,72
19080,4.1,b'4.1-ngram.next_system_utterance__rephrase',52.4997,68,0.0083,73
24264,4.1,b'4.1-ngram.next_user_utterance__title',79.3643,29,0.0080,74
21200,4.1,b'4.1-ngram.next_system_utterance__tomorrow',37.3144,103,0.0078,75
2203,4.1,b'4.1-ngram.current_user_utterance__remover',15.5012,234,0.0078,76
7388,4.1,b'4.1-ngram.next_system_utterance__don task',57.2768,64,0.0072,77
24075,4.1,b'4.1-ngram.next_user_utterance__remove reminder',14.8432,249,0.0070,78
20836,4.1,b'4.1-ngram.next_system_utterance__task discard',57.2768,65,0.0069,79
10705,4.1,b'4.1-ngram.next_system_utterance__list nhere',14.8791,247,0.0067,80
348,4.1,b'4.1-ngram.current_user_utterance__add reminder',24.4421,132,0.0065,81
10706,4.1,b'4.1-ngram.next_system_utterance__list nhere list',14.8791,248,0.0064,82
7389,4.1,b'4.1-ngram.next_system_utterance__don task discard',57.2768,63,0.0064,83
2500,4.1,b'4.1-ngram.current_user_utterance__time',17.9000,197,0.0062,84
1488,4.1,b'4.1-ngram.current_user_utterance__list mattia',18.4355,190,0.0061,85
24065,4.1,b'4.1-ngram.next_user_utterance__remove list',22.8344,150,0.0061,86
