id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
6478,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,8,1.0000,0
11671,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,15,0.8007,1
8798,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry_searching',214.5455,30,0.7566,2
4478,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_ntry',365.0066,11,0.7413,3
10636,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sorry',355.6549,12,0.3308,4
7075,5,b'5-phrase_feature__noun_phrases__next_system_utterance__halloween_party',351.7964,14,0.2007,5
8579,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n2',260.7042,19,0.1775,6
8645,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nyou',935.3846,7,0.1186,7
1,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,34,0.1121,8
4469,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nor',214.5455,31,0.1110,9
2,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,37,0.1042,10
8825,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',1238.2639,1,0.1029,11
8713,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor_example',1040.3301,3,0.0924,12
4464,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor_example',1040.3301,4,0.0851,13
4463,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor',1040.3301,2,0.0846,14
0,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,38,0.0829,15
11082,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time',246.1264,23,0.0716,16
8636,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,22,0.0707,17
8568,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,17,0.0556,18
7882,5,b'5-phrase_feature__noun_phrases__next_system_utterance__leslie',388.6406,9,0.0324,19
8712,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor',1040.3301,5,0.0211,20
16523,6,b'6-entity_feature__entity__next_system_utterance__halloween_DATE',351.7964,13,0.0165,21
4465,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nhere',259.5465,21,0.0139,22
8590,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n3',241.9232,24,0.0130,23
16496,6,b'6-entity_feature__entity__next_system_utterance__friday_DATE',224.7304,25,0.0125,24
4470,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nor_type',214.5455,28,0.0124,25
6729,5,b'5-phrase_feature__noun_phrases__next_system_utterance__friday',219.2357,26,0.0116,26
16045,6,b'6-entity_feature__entity__next_system_utterance__3.30_NUMBER',217.1542,27,0.0113,27
9123,5,b'5-phrase_feature__noun_phrases__next_system_utterance__party',299.1515,16,0.0111,28
10066,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.0099,29
6958,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,18,0.0091,30
8719,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nhere',260.2771,20,0.0091,31
8797,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry',365.0066,10,0.0089,32
8799,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry_searching_reminders',214.5455,29,0.0051,33
4483,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nyou',935.3846,6,0.0047,34
6242,5,b'5-phrase_feature__noun_phrases__next_system_utterance__distance_glasses',0.0000,35,0.0016,35
6241,5,b'5-phrase_feature__noun_phrases__next_system_utterance__distance',0.0000,36,0.0015,36
17879,6,b'6-entity_feature__next_entity__have_overlap',0.0000,32,0.0000,37
17878,6,b'6-entity_feature__next_entity__#overlap',0.0000,33,0.0000,38
17880,6,b'6-entity_feature__next_entity__jaccard_similarity',0.0000,39,0.0000,39
