id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
1440,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',1159.8529,1,1.0000,0
1546,5,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode',199.0477,34,0.8526,1
1,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,258,0.6042,2
2169,5,b'5-phrase_feature__noun_phrases__next_user_utterance__goodbye',311.8463,26,0.5837,3
1946,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',560.2088,2,0.5651,4
1808,5,b'5-phrase_feature__noun_phrases__next_system_utterance__venue',356.3895,20,0.4538,5
1478,5,b'5-phrase_feature__noun_phrases__next_system_utterance__mind',415.2967,19,0.3860,6
1792,5,b'5-phrase_feature__noun_phrases__next_system_utterance__type',442.7794,12,0.3200,7
2,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,259,0.2448,8
1261,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,0,0.2282,9
1325,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_venue',86.1426,67,0.1655,10
1746,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',191.0994,36,0.1624,11
1299,5,b'5-phrase_feature__noun_phrases__next_system_utterance__gallery',171.6527,38,0.1377,12
1956,5,b'5-phrase_feature__noun_phrases__next_user_utterance__care',419.7978,18,0.1349,13
2330,5,b'5-phrase_feature__noun_phrases__next_user_utterance__number',449.7773,10,0.1288,14
1518,5,b'5-phrase_feature__noun_phrases__next_system_utterance__outstanding_venue',65.1824,111,0.1067,15
233,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',61.5772,126,0.1046,16
1010,5,b'5-phrase_feature__noun_phrases__next_system_utterance__area',130.4845,43,0.1033,17
2164,5,b'5-phrase_feature__noun_phrases__next_user_utterance__good_bye',554.4238,3,0.0959,18
1006,5,b'5-phrase_feature__noun_phrases__next_system_utterance__anything',79.9664,85,0.0896,19
478,5,b'5-phrase_feature__noun_phrases__current_user_utterance__looking',80.9568,83,0.0878,20
1651,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',226.5808,31,0.0820,21
2743,6,b'6-entity_feature__entity__next_system_utterance__2 pounds_MONEY',103.1301,55,0.0819,22
1856,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',421.5448,17,0.0799,23
2376,5,b'5-phrase_feature__noun_phrases__next_user_utterance__phone',443.1393,11,0.0739,24
2784,6,b'6-entity_feature__entity__next_system_utterance__6 pounds_MONEY',113.2600,45,0.0736,25
2769,6,b'6-entity_feature__entity__next_system_utterance__4 pounds_MONEY',89.5664,64,0.0695,26
1503,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',511.3760,7,0.0693,27
638,5,b'5-phrase_feature__noun_phrases__current_user_utterance__postcode',107.4588,49,0.0672,28
2263,5,b'5-phrase_feature__noun_phrases__next_user_utterance__matter',143.8108,40,0.0657,29
823,5,b'5-phrase_feature__noun_phrases__current_user_utterance__television',145.6289,39,0.0635,30
1537,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',511.3760,8,0.0608,31
1536,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',511.3760,6,0.0578,32
1092,5,b'5-phrase_feature__noun_phrases__next_system_utterance__castle',107.3777,50,0.0573,33
0,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,257,0.0572,34
24,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',517.1957,5,0.0547,35
2799,6,b'6-entity_feature__entity__next_system_utterance__8 pounds_MONEY',81.1778,80,0.0480,36
1797,5,b'5-phrase_feature__noun_phrases__next_system_utterance__unit',38.7291,242,0.0479,37
2256,5,b'5-phrase_feature__noun_phrases__next_user_utterance__looking',95.2432,60,0.0451,38
1490,5,b'5-phrase_feature__noun_phrases__next_system_utterance__new_chesterton_area',80.3539,84,0.0449,39
917,5,b'5-phrase_feature__noun_phrases__current_user_utterance__whats',251.1847,27,0.0445,40
