id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
2377,7,b"7-syntactic_feature__root_word__next_system_utterance__'ve",42.8237,69,1.0000,0
2092,7,b'7-syntactic_feature__root_word__current_user_utterance__cancel',37.8234,82,0.8231,1
2062,7,b'7-syntactic_feature__root_word__current_user_utterance__ador',14.2155,248,0.5958,2
1172,7,b'7-syntactic_feature__obj_word__next_system_utterance__n4',44.3946,66,0.4404,3
1,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,257,0.4314,4
1150,7,b'7-syntactic_feature__obj_word__next_system_utterance__n2',82.8846,43,0.4242,5
1262,7,b'7-syntactic_feature__obj_word__next_system_utterance__remind',297.2295,9,0.2990,6
2747,7,b'7-syntactic_feature__root_word__next_system_utterance__empti',33.8781,89,0.2758,7
2325,7,b'7-syntactic_feature__root_word__current_user_utterance__tell',24.7124,121,0.2468,8
1995,7,b'7-syntactic_feature__obj_word__next_user_utterance__widdow',14.2155,234,0.2375,9
2007,7,b'7-syntactic_feature__obj_word__next_user_utterance__yet',14.2155,244,0.1962,10
3804,7,b'7-syntactic_feature__root_word__next_user_utterance__remind',15.6891,178,0.1871,11
2569,7,b'7-syntactic_feature__root_word__next_system_utterance__can',111.5352,36,0.1854,12
2274,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,20,0.1682,13
2294,7,b'7-syntactic_feature__root_word__current_user_utterance__share',30.8046,99,0.1670,14
2852,7,b'7-syntactic_feature__root_word__next_system_utterance__handl',63.8190,51,0.1567,15
1144,7,b'7-syntactic_feature__obj_word__next_system_utterance__n14',14.7454,187,0.1418,16
3114,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,16,0.1157,17
2400,7,b'7-syntactic_feature__root_word__next_system_utterance__abl',61.2881,53,0.1022,18
0,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,256,0.1015,19
4313,7,b"7-syntactic_feature__subj_word__next_system_utterance__n'titl",55.0302,59,0.0972,20
746,7,b'7-syntactic_feature__obj_word__next_system_utterance__-lsb-',27.7466,115,0.0967,21
2375,7,b"7-syntactic_feature__root_word__next_system_utterance__'s",193.1827,22,0.0966,22
1138,7,b"7-syntactic_feature__obj_word__next_system_utterance__n'oct",32.5351,92,0.0945,23
2836,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,12,0.0941,24
