id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
2791,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3071,1.0000,0
47110,8.1,b'8.1-lda_feature.next_system_utterance__topic_41',0.0000,3128,0.8176,1
24486,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,3062,0.6646,2
42366,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,3091,0.6255,3
47604,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=214',0.0000,2509,0.5688,4
47047,8.1,b'8.1-lda_feature.current_user_utterance__topic_3',0.0000,3023,0.5262,5
47704,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=35',0.0000,2552,0.3913,6
47095,8.1,b'8.1-lda_feature.next_system_utterance__topic_28',0.0000,3151,0.3806,7
47561,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=176',0.0000,3267,0.3378,8
47088,8.1,b'8.1-lda_feature.next_system_utterance__topic_21',0.0000,3133,0.3328,9
2790,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,3072,0.3056,10
47556,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=171',0.0000,3254,0.3024,11
47147,8.1,b'8.1-lda_feature.next_user_utterance__topic_3',0.0000,2930,0.2946,12
47136,8.1,b'8.1-lda_feature.next_user_utterance__topic_2',0.0000,3113,0.2901,13
47565,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=18',0.0000,3256,0.2851,14
33281,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry',365.0066,13,0.2463,15
28962,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_ntry',365.0066,14,0.2349,16
24484,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,3064,0.2335,17
47027,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,3086,0.2332,18
47491,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=112',0.0000,3194,0.1827,19
47580,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=193',0.0000,2497,0.1795,20
48932,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=59',0.0000,3521,0.1784,21
47086,8.1,b'8.1-lda_feature.next_system_utterance__topic_2',0.0000,3135,0.1779,22
48977,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,3533,0.1725,23
48676,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=99',0.0000,4446,0.1692,24
24485,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,3063,0.1675,25
48453,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=167',0.0000,4522,0.1656,26
47077,8.1,b'8.1-lda_feature.next_system_utterance__topic_11',0.0000,3144,0.1646,27
48307,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=36',0.0000,4069,0.1600,28
47129,8.1,b'8.1-lda_feature.next_user_utterance__topic_13',0.0000,3127,0.1598,29
47145,8.1,b'8.1-lda_feature.next_user_utterance__topic_28',0.0000,2915,0.1590,30
47948,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=254',0.0000,2846,0.1579,31
48277,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=279',0.0000,4269,0.1570,32
47669,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=273',0.0000,2581,0.1536,33
50025,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1940',0.0000,60,0.1509,34
47034,8.1,b'8.1-lda_feature.current_user_utterance__topic_18',0.0000,3079,0.1488,35
47100,8.1,b'8.1-lda_feature.next_system_utterance__topic_32',0.0000,3156,0.1488,36
47654,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=26',0.0000,2566,0.1429,37
47045,8.1,b'8.1-lda_feature.current_user_utterance__topic_28',0.0000,3032,0.1426,38
35120,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sorry',355.6549,15,0.1421,39
48251,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=255',0.0000,4307,0.1412,40
47039,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,3056,0.1391,41
48433,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=149',0.0000,4309,0.1347,42
47071,8.1,b'8.1-lda_feature.current_user_utterance__topic_7',0.0000,3042,0.1341,43
47592,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=203',0.0000,2503,0.1319,44
47585,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=198',0.0000,2492,0.1283,45
47172,8.1,b'8.1-lda_feature.next_user_utterance__topic_8',0.0000,2934,0.1260,46
47723,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=52',0.0000,2353,0.1181,47
47028,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,3084,0.1178,48
48195,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=204',0.0000,4172,0.1165,49
47296,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=207',0.0000,3352,0.1159,50
48199,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=208',0.0000,4183,0.1143,51
47663,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=268',0.0000,2575,0.1137,52
48490,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=20',0.0000,4485,0.1128,53
47422,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=51',0.0000,3399,0.1104,54
47128,8.1,b'8.1-lda_feature.next_user_utterance__topic_12',0.0000,3121,0.1061,55
47626,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=234',0.0000,2466,0.1038,56
47965,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=27',0.0000,2876,0.1037,57
47670,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=274',0.0000,2582,0.1017,58
48596,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=296',0.0000,4379,0.1017,59
47132,8.1,b'8.1-lda_feature.next_user_utterance__topic_16',0.0000,3124,0.1006,60
50023,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1939',0.0000,53,0.1006,61
47681,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=284',0.0000,2557,0.0999,62
46872,7,b'7-syntactic_feature__subj_word__next_system_utterance__titl',506.3669,11,0.0995,63
48158,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=171',0.0000,4209,0.0980,64
48928,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=55',0.0000,3474,0.0977,65
47060,8.1,b'8.1-lda_feature.current_user_utterance__topic_41',0.0000,3053,0.0974,66
47841,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=158',0.0000,2394,0.0974,67
47116,8.1,b'8.1-lda_feature.next_system_utterance__topic_47',0.0000,3104,0.0961,68
52947,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=250',0.0000,8689,0.0914,69
47037,8.1,b'8.1-lda_feature.current_user_utterance__topic_20',0.0000,3057,0.0911,70
48659,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=83',0.0000,4424,0.0910,71
51976,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1536',0.0000,8008,0.0908,72
47693,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=295',0.0000,2527,0.0908,73
48915,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=43',0.0000,3460,0.0906,74
53717,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=944',0.0000,8563,0.0896,75
48000,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=31',0.0000,2829,0.0889,76
