id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__time_ratio',251.2757,68,1.0000,0
8726,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,3012,0.8944,1
961,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3144,0.8492,2
5237,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,3143,0.5284,3
5239,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,3141,0.3759,4
9627,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,2789,0.2662,5
960,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,3145,0.2535,6
7667,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,3136,0.2336,7
27,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,3146,0.2132,8
17730,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,4647,0.2074,9
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.2013,10
8665,8.1,b'8.1-lda_feature.next_system_utterance__topic_44',0.0000,3233,0.1404,11
10529,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,3617,0.1388,12
13656,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1651',0.0000,7942,0.1383,13
5241,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.1300,14
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.1248,15
7427,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,15,0.1166,16
9169,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=226',0.0000,2540,0.1129,17
14026,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1985',0.0000,7479,0.1064,18
8374,7,b'7-syntactic_feature__root_word__next_user_utterance__what',380.8588,42,0.1005,19
16085,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1678',0.0000,4932,0.1003,20
13033,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1090',0.0000,1667,0.0989,21
8593,8.1,b'8.1-lda_feature.current_user_utterance__topic_24',0.0000,3162,0.0985,22
14241,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2178',0.0000,7357,0.0960,23
14418,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2337',0.0000,8777,0.0957,24
31,3,b'3-time_feature__turns_from_start',2873.4959,1,0.0921,25
9075,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=141',0.0000,3360,0.0921,26
9142,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=201',0.0000,2568,0.0816,27
12035,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2352',0.0000,2077,0.0804,28
10013,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=174',0.0000,4521,0.0797,29
12049,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2365',0.0000,2096,0.0789,30
14358,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2283',0.0000,8947,0.0783,31
9196,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=250',0.0000,2599,0.0780,32
8600,8.1,b'8.1-lda_feature.current_user_utterance__topic_30',0.0000,3109,0.0777,33
11902,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2232',0.0000,537,0.0756,34
4613,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',156.4017,104,0.0753,35
13941,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1908',0.0000,7077,0.0747,36
13895,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1867',0.0000,7086,0.0736,37
13875,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1849',0.0000,6997,0.0722,38
10272,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=137',0.0000,3698,0.0705,39
14472,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2386',0.0000,8826,0.0694,40
12034,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2351',0.0000,2078,0.0669,41
9580,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=57',0.0000,2736,0.0668,42
11459,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1834',0.0000,375,0.0657,43
9439,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=2',0.0000,2877,0.0651,44
13242,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1279',0.0000,7593,0.0647,45
11762,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2106',0.0000,679,0.0635,46
9047,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=116',0.0000,3262,0.0619,47
11084,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1497',0.0000,766,0.0611,48
16535,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2082',0.0000,5027,0.0611,49
10032,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=191',0.0000,4538,0.0608,50
8579,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,3148,0.0604,51
13626,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1624',0.0000,7971,0.0576,52
10858,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1293',0.0000,869,0.0574,53
14179,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2121',0.0000,7383,0.0573,54
11061,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1476',0.0000,827,0.0569,55
9622,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=95',0.0000,2742,0.0567,56
11994,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2315',0.0000,1976,0.0556,57
9530,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=281',0.0000,2886,0.0551,58
15809,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1429',0.0000,5753,0.0550,59
8676,8.1,b'8.1-lda_feature.next_user_utterance__topic_0',0.0000,3174,0.0549,60
13802,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1783',0.0000,7215,0.0545,61
11427,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1805',0.0000,281,0.0540,62
13367,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1391',0.0000,7651,0.0539,63
8624,8.1,b'8.1-lda_feature.current_user_utterance__topic_8',0.0000,3114,0.0539,64
11548,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1914',0.0000,183,0.0535,65
12807,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=889',0.0000,1729,0.0532,66
10126,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=276',0.0000,4409,0.0528,67
