id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__end_of_session',272.2220,3,1.0000,0
7,2.1,b'2.1-user_action_words.current_user_utterance__item',117.9209,6,0.0908,1
35,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,0,0.0755,2
36,1,b'1-utterance_length.next_user_utterance__utterance_length',285.2474,2,0.0444,3
0,1,b'1-utterance_length.current_user_utterance__utterance_length',223.7570,5,0.0370,4
32,3,b'3-time_feature__time_ratio',44.2502,10,0.0122,5
17,2.1,b'2.1-user_action_words.current_user_utterance__remind',70.4358,8,0.0101,6
62,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',50.0471,9,0.0077,7
43,2.1,b'2.1-user_action_words.next_user_utterance__item',43.2109,11,0.0070,8
29,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,16,0.0053,9
12,2.1,b'2.1-user_action_words.current_user_utterance__number',23.8840,14,0.0052,10
33,3,b'3-time_feature__turns_from_start',229.2487,4,0.0052,11
24,2.1,b'2.1-user_action_words.current_user_utterance__time',22.0294,15,0.0044,12
34,3,b'3-time_feature__turns_to_end',671.9179,1,0.0044,13
4,2.1,b'2.1-user_action_words.current_user_utterance__discard',31.9095,12,0.0041,14
31,3,b'3-time_feature__start_of_session',94.2762,7,0.0025,15
52,2.1,b'2.1-user_action_words.next_user_utterance__remind',29.7041,13,0.0017,16
