id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
22974,8.1,b'8.1-lda_feature.next_system_utterance__topic_26',0.0000,1104,1.0000,0
9900,5,b'5-phrase_feature__noun_phrases__next_system_utterance__rim',41.9590,296,0.2345,1
8212,5,b'5-phrase_feature__noun_phrases__next_system_utterance__majestic',41.9590,608,0.2116,2
11147,5,b'5-phrase_feature__noun_phrases__next_system_utterance__top_genius',41.9590,362,0.1604,3
44,3,b'3-time_feature__end_of_session',110.1752,41,0.1541,4
23055,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,1185,0.1074,5
22301,7,b'7-syntactic_feature__subj_word__next_system_utterance__eastern',41.9590,484,0.0882,6
22971,8.1,b'8.1-lda_feature.next_system_utterance__topic_23',0.0000,1163,0.0769,7
8637,5,b'5-phrase_feature__noun_phrases__next_system_utterance__music_station',23.8557,908,0.0721,8
49,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,4,0.0609,9
10089,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sandwich',41.9590,284,0.0598,10
17,2.1,b'2.1-user_action_words.current_user_utterance__play',20.9308,989,0.0590,11
20154,7,b'7-syntactic_feature__root_word__current_user_utterance__medic',41.9590,617,0.0562,12
94,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,1130,0.0536,13
5646,5,b'5-phrase_feature__noun_phrases__next_system_utterance__current_time_zone',83.9180,69,0.0514,14
22989,8.1,b'8.1-lda_feature.next_system_utterance__topic_4',0.0000,1056,0.0484,15
7828,5,b'5-phrase_feature__noun_phrases__next_system_utterance__kings!do',41.9590,538,0.0462,16
22968,8.1,b'8.1-lda_feature.next_system_utterance__topic_20',0.0000,1160,0.0425,17
9918,5,b'5-phrase_feature__noun_phrases__next_system_utterance__roar',41.9590,293,0.0406,18
20338,7,b'7-syntactic_feature__root_word__current_user_utterance__tv',34.6034,686,0.0404,19
95,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,1131,0.0391,20
7626,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',60.4207,119,0.0385,21
36,2.1,b'2.1-user_action_words.current_user_utterance__timer',88.1845,63,0.0384,22
21192,7,b'7-syntactic_feature__root_word__next_system_utterance__sure',50.8077,154,0.0380,23
18844,7,b'7-syntactic_feature__obj_word__current_user_utterance__me',26.8299,782,0.0376,24
2962,5,b'5-phrase_feature__noun_phrases__current_user_utterance__samsung',41.9624,189,0.0349,25
10780,5,b'5-phrase_feature__noun_phrases__next_system_utterance__suicide_kings!do',41.9590,406,0.0347,26
3994,5,b'5-phrase_feature__noun_phrases__next_system_utterance__account',28.4132,759,0.0342,27
9763,5,b'5-phrase_feature__noun_phrases__next_system_utterance__recipes',31.6762,715,0.0342,28
3354,5,b'5-phrase_feature__noun_phrases__current_user_utterance__surprise',41.9590,578,0.0332,29
22907,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,1141,0.0317,30
22970,8.1,b'8.1-lda_feature.next_system_utterance__topic_22',0.0000,1162,0.0316,31
20927,7,b'7-syntactic_feature__root_word__next_system_utterance__love',41.9590,421,0.0307,32
93,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,1129,0.0298,33
22997,8.1,b'8.1-lda_feature.next_system_utterance__topic_47',0.0000,1025,0.0288,34
22992,8.1,b'8.1-lda_feature.next_system_utterance__topic_42',0.0000,1059,0.0283,35
22993,8.1,b'8.1-lda_feature.next_system_utterance__topic_43',0.0000,1060,0.0282,36
7958,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',157.3596,21,0.0279,37
42,2.2,b'2.2-#user_action_words.current_user_utterance__utterance_length',37.5981,668,0.0273,38
20304,7,b'7-syntactic_feature__root_word__current_user_utterance__surpris',41.9590,479,0.0271,39
15812,6,b'6-entity_feature__entity__current_user_utterance__samsung_ORGANIZATION',25.1774,854,0.0271,40
21202,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,7,0.0262,41
23001,8.1,b'8.1-lda_feature.next_system_utterance__topic_6',0.0000,1029,0.0247,42
20751,7,b'7-syntactic_feature__root_word__next_system_utterance__fill',20.1402,1011,0.0241,43
4095,5,b'5-phrase_feature__noun_phrases__next_system_utterance__address_jack_johnson',41.9590,541,0.0238,44
7767,5,b'5-phrase_feature__noun_phrases__next_system_utterance__kangchenjunga',25.3202,827,0.0238,45
20978,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',31.6110,716,0.0229,46
22967,8.1,b'8.1-lda_feature.next_system_utterance__topic_2',0.0000,1159,0.0226,47
4394,5,b'5-phrase_feature__noun_phrases__next_system_utterance__asian_slaw',41.9590,216,0.0225,48
10498,5,b'5-phrase_feature__noun_phrases__next_system_utterance__soundtrack_justin',41.9590,228,0.0225,49
15888,6,b'6-entity_feature__entity__current_user_utterance__tomorrow at_DATE',26.5587,785,0.0220,50
20511,7,b'7-syntactic_feature__root_word__next_system_utterance__ah',31.2336,731,0.0218,51
14695,5,b'5-phrase_feature__noun_phrases__next_user_utterance__timer',27.1386,778,0.0212,52
23051,8.1,b'8.1-lda_feature.next_user_utterance__topic_6',0.0000,1079,0.0208,53
6981,5,b'5-phrase_feature__noun_phrases__next_system_utterance__happy_holidays',41.9590,438,0.0204,54
20078,7,b'7-syntactic_feature__root_word__current_user_utterance__frozen',41.9590,612,0.0204,55
22500,7,b'7-syntactic_feature__subj_word__next_system_utterance__sorri',66.5301,111,0.0203,56
20375,7,b'7-syntactic_feature__root_word__current_user_utterance__ye',57.6923,125,0.0201,57
21616,7,b'7-syntactic_feature__root_word__next_user_utterance__play',105.8380,47,0.0197,58
20964,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,20,0.0196,59
23007,8.1,b'8.1-lda_feature.next_user_utterance__topic_10',0.0000,1034,0.0195,60
23002,8.1,b'8.1-lda_feature.next_system_utterance__topic_7',0.0000,1030,0.0193,61
9019,5,b'5-phrase_feature__noun_phrases__next_system_utterance__orange_vodka',41.9590,555,0.0190,62
86,2.1,b'2.1-user_action_words.next_user_utterance__timer',28.4570,758,0.0188,63
20717,7,b'7-syntactic_feature__root_word__next_system_utterance__eastern',41.9590,463,0.0182,64
20213,7,b'7-syntactic_feature__root_word__current_user_utterance__polic',41.9590,622,0.0181,65
683,5,b'5-phrase_feature__noun_phrases__current_user_utterance__chirp',41.9590,249,0.0179,66
22923,8.1,b'8.1-lda_feature.current_user_utterance__topic_25',0.0000,1115,0.0178,67
9687,5,b'5-phrase_feature__noun_phrases__next_system_utterance__questions',37.1455,670,0.0177,68
9132,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pandora',20.8964,990,0.0174,69
22960,8.1,b'8.1-lda_feature.next_system_utterance__topic_13',0.0000,1153,0.0173,70
22938,8.1,b'8.1-lda_feature.current_user_utterance__topic_39',0.0000,1172,0.0173,71
0,1,b'1-utterance_length.current_user_utterance__utterance_length',50.3879,156,0.0171,72
21173,7,b'7-syntactic_feature__root_word__next_system_utterance__station',22.9104,949,0.0170,73
8792,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nexus_player',21.5924,975,0.0169,74
20890,7,b'7-syntactic_feature__root_word__next_system_utterance__keep',125.8770,34,0.0167,75
22981,8.1,b'8.1-lda_feature.next_system_utterance__topic_32',0.0000,1048,0.0166,76
20754,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,59,0.0158,77
18831,7,b'7-syntactic_feature__obj_word__current_user_utterance__love',110.0904,42,0.0155,78
23022,8.1,b'8.1-lda_feature.next_user_utterance__topic_24',0.0000,1091,0.0155,79
3650,5,b'5-phrase_feature__noun_phrases__current_user_utterance__video',30.3348,739,0.0154,80
15722,6,b'6-entity_feature__entity__current_user_utterance__netflix_ORGANIZATION',55.4496,135,0.0153,81
22929,8.1,b'8.1-lda_feature.current_user_utterance__topic_30',0.0000,1121,0.0146,82
11392,5,b'5-phrase_feature__noun_phrases__next_system_utterance__use_assistant_settings',125.8770,32,0.0141,83
18571,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,1137,0.0139,84
7050,5,b'5-phrase_feature__noun_phrases__next_system_utterance__henry',41.9590,420,0.0139,85
67,2.1,b'2.1-user_action_words.next_user_utterance__play',109.6144,44,0.0138,86
591,5,b'5-phrase_feature__noun_phrases__current_user_utterance__cast_joe_rogan',25.9209,807,0.0138,87
19188,7,b'7-syntactic_feature__obj_word__next_system_utterance__direct',54.7192,137,0.0138,88
4093,5,b'5-phrase_feature__noun_phrases__next_system_utterance__address',39.2449,657,0.0137,89
4392,5,b'5-phrase_feature__noun_phrases__next_system_utterance__asian',41.9590,281,0.0137,90
5123,5,b'5-phrase_feature__noun_phrases__next_system_utterance__champagne',41.9590,370,0.0136,91
1912,5,b'5-phrase_feature__noun_phrases__current_user_utterance__license_plate',41.9590,561,0.0133,92
21082,7,b'7-syntactic_feature__root_word__next_system_utterance__remov',74.4690,99,0.0133,93
22138,7,b'7-syntactic_feature__subj_word__current_user_utterance__usa',25.1774,839,0.0132,94
18584,7,b'7-syntactic_feature__obj_word__current_user_utterance__address',41.9590,581,0.0132,95
22921,8.1,b'8.1-lda_feature.current_user_utterance__topic_23',0.0000,1113,0.0130,96
18570,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,1136,0.0130,97
2147,5,b'5-phrase_feature__noun_phrases__current_user_utterance__message',23.4252,933,0.0130,98
23043,8.1,b'8.1-lda_feature.next_user_utterance__topic_43',0.0000,1071,0.0129,99
3064,5,b'5-phrase_feature__noun_phrases__current_user_utterance__set_paul',23.8837,891,0.0129,100
37,2.1,b'2.1-user_action_words.current_user_utterance__turn',36.9148,671,0.0128,101
17079,6,b'6-entity_feature__entity__next_system_utterance__google home_ORGANIZATION',71.3923,103,0.0128,102
22924,8.1,b'8.1-lda_feature.current_user_utterance__topic_26',0.0000,1116,0.0124,103
10591,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sprite',41.9590,371,0.0124,104
20330,7,b'7-syntactic_feature__root_word__current_user_utterance__track',23.4252,930,0.0122,105
21539,7,b'7-syntactic_feature__root_word__next_user_utterance__lisa',25.3202,823,0.0119,106
23032,8.1,b'8.1-lda_feature.next_user_utterance__topic_33',0.0000,1101,0.0119,107
35,2.1,b'2.1-user_action_words.current_user_utterance__time',23.5232,917,0.0118,108
19037,7,b'7-syntactic_feature__obj_word__current_user_utterance__timer',76.8242,95,0.0117,109
22984,8.1,b'8.1-lda_feature.next_system_utterance__topic_35',0.0000,1051,0.0116,110
19130,7,b'7-syntactic_feature__obj_word__next_system_utterance__app',146.2038,26,0.0115,111
23033,8.1,b'8.1-lda_feature.next_user_utterance__topic_34',0.0000,1094,0.0113,112
12359,5,b'5-phrase_feature__noun_phrases__next_user_utterance__call_devon',41.9590,260,0.0112,113
23053,8.1,b'8.1-lda_feature.next_user_utterance__topic_8',0.0000,1081,0.0111,114
22988,8.1,b'8.1-lda_feature.next_system_utterance__topic_39',0.0000,1055,0.0111,115
23016,8.1,b'8.1-lda_feature.next_user_utterance__topic_19',0.0000,1064,0.0110,116
21164,7,b'7-syntactic_feature__root_word__next_system_utterance__spin',41.9590,433,0.0108,117
22421,7,b'7-syntactic_feature__subj_word__next_system_utterance__my',35.3946,678,0.0108,118
20914,7,b'7-syntactic_feature__root_word__next_system_utterance__like',88.2918,62,0.0108,119
5859,5,b'5-phrase_feature__noun_phrases__next_system_utterance__different_movie',23.7507,916,0.0105,120
22972,8.1,b'8.1-lda_feature.next_system_utterance__topic_24',0.0000,1164,0.0105,121
843,5,b'5-phrase_feature__noun_phrases__current_user_utterance__country_day_school',41.9590,335,0.0104,122
22963,8.1,b'8.1-lda_feature.next_system_utterance__topic_16',0.0000,1156,0.0104,123
22946,8.1,b'8.1-lda_feature.current_user_utterance__topic_46',0.0000,1180,0.0103,124
2196,5,b'5-phrase_feature__noun_phrases__current_user_utterance__mobas',41.9590,428,0.0100,125
22951,8.1,b'8.1-lda_feature.current_user_utterance__topic_6',0.0000,1177,0.0099,126
22994,8.1,b'8.1-lda_feature.next_system_utterance__topic_44',0.0000,1043,0.0096,127
5648,5,b'5-phrase_feature__noun_phrases__next_system_utterance__curve_lamp',20.5749,1004,0.0095,128
22956,8.1,b'8.1-lda_feature.next_system_utterance__topic_1',0.0000,1149,0.0094,129
22934,8.1,b'8.1-lda_feature.current_user_utterance__topic_35',0.0000,1147,0.0093,130
12268,5,b'5-phrase_feature__noun_phrases__next_user_utterance__blx',41.9590,272,0.0093,131
22991,8.1,b'8.1-lda_feature.next_system_utterance__topic_41',0.0000,1058,0.0092,132
9503,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pm_eastern',31.7459,712,0.0092,133
20883,7,b'7-syntactic_feature__root_word__next_system_utterance__it',31.2336,729,0.0092,134
3584,5,b'5-phrase_feature__noun_phrases__current_user_utterance__una',41.9590,540,0.0090,135
90,2.1,b'2.1-user_action_words.next_user_utterance__watch',80.9961,90,0.0089,136
22998,8.1,b'8.1-lda_feature.next_system_utterance__topic_48',0.0000,1026,0.0088,137
22943,8.1,b'8.1-lda_feature.current_user_utterance__topic_43',0.0000,1176,0.0087,138
1775,5,b'5-phrase_feature__noun_phrases__current_user_utterance__karma_police',41.9590,628,0.0085,139
22920,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,1112,0.0085,140
8411,5,b'5-phrase_feature__noun_phrases__next_system_utterance__merry_christmas',41.9590,599,0.0084,141
1978,5,b'5-phrase_feature__noun_phrases__current_user_utterance__living_room_tv',26.8176,783,0.0084,142
21171,7,b'7-syntactic_feature__root_word__next_system_utterance__start',66.5469,110,0.0084,143
23026,8.1,b'8.1-lda_feature.next_user_utterance__topic_28',0.0000,1095,0.0082,144
23039,8.1,b'8.1-lda_feature.next_user_utterance__topic_4',0.0000,1067,0.0081,145
3734,5,b'5-phrase_feature__noun_phrases__current_user_utterance__weather',27.4735,772,0.0081,146
3830,5,b'5-phrase_feature__noun_phrases__current_user_utterance__wrestling',21.3013,986,0.0081,147
22966,8.1,b'8.1-lda_feature.next_system_utterance__topic_19',0.0000,1158,0.0080,148
23020,8.1,b'8.1-lda_feature.next_user_utterance__topic_22',0.0000,1089,0.0079,149
9104,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pacific',40.2805,650,0.0079,150
20957,7,b'7-syntactic_feature__root_word__next_system_utterance__music',20.8398,992,0.0079,151
21708,7,b'7-syntactic_feature__root_word__next_user_utterance__stop',34.8319,683,0.0079,152
22973,8.1,b'8.1-lda_feature.next_system_utterance__topic_25',0.0000,1125,0.0078,153
14421,5,b'5-phrase_feature__noun_phrases__next_user_utterance__skateboard',41.9590,380,0.0077,154
13443,5,b'5-phrase_feature__noun_phrases__next_user_utterance__lego',25.8831,811,0.0077,155
12059,5,b'5-phrase_feature__noun_phrases__next_user_utterance__amaretto',41.9590,247,0.0076,156
20072,7,b'7-syntactic_feature__root_word__current_user_utterance__flay',41.9590,611,0.0076,157
22964,8.1,b'8.1-lda_feature.next_system_utterance__topic_17',0.0000,1103,0.0074,158
22931,8.1,b'8.1-lda_feature.current_user_utterance__topic_32',0.0000,1144,0.0074,159
22978,8.1,b'8.1-lda_feature.next_system_utterance__topic_3',0.0000,1045,0.0074,160
10107,5,b'5-phrase_feature__noun_phrases__next_system_utterance__saying',230.8416,15,0.0073,161
21207,7,b'7-syntactic_feature__root_word__next_system_utterance__that',23.8837,903,0.0071,162
22932,8.1,b'8.1-lda_feature.current_user_utterance__topic_33',0.0000,1145,0.0071,163
16618,6,b'6-entity_feature__entity__next_system_utterance__92.9_NUMBER',41.9590,287,0.0070,164
8412,5,b'5-phrase_feature__noun_phrases__next_system_utterance__messages',29.5924,744,0.0070,165
19902,7,b'7-syntactic_feature__obj_word__next_user_utterance__video',25.3403,819,0.0069,166
23003,8.1,b'8.1-lda_feature.next_system_utterance__topic_8',0.0000,1024,0.0069,167
23018,8.1,b'8.1-lda_feature.next_user_utterance__topic_20',0.0000,1087,0.0068,168
23041,8.1,b'8.1-lda_feature.next_user_utterance__topic_41',0.0000,1069,0.0068,169
3709,5,b'5-phrase_feature__noun_phrases__current_user_utterance__watch_man',41.9590,470,0.0067,170
22962,8.1,b'8.1-lda_feature.next_system_utterance__topic_15',0.0000,1155,0.0067,171
22939,8.1,b'8.1-lda_feature.current_user_utterance__topic_4',0.0000,1173,0.0067,172
18272,6,b'6-entity_feature__entity__next_user_utterance__house of cards_ORGANIZATION',41.9590,275,0.0066,173
23038,8.1,b'8.1-lda_feature.next_user_utterance__topic_39',0.0000,1066,0.0065,174
23029,8.1,b'8.1-lda_feature.next_user_utterance__topic_30',0.0000,1098,0.0064,175
22980,8.1,b'8.1-lda_feature.next_system_utterance__topic_31',0.0000,1047,0.0063,176
18858,7,b'7-syntactic_feature__obj_word__current_user_utterance__moba',41.9590,595,0.0063,177
22995,8.1,b'8.1-lda_feature.next_system_utterance__topic_45',0.0000,1042,0.0063,178
22928,8.1,b'8.1-lda_feature.current_user_utterance__topic_3',0.0000,1120,0.0063,179
22949,8.1,b'8.1-lda_feature.current_user_utterance__topic_49',0.0000,1183,0.0062,180
22909,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,1143,0.0062,181
22369,7,b'7-syntactic_feature__subj_word__next_system_utterance__it',29.4659,748,0.0061,182
10140,5,b'5-phrase_feature__noun_phrases__next_system_utterance__screen',20.8011,995,0.0061,183
23024,8.1,b'8.1-lda_feature.next_user_utterance__topic_26',0.0000,1062,0.0061,184
8507,5,b'5-phrase_feature__noun_phrases__next_system_utterance__moderate_traffic',41.9590,554,0.0060,185
22955,8.1,b'8.1-lda_feature.next_system_utterance__topic_0',0.0000,1148,0.0060,186
13527,5,b'5-phrase_feature__noun_phrases__next_user_utterance__love',120.6679,36,0.0060,187
21749,7,b'7-syntactic_feature__root_word__next_user_utterance__tv',41.9624,185,0.0058,188
3340,5,b'5-phrase_feature__noun_phrases__current_user_utterance__summer',20.1402,1012,0.0057,189
21191,7,b'7-syntactic_feature__root_word__next_system_utterance__support',88.1407,64,0.0057,190
23004,8.1,b'8.1-lda_feature.next_system_utterance__topic_9',0.0000,1032,0.0057,191
19077,7,b'7-syntactic_feature__obj_word__current_user_utterance__wblx',41.9590,545,0.0056,192
19774,7,b'7-syntactic_feature__obj_word__next_user_utterance__pizza',23.8837,888,0.0056,193
22969,8.1,b'8.1-lda_feature.next_system_utterance__topic_21',0.0000,1161,0.0055,194
23049,8.1,b'8.1-lda_feature.next_user_utterance__topic_49',0.0000,1077,0.0055,195
18572,7,b'7-syntactic_feature__next_subj_words_overlap',0.0000,1138,0.0055,196
14929,5,b'5-phrase_feature__noun_phrases__next_user_utterance__weeks',31.2336,732,0.0055,197
22952,8.1,b'8.1-lda_feature.current_user_utterance__topic_7',0.0000,1167,0.0055,198
15838,6,b'6-entity_feature__entity__current_user_utterance__sonos_MISC',25.3202,825,0.0054,199
22979,8.1,b'8.1-lda_feature.next_system_utterance__topic_30',0.0000,1046,0.0054,200
43,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,1128,0.0053,201
22541,7,b'7-syntactic_feature__subj_word__next_system_utterance__time',26.4095,790,0.0053,202
16470,6,b'6-entity_feature__entity__next_system_utterance__5_NUMBER',25.4425,817,0.0053,203
22957,8.1,b'8.1-lda_feature.next_system_utterance__topic_10',0.0000,1150,0.0053,204
20779,7,b'7-syntactic_feature__root_word__next_system_utterance__garnish',41.9590,469,0.0053,205
22906,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,1140,0.0053,206
18591,7,b'7-syntactic_feature__obj_word__current_user_utterance__altern',25.1774,847,0.0053,207
13,2.1,b'2.1-user_action_words.current_user_utterance__next',23.9017,879,0.0052,208
23012,8.1,b'8.1-lda_feature.next_user_utterance__topic_15',0.0000,1035,0.0052,209
7850,5,b'5-phrase_feature__noun_phrases__next_system_utterance__knoxville',27.6473,769,0.0052,210
17080,6,b'6-entity_feature__entity__next_system_utterance__google_ORGANIZATION',34.0992,691,0.0052,211
5,2.1,b'2.1-user_action_words.current_user_utterance__cast',32.1630,706,0.0051,212
17105,6,b'6-entity_feature__entity__next_system_utterance__henry_PERSON',41.9590,301,0.0049,213
18367,6,b'6-entity_feature__entity__next_user_utterance__minix_PERSON',49.7911,159,0.0048,214
23017,8.1,b'8.1-lda_feature.next_user_utterance__topic_2',0.0000,1086,0.0048,215
4133,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ah',31.2336,730,0.0048,216
