dstc2100,dstc2,100,67,33,67.0000,33.0000
dstc2200,dstc2,200,133,67,66.5000,33.5000
dstc2300,dstc2,300,207,93,69.0000,31.0000
dstc2500,dstc2,500,345,155,69.0000,31.0000
dstc2600,dstc2,600,413,187,68.8333,31.1667
dstc2700,dstc2,700,479,221,68.4286,31.5714
dstc2800,dstc2,800,543,257,67.8750,32.1250
dstc2900,dstc2,900,605,295,67.2222,32.7778
dstc21000,dstc2,1000,675,325,67.5000,32.5000
dstc21500,dstc2,1500,1032,468,68.8000,31.2000
dstc22000,dstc2,2000,1386,614,69.3000,30.7000
dstc23000,dstc2,3000,2205,795,73.5000,26.5000
dstc24000,dstc2,4000,3132,868,78.3000,21.7000
dstc3100,dstc3,100,59,41,59.0000,41.0000
dstc3200,dstc3,200,133,67,66.5000,33.5000
dstc3300,dstc3,300,194,106,64.6667,35.3333
dstc3500,dstc3,500,334,166,66.8000,33.2000
dstc3600,dstc3,600,405,195,67.5000,32.5000
dstc3700,dstc3,700,479,221,68.4286,31.5714
dstc3800,dstc3,800,543,257,67.8750,32.1250
dstc3900,dstc3,900,615,285,68.3333,31.6667
dstc31000,dstc3,1000,691,309,69.1000,30.9000
dstc31500,dstc3,1500,1038,462,69.2000,30.8000
dstc32000,dstc3,2000,1402,598,70.1000,29.9000
dstc33000,dstc3,3000,2214,786,73.8000,26.2000
dstc34000,dstc3,4000,3121,879,78.0250,21.9750
dstc35000,dstc3,5000,4095,905,81.9000,18.1000
family100,family,100,82,18,82.0000,18.0000
family200,family,200,173,27,86.5000,13.5000
family300,family,300,253,47,84.3333,15.6667
family500,family,500,428,72,85.6000,14.4000
family600,family,600,516,84,86.0000,14.0000
family700,family,700,606,94,86.5714,13.4286
family800,family,800,697,103,87.1250,12.8750
family900,family,900,793,107,88.1111,11.8889
family1000,family,1000,884,116,88.4000,11.6000
family1500,family,1500,1348,152,89.8667,10.1333
family2000,family,2000,1815,185,90.7500,9.2500
family3000,family,3000,2743,257,91.4333,8.5667
family4000,family,4000,3679,321,91.9750,8.0250
family5000,family,5000,4626,374,92.5200,7.4800
ghome100,ghome,100,60,40,60.0000,40.0000
ghome200,ghome,200,138,62,69.0000,31.0000
ghome300,ghome,300,215,85,71.6667,28.3333
ghome500,ghome,500,378,122,75.6000,24.4000
ghome600,ghome,600,462,138,77.0000,23.0000
ghome700,ghome,700,550,150,78.5714,21.4286
ghome800,ghome,800,641,159,80.1250,19.8750
ghome900,ghome,900,724,176,80.4444,19.5556
ghome1000,ghome,1000,815,185,81.5000,18.5000
ghome1500,ghome,1500,1247,253,83.1333,16.8667
ghome2000,ghome,2000,1701,299,85.0500,14.9500
ghome3000,ghome,3000,2630,370,87.6667,12.3333
ghome4000,ghome,4000,3570,430,89.2500,10.7500
ghome5000,ghome,5000,4515,485,90.3000,9.7000
