id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
20714,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,1.0000,0
17945,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,2739,0.9150,1
20364,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,80,0.8801,2
19293,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,31,0.7798,3
4600,5,b'5-phrase_feature__noun_phrases__next_system_utterance__addy',24.1481,431,0.7631,4
63,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,2741,0.5518,5
65,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,2743,0.5320,6
20005,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,100,0.4288,7
21447,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',201.7096,69,0.4005,8
26854,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=504',0.0000,6135,0.3480,9
6830,5,b'5-phrase_feature__noun_phrases__next_system_utterance__fruit',22.4564,478,0.3410,10
7618,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items_milk',70.4734,142,0.3385,11
8053,5,b'5-phrase_feature__noun_phrases__next_system_utterance__list',169.7379,77,0.3271,12
9154,5,b'5-phrase_feature__noun_phrases__next_system_utterance__paper',32.4117,295,0.3263,13
19122,7,b'7-syntactic_feature__obj_word__next_system_utterance__n5',59.7503,159,0.2562,14
20242,7,b'7-syntactic_feature__root_word__current_user_utterance__show',37.9589,255,0.2492,15
20218,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,67,0.2356,16
6463,5,b'5-phrase_feature__noun_phrases__next_system_utterance__eggs',31.0066,311,0.2315,17
8862,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry_searching_reminders',214.5455,57,0.2275,18
8346,5,b'5-phrase_feature__noun_phrases__next_system_utterance__members',53.4504,180,0.2125,19
29742,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=944',0.0000,5130,0.2105,20
15964,6,b'6-entity_feature__entity__current_user_utterance__two weeks_DURATION',24.1481,451,0.2013,21
3366,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ray',24.1481,450,0.1804,22
19286,7,b'7-syntactic_feature__obj_word__next_system_utterance__task',121.8116,91,0.1786,23
21155,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',85.1059,122,0.1577,24
3698,5,b'5-phrase_feature__noun_phrases__current_user_utterance__show_list',38.1007,253,0.1548,25
17,2.1,b'2.1-user_action_words.current_user_utterance__remind',70.4358,143,0.1489,26
17944,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,2749,0.1464,27
8644,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n21',19.8630,505,0.1456,28
28451,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1941',0.0000,4050,0.1420,29
21398,7,b'7-syntactic_feature__root_word__next_system_utterance__think',58.4329,160,0.1388,30
27721,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1284',0.0000,7199,0.1379,31
23840,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2110',0.0000,3727,0.1370,32
3656,5,b'5-phrase_feature__noun_phrases__current_user_utterance__share_shopping_list',28.4310,350,0.1278,33
33,3,b'3-time_feature__turns_from_start',229.2487,46,0.1203,34
27634,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1205',0.0000,7157,0.1179,35
9724,5,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder_soccer_practice',39.0402,241,0.1162,36
9398,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pm',23.2218,470,0.1139,37
22256,7,b'7-syntactic_feature__subj_word__next_system_utterance__n',36.3202,272,0.1114,38
28188,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1704',0.0000,4800,0.1107,39
8653,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n3',241.9232,45,0.1079,40
6792,5,b'5-phrase_feature__noun_phrases__next_system_utterance__friday',219.2357,49,0.1069,41
28082,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1609',0.0000,4452,0.1067,42
31,3,b'3-time_feature__start_of_session',94.2762,110,0.1066,43
11147,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time_\\_n',36.3904,269,0.1065,44
64,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,2742,0.1048,45
26259,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2128',0.0000,6747,0.1037,46
27903,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1448',0.0000,4496,0.1025,47
18834,7,b'7-syntactic_feature__obj_word__next_system_utterance__command',23.8633,466,0.1021,48
21829,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',315.2330,23,0.1017,49
21664,7,b'7-syntactic_feature__root_word__next_user_utterance__help',20.9946,493,0.1001,50
27808,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1362',0.0000,7030,0.0982,51
19094,7,b'7-syntactic_feature__obj_word__next_system_utterance__n2',82.8846,123,0.0979,52
28499,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1985',0.0000,3917,0.0958,53
26136,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2017',0.0000,6382,0.0952,54
21071,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',56.2694,166,0.0947,55
11334,5,b'5-phrase_feature__noun_phrases__next_system_utterance__type',24.1136,459,0.0942,56
25563,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1501',0.0000,1469,0.0933,57
23754,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2033',0.0000,3693,0.0910,58
23088,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1434',0.0000,2369,0.0904,59
26280,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2147',0.0000,6708,0.0880,60
19817,7,b'7-syntactic_feature__obj_word__next_user_utterance__remind',28.0842,368,0.0878,61
26321,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2184',0.0000,6569,0.0849,62
22288,7,b'7-syntactic_feature__subj_word__next_system_utterance__nyou',267.0933,38,0.0847,63
26512,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2356',0.0000,6034,0.0847,64
