dstc2100,dstc2,100,94,6,94.0000,6.0000
dstc2200,dstc2,200,194,6,97.0000,3.0000
dstc2300,dstc2,300,294,6,98.0000,2.0000
dstc2500,dstc2,500,493,7,98.6000,1.4000
dstc2600,dstc2,600,593,7,98.8333,1.1667
dstc2700,dstc2,700,693,7,99.0000,1.0000
dstc2800,dstc2,800,793,7,99.1250,0.8750
dstc2900,dstc2,900,893,7,99.2222,0.7778
dstc21000,dstc2,1000,993,7,99.3000,0.7000
dstc21500,dstc2,1500,1493,7,99.5333,0.4667
dstc22000,dstc2,2000,1993,7,99.6500,0.3500
dstc23000,dstc2,3000,2993,7,99.7667,0.2333
dstc3100,dstc3,100,96,4,96.0000,4.0000
dstc3200,dstc3,200,194,6,97.0000,3.0000
dstc3300,dstc3,300,294,6,98.0000,2.0000
dstc3500,dstc3,500,493,7,98.6000,1.4000
dstc3600,dstc3,600,593,7,98.8333,1.1667
dstc3700,dstc3,700,693,7,99.0000,1.0000
dstc3800,dstc3,800,793,7,99.1250,0.8750
dstc3900,dstc3,900,893,7,99.2222,0.7778
dstc31000,dstc3,1000,993,7,99.3000,0.7000
dstc31500,dstc3,1500,1493,7,99.5333,0.4667
dstc32000,dstc3,2000,1993,7,99.6500,0.3500
dstc33000,dstc3,3000,2993,7,99.7667,0.2333
dstc34000,dstc3,4000,3993,7,99.8250,0.1750
