id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
1293,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,7853,1.0000,0
7699,4.1,b'4.1-ngram.next_user_utterance__thank',333.4715,1,0.6291,1
3399,4.1,b'4.1-ngram.next_system_utterance__example',187.8127,11,0.5449,2
4710,4.1,b'4.1-ngram.next_system_utterance__looking',150.2643,21,0.5321,3
4462,4.1,b'4.1-ngram.next_system_utterance__like',99.0139,27,0.3743,4
6181,4.1,b'4.1-ngram.next_system_utterance__serves',50.3575,83,0.3355,5
6607,4.1,b'4.1-ngram.next_system_utterance__town',0.5820,6979,0.1479,6
9,4.1,b'4.1-ngram.current_user_utterance__address',344.7469,0,0.1316,7
840,4.1,b'4.1-ngram.current_user_utterance__price',47.9495,84,0.1222,8
7017,4.1,b'4.1-ngram.next_user_utterance__bye',223.3413,6,0.0889,9
4075,4.1,b'4.1-ngram.next_system_utterance__help',79.9664,36,0.0851,10
5678,4.1,b'4.1-ngram.next_system_utterance__price',1.6977,4116,0.0736,11
1066,4.1,b'4.1-ngram.current_user_utterance__television',98.8662,28,0.0701,12
2024,4.1,b'4.1-ngram.next_system_utterance__area postcode',31.9326,132,0.0668,13
6245,4.1,b'4.1-ngram.next_system_utterance__serving',21.6000,197,0.0668,14
5523,4.1,b'4.1-ngram.next_system_utterance__postcode',31.9326,133,0.0651,15
7124,4.1,b'4.1-ngram.next_user_utterance__dont care',234.8901,3,0.0602,16
6438,4.1,b'4.1-ngram.next_system_utterance__street',29.0939,153,0.0530,17
6938,4.1,b'4.1-ngram.next_user_utterance__address',232.4335,4,0.0494,18
918,4.1,b'4.1-ngram.current_user_utterance__restaurant',154.6493,20,0.0472,19
7457,4.1,b'4.1-ngram.next_user_utterance__number',169.3241,17,0.0470,20
5363,4.1,b'4.1-ngram.next_system_utterance__phone',67.0234,48,0.0463,21
5826,4.1,b'4.1-ngram.next_system_utterance__ranges',35.1149,109,0.0461,22
7741,4.1,b'4.1-ngram.next_user_utterance__type food',14.0844,361,0.0455,23
1126,4.1,b'4.1-ngram.current_user_utterance__type',18.7870,246,0.0449,24
5055,4.1,b'4.1-ngram.next_system_utterance__number',67.0234,47,0.0445,25
5364,4.1,b'4.1-ngram.next_system_utterance__phone number',67.0234,49,0.0444,26
7202,4.1,b'4.1-ngram.next_user_utterance__goodbye',182.2327,15,0.0416,27
7161,4.1,b'4.1-ngram.next_user_utterance__fenditton',57.3468,68,0.0386,28
6041,4.1,b'4.1-ngram.next_system_utterance__road',35.5179,107,0.0374,29
821,4.1,b'4.1-ngram.current_user_utterance__phone number area',24.2342,179,0.0360,30
461,4.1,b'4.1-ngram.current_user_utterance__internet',7.0029,817,0.0347,31
7519,4.1,b'4.1-ngram.next_user_utterance__phone',167.7216,18,0.0345,32
7196,4.1,b'4.1-ngram.next_user_utterance__good',221.3249,7,0.0323,33
7636,4.1,b'4.1-ngram.next_user_utterance__romsey',17.2677,270,0.0318,34
6747,4.1,b'4.1-ngram.next_system_utterance__venue',50.9379,80,0.0308,35
242,4.1,b'4.1-ngram.current_user_utterance__does television',72.9991,45,0.0289,36
7183,4.1,b'4.1-ngram.next_user_utterance__free',20.3113,217,0.0268,37
64,4.1,b'4.1-ngram.current_user_utterance__area',18.4142,250,0.0265,38
123,4.1,b'4.1-ngram.current_user_utterance__castle',37.2826,97,0.0255,39
197,4.1,b'4.1-ngram.current_user_utterance__code',25.5621,168,0.0253,40
7831,4.1,b'4.1-ngram.next_user_utterance__whats phone',45.9114,86,0.0253,41
6984,4.1,b'4.1-ngram.next_user_utterance__area',26.6476,164,0.0239,42
7162,4.1,b'4.1-ngram.next_user_utterance__fenditton area',8.3002,670,0.0235,43
125,4.1,b'4.1-ngram.current_user_utterance__castle hill',37.6696,94,0.0229,44
2235,4.1,b'4.1-ngram.next_system_utterance__barnwell area',6.0118,1050,0.0222,45
305,4.1,b'4.1-ngram.current_user_utterance__food',7.8075,721,0.0222,46
689,4.1,b'4.1-ngram.current_user_utterance__moderately',1.8938,3725,0.0221,47
16,4.1,b'4.1-ngram.current_user_utterance__address postcode',11.3197,460,0.0221,48
270,4.1,b'4.1-ngram.current_user_utterance__english',12.3422,417,0.0214,49
1292,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,7852,0.0212,50
174,4.1,b'4.1-ngram.current_user_utterance__children',4.1717,1683,0.0210,51
3978,4.1,b'4.1-ngram.next_system_utterance__great restaurant moderate',5.8011,1102,0.0208,52
117,4.1,b'4.1-ngram.current_user_utterance__care',34.5074,113,0.0207,53
898,4.1,b'4.1-ngram.current_user_utterance__range',2.7164,2755,0.0207,54
2170,4.1,b'4.1-ngram.next_system_utterance__bakers great pub',7.4039,775,0.0203,55
2857,4.1,b'4.1-ngram.next_system_utterance__children',0.4338,7404,0.0197,56
7800,4.1,b'4.1-ngram.next_user_utterance__vegetarian restaurant',8.1666,684,0.0196,57
283,4.1,b'4.1-ngram.current_user_utterance__expensive price range',0.8007,6270,0.0188,58
691,4.1,b'4.1-ngram.current_user_utterance__moderately priced',0.8678,6008,0.0187,59
122,4.1,b'4.1-ngram.current_user_utterance__care price range',29.2491,150,0.0185,60
7832,4.1,b'4.1-ngram.next_user_utterance__whats phone number',44.9048,88,0.0184,61
784,4.1,b'4.1-ngram.current_user_utterance__ok',5.5641,1173,0.0182,62
685,4.1,b'4.1-ngram.current_user_utterance__moderate',20.2787,218,0.0181,63
4297,4.1,b'4.1-ngram.next_system_utterance__italian food great',1.5192,4439,0.0181,64
7197,4.1,b'4.1-ngram.next_user_utterance__good bye',220.4684,8,0.0179,65
7107,4.1,b'4.1-ngram.next_user_utterance__does',9.5734,557,0.0167,66
7537,4.1,b'4.1-ngram.next_user_utterance__postcode',61.4900,67,0.0165,67
4921,4.1,b'4.1-ngram.next_system_utterance__mind',65.8548,52,0.0164,68
2013,4.1,b'4.1-ngram.next_system_utterance__area',21.3032,199,0.0160,69
28,4.1,b'4.1-ngram.current_user_utterance__ah',1.8901,3734,0.0156,70
4922,4.1,b'4.1-ngram.next_system_utterance__mind example',65.8548,53,0.0156,71
6619,4.1,b'4.1-ngram.next_system_utterance__town mind example',65.8548,51,0.0155,72
7740,4.1,b'4.1-ngram.next_user_utterance__type',15.7641,310,0.0154,73
875,4.1,b'4.1-ngram.current_user_utterance__pub',15.9075,300,0.0153,74
6945,4.1,b'4.1-ngram.next_user_utterance__address postcode',12.0663,422,0.0151,75
6618,4.1,b'4.1-ngram.next_system_utterance__town mind',65.8548,50,0.0150,76
247,4.1,b'4.1-ngram.current_user_utterance__dont',29.5922,148,0.0150,77
13,4.1,b'4.1-ngram.current_user_utterance__address phone number',34.5300,111,0.0149,78
868,4.1,b'4.1-ngram.current_user_utterance__priced restaurant new',1.6029,4275,0.0149,79
7268,4.1,b'4.1-ngram.next_user_utterance__internet',4.8381,1413,0.0148,80
12,4.1,b'4.1-ngram.current_user_utterance__address phone',34.5300,112,0.0148,81
5713,4.1,b'4.1-ngram.next_system_utterance__pub',25.2233,170,0.0148,82
280,4.1,b'4.1-ngram.current_user_utterance__expensive',12.0537,423,0.0147,83
7041,4.1,b'4.1-ngram.next_user_utterance__cheap',36.5042,101,0.0146,84
7158,4.1,b'4.1-ngram.next_user_utterance__fen',54.3156,75,0.0145,85
435,4.1,b'4.1-ngram.current_user_utterance__im looking restaurant',11.8120,441,0.0143,86
106,4.1,b'4.1-ngram.current_user_utterance__breathing',8.2115,680,0.0141,87
707,4.1,b'4.1-ngram.current_user_utterance__need',1.7988,3915,0.0139,88
154,4.1,b'4.1-ngram.current_user_utterance__cheap restaurant',10.5751,502,0.0139,89
173,4.1,b'4.1-ngram.current_user_utterance__chesterton area',7.1368,797,0.0137,90
7844,4.1,b'4.1-ngram.next_user_utterance__yes',99.4695,26,0.0137,91
7686,4.1,b'4.1-ngram.next_user_utterance__television',45.7559,87,0.0135,92
7738,4.1,b'4.1-ngram.next_user_utterance__turkish',14.5868,344,0.0133,93
5591,4.1,b'4.1-ngram.next_system_utterance__pounds',78.9269,37,0.0133,94
0,4.1,b'4.1-ngram.current_user_utterance__addenbrooke',22.0696,192,0.0133,95
7438,4.1,b'4.1-ngram.next_user_utterance__noise',0.6813,6648,0.0132,96
4234,4.1,b'4.1-ngram.next_system_utterance__indian food expensive',3.3725,2151,0.0132,97
6930,4.1,b'4.1-ngram.next_user_utterance__addenbrookes',33.2079,123,0.0131,98
2821,4.1,b'4.1-ngram.next_system_utterance__chesterton',17.5458,267,0.0131,99
7093,4.1,b'4.1-ngram.next_user_utterance__continental',21.1117,206,0.0129,100
235,4.1,b'4.1-ngram.current_user_utterance__does internet',2.1686,3312,0.0128,101
5018,4.1,b'4.1-ngram.next_system_utterance__newnham riverside area',6.5566,908,0.0127,102
7253,4.1,b'4.1-ngram.next_user_utterance__im looking moderately',1.3630,4745,0.0124,103
1277,4.1,b'4.1-ngram.current_user_utterance__yes',24.3729,177,0.0124,104
6929,4.1,b'4.1-ngram.next_user_utterance__addenbrooke',27.0197,162,0.0120,105
819,4.1,b'4.1-ngram.current_user_utterance__phone number',187.0974,12,0.0120,106
4065,4.1,b'4.1-ngram.next_system_utterance__hedges riverside area',4.0118,1775,0.0119,107
352,4.1,b'4.1-ngram.current_user_utterance__girton area',0.7350,6493,0.0117,108
2173,4.1,b'4.1-ngram.next_system_utterance__bakers internet connection',8.2456,675,0.0117,109
558,4.1,b'4.1-ngram.current_user_utterance__location',2.1680,3313,0.0116,110
6622,4.1,b'4.1-ngram.next_system_utterance__town outstanding',18.7481,247,0.0116,111
6819,4.1,b'4.1-ngram.next_system_utterance__venue price',20.5910,213,0.0114,112
705,4.1,b'4.1-ngram.current_user_utterance__near romsey',2.0092,3513,0.0114,113
912,4.1,b'4.1-ngram.current_user_utterance__repeat',5.0321,1333,0.0113,114
4746,4.1,b'4.1-ngram.next_system_utterance__looking venue',50.7995,81,0.0113,115
4273,4.1,b'4.1-ngram.next_system_utterance__international food moderate',0.3137,7624,0.0112,116
6820,4.1,b'4.1-ngram.next_system_utterance__venue price main',20.5910,214,0.0112,117
10,4.1,b'4.1-ngram.current_user_utterance__address area',8.5605,634,0.0109,118
7735,4.1,b'4.1-ngram.next_user_utterance__trumpington',20.5871,215,0.0109,119
7166,4.1,b'4.1-ngram.next_user_utterance__food',8.3229,667,0.0109,120
2229,4.1,b'4.1-ngram.next_system_utterance__bar serves fusion',3.7289,1930,0.0108,121
7501,4.1,b'4.1-ngram.next_user_utterance__ok whats address',2.5017,2971,0.0108,122
7504,4.1,b'4.1-ngram.next_user_utterance__okay',15.3683,323,0.0108,123
344,4.1,b'4.1-ngram.current_user_utterance__fusion',7.0823,805,0.0107,124
7414,4.1,b'4.1-ngram.next_user_utterance__need',4.5339,1530,0.0107,125
733,4.1,b'4.1-ngram.current_user_utterance__new chesterton',1.3407,4806,0.0106,126
7523,4.1,b'4.1-ngram.next_user_utterance__phone number area',6.6709,882,0.0106,127
2172,4.1,b'4.1-ngram.next_system_utterance__bakers internet',8.2456,674,0.0105,128
1250,4.1,b'4.1-ngram.current_user_utterance__whats',117.0458,22,0.0105,129
785,4.1,b'4.1-ngram.current_user_utterance__ok address',8.6186,630,0.0104,130
764,4.1,b'4.1-ngram.current_user_utterance__number area',30.1054,142,0.0104,131
2828,4.1,b'4.1-ngram.next_system_utterance__chesterton central fen',3.8729,1847,0.0104,132
498,4.1,b'4.1-ngram.current_user_utterance__kings hedges area',0.6605,6707,0.0103,133
7030,4.1,b'4.1-ngram.next_user_utterance__castle hill',21.4562,198,0.0101,134
545,4.1,b'4.1-ngram.current_user_utterance__like pub',1.7920,3928,0.0100,135
355,4.1,b'4.1-ngram.current_user_utterance__great',2.5275,2930,0.0100,136
885,4.1,b'4.1-ngram.current_user_utterance__pub food restaurant',2.4806,2989,0.0100,137
