id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
5124,4.1,b'4.1-ngram.next_user_utterance__thank',412.7607,31,1.0000,0
8512,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',1521.9407,2,0.9883,1
8114,7,b'7-syntactic_feature__root_word__next_system_utterance__like',1172.1812,3,0.8400,2
29,3,b'3-time_feature__time_ratio',251.2757,68,0.7473,3
5235,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.6474,4
2561,4.1,b'4.1-ngram.next_system_utterance__like',388.2541,38,0.6191,5
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.5826,6
506,4.1,b'4.1-ngram.current_user_utterance__phone number',201.5084,86,0.4345,7
33,4.1,b'4.1-ngram.current_user_utterance__address',350.4873,49,0.4253,8
4120,4.1,b'4.1-ngram.next_system_utterance__sure',60.0399,237,0.4232,9
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,33,0.4117,10
5608,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,32,0.4104,11
5649,5,b'5-phrase_feature__noun_phrases__current_user_utterance__phone',407.0356,35,0.3716,12
17,2.1,b'2.1-user_action_words.current_user_utterance__phone',407.0356,36,0.3715,13
6458,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_restaurant',86.2284,171,0.3662,14
6894,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,21,0.3577,15
8129,7,b'7-syntactic_feature__root_word__next_system_utterance__sorri',467.9169,22,0.3466,16
5360,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',112.5779,134,0.3198,17
6594,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,73,0.2622,18
3368,4.1,b'4.1-ngram.next_system_utterance__restaurant',37.3161,410,0.2611,19
4610,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',156.4017,104,0.2523,20
461,4.1,b'4.1-ngram.current_user_utterance__number',201.0520,87,0.2349,21
6238,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,61,0.2135,22
6510,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',579.7128,12,0.2132,23
