id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
1363,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,26,1.0000,0
1523,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,29,0.9853,1
4,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,12,0.9032,2
1101,5,b'5-phrase_feature__noun_phrases__next_system_utterance__kind',806.6716,2,0.9004,3
1716,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',842.5880,0,0.8138,4
2,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,2426,0.7675,5
0,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,2424,0.6651,6
1663,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,10,0.5912,7
1506,5,b'5-phrase_feature__noun_phrases__next_system_utterance__something',335.0703,22,0.4451,8
418,5,b'5-phrase_feature__noun_phrases__current_user_utterance__phone',407.0356,16,0.4028,9
1963,5,b'5-phrase_feature__noun_phrases__next_user_utterance__number',520.1140,7,0.3432,10
1843,5,b'5-phrase_feature__noun_phrases__next_user_utterance__good_bye',839.6950,1,0.2873,11
1007,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,23,0.2758,12
1236,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',579.7128,3,0.2617,13
1194,5,b'5-phrase_feature__noun_phrases__next_system_utterance__mind',424.7631,13,0.2513,14
1279,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',579.7128,4,0.2371,15
1227,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_restaurant',86.2284,74,0.2277,16
1280,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',579.7128,5,0.2253,17
1850,5,b'5-phrase_feature__noun_phrases__next_user_utterance__goodbye',108.7359,59,0.2170,18
1147,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',367.7857,20,0.2114,19
1,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,2425,0.1699,20
377,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,14,0.1566,21
792,5,b'5-phrase_feature__noun_phrases__next_system_utterance__c.b',140.4303,45,0.1517,22
1722,5,b'5-phrase_feature__noun_phrases__next_user_utterance__care',434.4164,11,0.1480,23
2005,5,b'5-phrase_feature__noun_phrases__next_user_utterance__phone',509.6378,9,0.1190,24
442,5,b'5-phrase_feature__noun_phrases__current_user_utterance__post',116.0051,56,0.1015,25
1332,5,b'5-phrase_feature__noun_phrases__next_system_utterance__restaurant_serving',203.3834,31,0.0988,26
1576,5,b'5-phrase_feature__noun_phrases__next_system_utterance__town',10.5878,606,0.0958,27
1758,5,b'5-phrase_feature__noun_phrases__next_user_utterance__code',132.3345,49,0.0835,28
2028,5,b'5-phrase_feature__noun_phrases__next_user_utterance__post_code',127.9285,51,0.0816,29
443,5,b'5-phrase_feature__noun_phrases__current_user_utterance__post_code',116.1049,55,0.0808,30
2208,6,b'6-entity_feature__entity__next_system_utterance__17_NUMBER',31.7466,215,0.0807,31
1008,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant_serving',12.0939,520,0.0753,32
129,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',112.5779,58,0.0740,33
688,5,b'5-phrase_feature__noun_phrases__current_user_utterance__whats',253.6909,24,0.0737,34
967,5,b'5-phrase_feature__noun_phrases__next_system_utterance__food',113.8363,57,0.0665,35
2190,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,6,0.0640,36
1680,5,b'5-phrase_feature__noun_phrases__next_user_utterance__anything',35.1544,203,0.0519,37
315,5,b'5-phrase_feature__noun_phrases__current_user_utterance__looking',197.0900,33,0.0493,38
2006,5,b'5-phrase_feature__noun_phrases__next_user_utterance__phone_number',516.6008,8,0.0476,39
953,5,b'5-phrase_feature__noun_phrases__next_system_utterance__expensive_price_range',92.3837,69,0.0475,40
1283,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pizza',71.9939,91,0.0454,41
952,5,b'5-phrase_feature__noun_phrases__next_system_utterance__expensive_price',92.3837,68,0.0454,42
892,5,b'5-phrase_feature__noun_phrases__next_system_utterance__crossover',21.4020,309,0.0439,43
613,5,b'5-phrase_feature__noun_phrases__current_user_utterance__thai_food',80.5602,80,0.0410,44
372,5,b'5-phrase_feature__noun_phrases__current_user_utterance__north',15.0930,425,0.0404,45
817,5,b'5-phrase_feature__noun_phrases__next_system_utterance__centre',157.4047,41,0.0393,46
1290,5,b'5-phrase_feature__noun_phrases__next_system_utterance__place',165.3979,37,0.0379,47
1226,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_place',165.3979,38,0.0374,48
1003,5,b'5-phrase_feature__noun_phrases__next_system_utterance__graffiti',21.2379,312,0.0372,49
82,5,b'5-phrase_feature__noun_phrases__current_user_utterance__caribbean_food',22.3222,287,0.0370,50
784,5,b'5-phrase_feature__noun_phrases__next_system_utterance__british_food',16.2019,396,0.0365,51
1822,5,b'5-phrase_feature__noun_phrases__next_user_utterance__food',385.1523,17,0.0361,52
1166,5,b'5-phrase_feature__noun_phrases__next_system_utterance__mediterranean_food',22.0540,301,0.0354,53
2144,5,b'5-phrase_feature__noun_phrases__next_user_utterance__type',11.4772,549,0.0353,54
796,5,b'5-phrase_feature__noun_phrases__next_system_utterance__cambridge',104.4754,62,0.0350,55
1331,5,b'5-phrase_feature__noun_phrases__next_system_utterance__restaurant_right',152.2358,42,0.0349,56
1943,5,b'5-phrase_feature__noun_phrases__next_user_utterance__modern_european_type',1.6140,2012,0.0346,57
1357,5,b'5-phrase_feature__noun_phrases__next_system_utterance__right',335.9529,21,0.0335,58
6,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_phone_number',73.1872,90,0.0332,59
5,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address_phone',73.1872,89,0.0331,60
77,5,b'5-phrase_feature__noun_phrases__current_user_utterance__cantonese_food',6.5635,927,0.0319,61
78,5,b'5-phrase_feature__noun_phrases__current_user_utterance__care',54.7560,112,0.0301,62
734,5,b'5-phrase_feature__noun_phrases__next_system_utterance__anything',44.0128,136,0.0298,63
108,5,b'5-phrase_feature__noun_phrases__current_user_utterance__cheap_restaurant',37.6899,195,0.0297,64
439,5,b'5-phrase_feature__noun_phrases__current_user_utterance__portuguese_food',8.9190,709,0.0297,65
1054,5,b'5-phrase_feature__noun_phrases__next_system_utterance__house',59.5489,105,0.0286,66
1170,5,b'5-phrase_feature__noun_phrases__next_system_utterance__mexican_food',16.3440,394,0.0285,67
24,5,b'5-phrase_feature__noun_phrases__current_user_utterance__anything',20.6988,324,0.0277,68
944,5,b'5-phrase_feature__noun_phrases__next_system_utterance__european_food',20.3276,337,0.0272,69
302,5,b'5-phrase_feature__noun_phrases__current_user_utterance__kosher_food',7.5546,802,0.0254,70
2055,5,b'5-phrase_feature__noun_phrases__next_user_utterance__restaurant',101.0589,66,0.0249,71
1297,5,b'5-phrase_feature__noun_phrases__next_system_utterance__polynesian_restaurant',2.1058,1935,0.0244,72
136,5,b'5-phrase_feature__noun_phrases__current_user_utterance__corsica_food',2.4899,1563,0.0243,73
231,5,b'5-phrase_feature__noun_phrases__current_user_utterance__gastropub',30.2998,225,0.0243,74
347,5,b'5-phrase_feature__noun_phrases__current_user_utterance__modern_european_food',16.7950,387,0.0241,75
626,5,b'5-phrase_feature__noun_phrases__current_user_utterance__town_serving',29.4565,232,0.0240,76
168,5,b'5-phrase_feature__noun_phrases__current_user_utterance__east_part',36.8930,199,0.0238,77
988,5,b'5-phrase_feature__noun_phrases__next_system_utterance__gardenia',20.3761,335,0.0238,78
1053,5,b'5-phrase_feature__noun_phrases__next_system_utterance__hotpot',7.0141,892,0.0233,79
938,5,b'5-phrase_feature__noun_phrases__next_system_utterance__english_food',16.9885,385,0.0233,80
1836,5,b'5-phrase_feature__noun_phrases__next_user_utterance__gastropub',38.4958,190,0.0229,81
1305,5,b'5-phrase_feature__noun_phrases__next_system_utterance__prezzo',28.9430,239,0.0223,82
