id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
1,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,1024,1.0000,0
1546,5,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode',199.0477,34,0.6012,1
2169,5,b'5-phrase_feature__noun_phrases__next_user_utterance__goodbye',311.8463,26,0.4725,2
1261,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,0,0.4507,3
1440,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',1159.8529,1,0.3621,4
1946,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',560.2088,2,0.3226,5
2164,5,b'5-phrase_feature__noun_phrases__next_user_utterance__good_bye',554.4238,3,0.2625,6
1808,5,b'5-phrase_feature__noun_phrases__next_system_utterance__venue',356.3895,20,0.2250,7
1746,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',191.0994,36,0.2112,8
1325,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_venue',86.1426,67,0.1829,9
1478,5,b'5-phrase_feature__noun_phrases__next_system_utterance__mind',415.2967,19,0.1413,10
1792,5,b'5-phrase_feature__noun_phrases__next_system_utterance__type',442.7794,12,0.1294,11
1956,5,b'5-phrase_feature__noun_phrases__next_user_utterance__care',419.7978,18,0.1266,12
1022,5,b'5-phrase_feature__noun_phrases__next_system_utterance__bakers',80.9973,82,0.1204,13
1651,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',226.5808,31,0.1155,14
1281,5,b'5-phrase_feature__noun_phrases__next_system_utterance__food',28.8160,394,0.1144,15
1518,5,b'5-phrase_feature__noun_phrases__next_system_utterance__outstanding_venue',65.1824,111,0.1138,16
3081,6,b'6-entity_feature__entity__next_system_utterance__twenty-four_NUMBER',44.3336,202,0.1041,17
1503,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',511.3760,7,0.1027,18
1537,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',511.3760,8,0.0998,19
1536,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',511.3760,6,0.0966,20
478,5,b'5-phrase_feature__noun_phrases__current_user_utterance__looking',80.9568,83,0.0877,21
823,5,b'5-phrase_feature__noun_phrases__current_user_utterance__television',145.6289,39,0.0843,22
2,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,1025,0.0836,23
1194,5,b'5-phrase_feature__noun_phrases__next_system_utterance__church',85.6462,69,0.0807,24
0,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,1028,0.0732,25
1611,5,b'5-phrase_feature__noun_phrases__next_system_utterance__price',62.3074,124,0.0722,26
1520,5,b'5-phrase_feature__noun_phrases__next_system_utterance__park',16.0084,747,0.0682,27
1070,5,b'5-phrase_feature__noun_phrases__next_system_utterance__caffe',18.2724,691,0.0654,28
1639,5,b'5-phrase_feature__noun_phrases__next_system_utterance__restaurant',182.7536,37,0.0606,29
2376,5,b'5-phrase_feature__noun_phrases__next_user_utterance__phone',443.1393,11,0.0594,30
24,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',517.1957,5,0.0579,31
1090,5,b'5-phrase_feature__noun_phrases__next_system_utterance__carringtons',91.7260,63,0.0559,32
1816,5,b'5-phrase_feature__noun_phrases__next_system_utterance__wheatsheaf',94.7995,61,0.0553,33
1059,5,b'5-phrase_feature__noun_phrases__next_system_utterance__burger',84.0501,73,0.0544,34
1031,5,b'5-phrase_feature__noun_phrases__next_system_utterance__barnwell_part',37.0102,266,0.0517,35
2639,6,b'6-entity_feature__entity__next_system_utterance__01223304121_NUMBER',36.3458,274,0.0507,36
1183,5,b'5-phrase_feature__noun_phrases__next_system_utterance__chesterton_part',46.7382,187,0.0505,37
2330,5,b'5-phrase_feature__noun_phrases__next_user_utterance__number',449.7773,10,0.0503,38
1181,5,b'5-phrase_feature__noun_phrases__next_system_utterance__chesterton',76.8686,88,0.0494,39
1331,5,b'5-phrase_feature__noun_phrases__next_system_utterance__hakka',74.5415,95,0.0493,40
1649,5,b'5-phrase_feature__noun_phrases__next_system_utterance__riverside_part',26.0532,524,0.0488,41
1025,5,b'5-phrase_feature__noun_phrases__next_system_utterance__bar',133.8949,42,0.0456,42
1763,5,b'5-phrase_feature__noun_phrases__next_system_utterance__television',13.3477,874,0.0441,43
917,5,b'5-phrase_feature__noun_phrases__current_user_utterance__whats',251.1847,27,0.0431,44
638,5,b'5-phrase_feature__noun_phrases__current_user_utterance__postcode',107.4588,49,0.0428,45
1654,5,b'5-phrase_feature__noun_phrases__next_system_utterance__romsey_part',29.9279,381,0.0423,46
996,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alma',22.6832,588,0.0421,47
1648,5,b'5-phrase_feature__noun_phrases__next_system_utterance__riverside_area',58.6300,133,0.0420,48
1335,5,b'5-phrase_feature__noun_phrases__next_system_utterance__hedges_part',20.5217,622,0.0414,49
1856,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',421.5448,17,0.0414,50
433,5,b'5-phrase_feature__noun_phrases__current_user_utterance__internet',14.2377,822,0.0395,51
1160,5,b'5-phrase_feature__noun_phrases__next_system_utterance__central_part',52.7240,155,0.0382,52
1630,5,b'5-phrase_feature__noun_phrases__next_system_utterance__red',22.3923,591,0.0370,53
2644,6,b'6-entity_feature__entity__next_system_utterance__01223308681_NUMBER',10.0903,1006,0.0361,54
995,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alimentum',19.3716,644,0.0356,55
1278,5,b'5-phrase_feature__noun_phrases__next_system_utterance__fleur',29.0419,390,0.0354,56
1006,5,b'5-phrase_feature__noun_phrases__next_system_utterance__anything',79.9664,85,0.0345,57
2909,6,b'6-entity_feature__entity__next_system_utterance__eraina taverna_ORGANIZATION',26.7011,509,0.0338,58
2204,5,b'5-phrase_feature__noun_phrases__next_user_utterance__im_looking',76.8764,87,0.0338,59
2922,6,b'6-entity_feature__entity__next_system_utterance__girton_PERSON',16.2298,736,0.0334,60
791,5,b'5-phrase_feature__noun_phrases__current_user_utterance__spanish',11.6795,943,0.0320,61
233,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',61.5772,126,0.0314,62
1797,5,b'5-phrase_feature__noun_phrases__next_system_utterance__unit',38.7291,242,0.0308,63
1010,5,b'5-phrase_feature__noun_phrases__next_system_utterance__area',130.4845,43,0.0301,64
1805,5,b'5-phrase_feature__noun_phrases__next_system_utterance__varsity',13.9790,848,0.0289,65
387,5,b'5-phrase_feature__noun_phrases__current_user_utterance__greek_restaurant',12.3187,914,0.0289,66
2703,6,b'6-entity_feature__entity__next_system_utterance__01223902103_NUMBER',14.4331,814,0.0287,67
2035,5,b'5-phrase_feature__noun_phrases__next_user_utterance__code',53.6667,151,0.0275,68
2263,5,b'5-phrase_feature__noun_phrases__next_user_utterance__matter',143.8108,40,0.0256,69
1000,5,b'5-phrase_feature__noun_phrases__next_system_utterance__anchor',35.6510,283,0.0254,70
1254,5,b'5-phrase_feature__noun_phrases__next_system_utterance__entrance',37.0638,264,0.0252,71
414,5,b'5-phrase_feature__noun_phrases__current_user_utterance__im',69.6436,102,0.0251,72
1304,5,b'5-phrase_feature__noun_phrases__next_system_utterance__girton',29.7675,383,0.0247,73
3042,6,b"6-entity_feature__entity__next_system_utterance__saint catharine's college_ORGANIZATION",41.0256,223,0.0245,74
2394,5,b'5-phrase_feature__noun_phrases__next_user_utterance__postcode',103.2587,54,0.0245,75
1303,5,b'5-phrase_feature__noun_phrases__next_system_utterance__giraffe',56.1527,140,0.0243,76
418,5,b'5-phrase_feature__noun_phrases__current_user_utterance__im_looking',70.5478,100,0.0239,77
2725,6,b'6-entity_feature__entity__next_system_utterance__12_NUMBER',13.3229,876,0.0237,78
2797,6,b'6-entity_feature__entity__next_system_utterance__75_NUMBER',23.9161,559,0.0234,79
1019,5,b'5-phrase_feature__noun_phrases__next_system_utterance__avery',10.6780,993,0.0233,80
1488,5,b'5-phrase_feature__noun_phrases__next_system_utterance__new',63.3533,120,0.0233,81
2256,5,b'5-phrase_feature__noun_phrases__next_user_utterance__looking',95.2432,60,0.0232,82
2389,5,b'5-phrase_feature__noun_phrases__next_user_utterance__post',46.6268,188,0.0231,83
2769,6,b'6-entity_feature__entity__next_system_utterance__4 pounds_MONEY',89.5664,64,0.0231,84
988,5,b'5-phrase_feature__noun_phrases__next_system_utterance__agora',16.1511,739,0.0228,85
1333,5,b'5-phrase_feature__noun_phrases__next_system_utterance__hedges',49.4330,171,0.0228,86
3073,6,b'6-entity_feature__entity__next_system_utterance__trinity street_ORGANIZATION',21.0946,617,0.0226,87
1963,5,b'5-phrase_feature__noun_phrases__next_user_utterance__castle',53.7069,150,0.0225,88
87,5,b'5-phrase_feature__noun_phrases__current_user_utterance__bakers',26.5710,515,0.0225,89
669,5,b'5-phrase_feature__noun_phrases__current_user_utterance__pub',17.0890,714,0.0224,90
60,5,b'5-phrase_feature__noun_phrases__current_user_utterance__area',35.9772,278,0.0219,91
3056,6,b'6-entity_feature__entity__next_system_utterance__stow-cum-quy_PERSON',27.7560,414,0.0217,92
1353,5,b'5-phrase_feature__noun_phrases__next_system_utterance__history',22.5452,589,0.0215,93
2818,6,b'6-entity_feature__entity__next_system_utterance__alma_MISC',15.9090,748,0.0213,94
1737,5,b'5-phrase_feature__noun_phrases__next_system_utterance__spice',58.2522,134,0.0212,95
1217,5,b'5-phrase_feature__noun_phrases__next_system_utterance__cotto',11.8208,937,0.0208,96
132,5,b'5-phrase_feature__noun_phrases__current_user_utterance__care',47.1469,184,0.0205,97
2844,6,b'6-entity_feature__entity__next_system_utterance__broughton house_ORGANIZATION',27.5552,419,0.0202,98
2461,5,b'5-phrase_feature__noun_phrases__next_user_utterance__riverside_area',15.3039,774,0.0201,99
1178,5,b'5-phrase_feature__noun_phrases__next_system_utterance__cherry_hinton_part',37.4888,260,0.0201,100
792,5,b'5-phrase_feature__noun_phrases__current_user_utterance__spanish_restaurant',12.5675,903,0.0200,101
484,5,b'5-phrase_feature__noun_phrases__current_user_utterance__matter',29.7718,382,0.0200,102
3031,6,b'6-entity_feature__entity__next_system_utterance__romsey_LOCATION',63.6785,119,0.0197,103
2930,6,b"6-entity_feature__entity__next_system_utterance__great saint mary's church_ORGANIZATION",16.5901,725,0.0197,104
1272,5,b'5-phrase_feature__noun_phrases__next_system_utterance__fen',15.7802,751,0.0194,105
3016,6,b'6-entity_feature__entity__next_system_utterance__peking restaurant_ORGANIZATION',18.4867,682,0.0194,106
2411,5,b'5-phrase_feature__noun_phrases__next_user_utterance__prices',13.8358,855,0.0193,107
1347,5,b'5-phrase_feature__noun_phrases__next_system_utterance__hinton_part',37.4888,259,0.0193,108
2857,6,b'6-entity_feature__entity__next_system_utterance__cambridge contemporary art_ORGANIZATION',23.5517,568,0.0192,109
1432,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lion',66.7216,103,0.0189,110
573,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',432.7138,14,0.0188,111
1721,5,b'5-phrase_feature__noun_phrases__next_system_utterance__shiraz',14.4331,811,0.0185,112
2004,5,b'5-phrase_feature__noun_phrases__next_user_utterance__chesterton_area',12.0535,933,0.0180,113
2611,5,b'5-phrase_feature__noun_phrases__next_user_utterance__whats',214.6384,32,0.0180,114
1092,5,b'5-phrase_feature__noun_phrases__next_system_utterance__castle',107.3777,50,0.0178,115
1450,5,b'5-phrase_feature__noun_phrases__next_system_utterance__main_courses',332.8822,24,0.0175,116
2129,5,b'5-phrase_feature__noun_phrases__next_user_utterance__fenditton',63.1525,121,0.0174,117
1617,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pub',71.4656,97,0.0172,118
1221,5,b'5-phrase_feature__noun_phrases__next_system_utterance__courses',332.8822,22,0.0171,119
731,5,b'5-phrase_feature__noun_phrases__current_user_utterance__restaurants',28.0035,411,0.0170,120
1839,5,b'5-phrase_feature__noun_phrases__next_user_utterance__addenbrookes',31.0539,361,0.0169,121
1608,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pounds',332.8822,23,0.0163,122
1691,5,b'5-phrase_feature__noun_phrases__next_system_utterance__serving',106.9947,51,0.0162,123
1417,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lamb',66.7216,104,0.0160,124
281,5,b'5-phrase_feature__noun_phrases__current_user_utterance__doesnt_matter',25.4519,539,0.0158,125
1320,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_cafe',31.8412,354,0.0158,126
1618,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pub_food',14.2892,821,0.0158,127
1427,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lane',34.4917,295,0.0156,128
2653,6,b'6-entity_feature__entity__next_system_utterance__01223321551_NUMBER',15.5434,761,0.0156,129
1161,5,b'5-phrase_feature__noun_phrases__next_system_utterance__centre',24.5877,550,0.0153,130
2859,6,b'6-entity_feature__entity__next_system_utterance__cambridge leisure park_LOCATION',30.1417,376,0.0152,131
2977,6,b'6-entity_feature__entity__next_system_utterance__little seoul_LOCATION',18.4867,683,0.0149,132
1751,5,b'5-phrase_feature__noun_phrases__next_system_utterance__subway',11.8208,938,0.0148,133
2807,6,b'6-entity_feature__entity__next_system_utterance__95_NUMBER',135.6486,41,0.0147,134
144,5,b'5-phrase_feature__noun_phrases__current_user_utterance__castle_hill',75.9360,93,0.0147,135
998,5,b'5-phrase_feature__noun_phrases__next_system_utterance__american_food',12.1225,929,0.0147,136
1786,5,b'5-phrase_feature__noun_phrases__next_system_utterance__trumpington',18.2924,689,0.0146,137
992,5,b'5-phrase_feature__noun_phrases__next_system_utterance__al_casbah',64.3940,113,0.0144,138
991,5,b'5-phrase_feature__noun_phrases__next_system_utterance__al',64.3940,112,0.0144,139
1735,5,b'5-phrase_feature__noun_phrases__next_system_utterance__spanish_food',18.8544,673,0.0143,140
1517,5,b'5-phrase_feature__noun_phrases__next_system_utterance__outstanding_restaurant',229.3330,30,0.0141,141
2599,5,b'5-phrase_feature__noun_phrases__next_user_utterance__venue',56.5084,139,0.0140,142
1650,5,b'5-phrase_feature__noun_phrases__next_system_utterance__riverside_restaurant',11.7348,939,0.0139,143
2435,5,b'5-phrase_feature__noun_phrases__next_user_utterance__restaurant',240.2505,28,0.0138,144
634,5,b'5-phrase_feature__noun_phrases__current_user_utterance__post_code',52.7363,154,0.0137,145
3102,6,b'6-entity_feature__entity__next_user_utterance__girton_PERSON',12.7537,895,0.0136,146
1626,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ranch',43.7677,213,0.0136,147
2752,6,b'6-entity_feature__entity__next_system_utterance__24_NUMBER',36.5452,273,0.0135,148
1701,5,b'5-phrase_feature__noun_phrases__next_system_utterance__serving_french_food',17.0344,715,0.0135,149
2182,5,b'5-phrase_feature__noun_phrases__next_user_utterance__hedges',11.6612,944,0.0134,150
865,5,b'5-phrase_feature__noun_phrases__current_user_utterance__type',38.1462,250,0.0133,151
1012,5,b'5-phrase_feature__noun_phrases__next_system_utterance__art',86.5666,66,0.0132,152
140,5,b'5-phrase_feature__noun_phrases__current_user_utterance__castle',78.4460,86,0.0132,153
1069,5,b'5-phrase_feature__noun_phrases__next_system_utterance__cafe_serving',33.5489,316,0.0131,154
1042,5,b'5-phrase_feature__noun_phrases__next_system_utterance__bistro',41.8640,222,0.0131,155
1543,5,b'5-phrase_feature__noun_phrases__next_system_utterance__polonia',15.7876,750,0.0130,156
580,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ok',14.6191,801,0.0130,157
1379,5,b'5-phrase_feature__noun_phrases__next_system_utterance__indian_venue',15.4398,769,0.0129,158
2003,5,b'5-phrase_feature__noun_phrases__next_user_utterance__chesterton',30.2559,372,0.0128,159
2564,5,b'5-phrase_feature__noun_phrases__next_user_utterance__trumpington',27.6368,418,0.0128,160
2726,6,b'6-entity_feature__entity__next_system_utterance__13 pounds_MONEY',46.5752,189,0.0126,161
1091,5,b'5-phrase_feature__noun_phrases__next_system_utterance__casbah',64.3940,114,0.0125,162
81,5,b'5-phrase_feature__noun_phrases__current_user_utterance__avery',26.6391,513,0.0125,163
2762,6,b'6-entity_feature__entity__next_system_utterance__337_NUMBER',11.7348,940,0.0123,164
2078,5,b'5-phrase_feature__noun_phrases__next_user_utterance__doesnt_matter',128.3749,44,0.0122,165
2512,5,b'5-phrase_feature__noun_phrases__next_user_utterance__start',36.2068,275,0.0119,166
1321,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_pub',21.6602,600,0.0119,167
2119,5,b'5-phrase_feature__noun_phrases__next_user_utterance__fen',109.7686,46,0.0119,168
1877,5,b'5-phrase_feature__noun_phrases__next_user_utterance__anything',10.7245,992,0.0119,169
1829,5,b'5-phrase_feature__noun_phrases__next_system_utterance__x',76.8598,89,0.0118,170
1187,5,b'5-phrase_feature__noun_phrases__next_system_utterance__chinese_food',18.7962,674,0.0118,171
1883,5,b'5-phrase_feature__noun_phrases__next_user_utterance__area',97.6922,59,0.0117,172
2788,6,b'6-entity_feature__entity__next_system_utterance__65_NUMBER',19.9873,634,0.0117,173
700,5,b'5-phrase_feature__noun_phrases__current_user_utterance__restaurant',235.1914,29,0.0116,174
3090,6,b'6-entity_feature__entity__next_system_utterance__wheatsheaf_MISC',29.9765,377,0.0116,175
1830,5,b'5-phrase_feature__noun_phrases__next_system_utterance__x_food',76.8598,90,0.0116,176
2904,6,b'6-entity_feature__entity__next_system_utterance__eleven_NUMBER',24.2480,555,0.0115,177
2961,6,b'6-entity_feature__entity__next_system_utterance__king_ORGANIZATION',65.6828,110,0.0114,178
1619,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pub_venue',14.8340,796,0.0112,179
2897,6,b'6-entity_feature__entity__next_system_utterance__dojo noodle bar_ORGANIZATION',32.1434,343,0.0112,180
