id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
6527,5,b'5-phrase_feature__noun_phrases__next_system_utterance__family_members',40.1300,141,1.0000,0
4469,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nor',214.5455,33,0.9350,1
8580,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n20',26.1675,257,0.7502,2
8720,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ni',24.2295,270,0.1885,3
11135,5,b'5-phrase_feature__noun_phrases__next_system_utterance__tomorrow',108.0575,55,0.1487,4
8713,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor_example',1040.3301,2,0.1215,5
8577,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n18',29.0871,216,0.1033,6
0,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,517,0.0830,7
16123,6,b'6-entity_feature__entity__next_system_utterance__\\ntry, `_MISC',96.5926,60,0.0792,8
8852,5,b'5-phrase_feature__noun_phrases__next_system_utterance__oil',17.2337,388,0.0746,9
2,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,513,0.0734,10
9335,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pm',23.2218,314,0.0690,11
8546,5,b"5-phrase_feature__noun_phrases__next_system_utterance__n'remove_item",88.4664,61,0.0513,12
10284,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sarah_tomorrow',27.1749,253,0.0495,13
8684,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nbut',38.1064,159,0.0453,14
4454,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_n8',14.6046,478,0.0429,15
5885,5,b'5-phrase_feature__noun_phrases__next_system_utterance__corn',14.4724,480,0.0419,16
7882,5,b'5-phrase_feature__noun_phrases__next_system_utterance__leslie',388.6406,9,0.0396,17
4026,5,b'5-phrase_feature__noun_phrases__current_user_utterance__trip',17.7578,371,0.0341,18
4357,5,b'5-phrase_feature__noun_phrases__next_system_utterance__<name>',62.9198,93,0.0313,19
15161,6,b'6-entity_feature__entity__current_user_utterance__530_NUMBER',24.1481,280,0.0310,20
1,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,518,0.0288,21
8619,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n6',154.0066,49,0.0278,22
8184,5,b'5-phrase_feature__noun_phrases__next_system_utterance__mastered_paper',17.0949,408,0.0272,23
3635,5,b'5-phrase_feature__noun_phrases__current_user_utterance__show_list',38.1007,160,0.0257,24
4410,5,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'oct",29.1051,212,0.0253,25
8642,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_ntype',56.1006,99,0.0249,26
15515,6,b'6-entity_feature__entity__current_user_utterance__friday june 2_DATE',24.1481,289,0.0248,27
8545,5,b"5-phrase_feature__noun_phrases__next_system_utterance__n'remove",54.4645,104,0.0241,28
