dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,6-d2v,Random forest.#tree=256,0.842695289385,0.833163936116,0.68218436154,0.706006867658
dstc2,next,6-d2v,Random forest.#tree=512,0.843894311519,0.834079869621,0.680967880378,0.702534605906
dstc2,next,6-d2v,Random forest.#tree=1024,0.844931650957,0.859776091414,0.686628788602,0.711493535388
dstc2,next,6-d2v,LinearSVC.pen=l1.C=0.062500,0.845483942308,0.80423890084,0.697613361773,0.72294397153
dstc2,next,6-d2v,LinearSVC.pen=l2.C=0.062500,0.788862423268,0.659246554929,0.641070841015,0.643654015439
dstc2,next,6-d2v,RBF SVC with C=0.062500,0.692270311949,0.536662738181,0.4555348901,0.430217679456
dstc2,next,6-d2v,LR.pen=l1.C=0.062500,0.851402545083,0.867948894658,0.671020649558,0.690820972379
dstc2,next,6-d2v,LR.pen=l2.C=0.062500,0.819797911574,0.745282549748,0.669313252619,0.688916537828
dstc2,next,6-d2v,LinearSVC.pen=l1.C=1.000000,0.82207013622,0.735349882892,0.678580261413,0.695608626808
dstc2,next,6-d2v,LinearSVC.pen=l2.C=1.000000,0.784515519746,0.654434029094,0.636903696895,0.638969226894
dstc2,next,6-d2v,RBF SVC with C=1.000000,0.814907682468,0.814010430007,0.627592150467,0.647414188709
dstc2,next,6-d2v,LR.pen=l1.C=1.000000,0.838317005672,0.814327280719,0.680917751192,0.705654895953
dstc2,next,6-d2v,LR.pen=l2.C=1.000000,0.813681763029,0.723904055122,0.670299968976,0.686408183213
dstc2,next,6-d2v,LinearSVC.pen=l1.C=4.000000,0.816506279027,0.732654784218,0.667631563493,0.684752826683
dstc2,next,6-d2v,LinearSVC.pen=l2.C=4.000000,0.784169739933,0.653643424259,0.636404672785,0.638387215475
dstc2,next,6-d2v,RBF SVC with C=4.000000,0.836399526607,0.840809777953,0.691687014255,0.724368559706
dstc2,next,6-d2v,LR.pen=l1.C=4.000000,0.831159034805,0.766444203351,0.672142385672,0.692151223398
dstc2,next,6-d2v,LR.pen=l2.C=4.000000,0.813695211682,0.725469006478,0.672916808776,0.689268666172
dstc2,next,6-d2v,LinearSVC.pen=l1.C=8.000000,0.814561902656,0.71725959591,0.660751501383,0.67534692402
dstc2,next,6-d2v,LinearSVC.pen=l2.C=8.000000,0.784178705702,0.651063725439,0.634849484172,0.636377177581
dstc2,next,6-d2v,RBF SVC with C=8.000000,0.838519034327,0.828253102485,0.69363376154,0.724222631109
dstc2,next,6-d2v,LR.pen=l1.C=8.000000,0.828716161695,0.766694054016,0.67030747009,0.690666004851
dstc2,next,6-d2v,LR.pen=l2.C=8.000000,0.8166455473,0.725088530039,0.6760110701,0.690729967521
