dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc3,next,7-d2v,LinearSVC.pen=l1.C=0.062500,0.819725046829,0.782591355821,0.675484790202,0.702677158624
dstc3,next,7-d2v,LR.pen=l1.C=0.062500,0.827794130764,0.804661485233,0.665547652729,0.694927232713
dstc3,next,7-d2v,LinearSVC.pen=l1.C=0.125000,0.815643675854,0.777883955927,0.67570197619,0.702090799713
dstc3,next,7-d2v,LR.pen=l1.C=0.125000,0.825279859067,0.803956359341,0.667299391874,0.696624932745
dstc3,next,7-d2v,LinearSVC.pen=l1.C=0.250000,0.811770247971,0.778192064942,0.670859661853,0.698889666727
dstc3,next,7-d2v,LR.pen=l1.C=0.250000,0.822404335028,0.795210762889,0.670295700556,0.699285463936
dstc3,next,7-d2v,LinearSVC.pen=l1.C=0.500000,0.812257492641,0.776057634062,0.671051827376,0.698232914337
dstc3,next,7-d2v,LR.pen=l1.C=0.500000,0.820043372581,0.782365766161,0.669453327469,0.696899797504
dstc3,next,7-d2v,LinearSVC.pen=l1.C=1.000000,0.810917848542,0.774222226706,0.670856643301,0.697329986835
dstc3,next,7-d2v,LR.pen=l1.C=1.000000,0.81935989207,0.781881050957,0.665770465124,0.692992760433
dstc3,next,7-d2v,LinearSVC.pen=l1.C=2.000000,0.807896820087,0.761154358412,0.665832530205,0.691153913805
dstc3,next,7-d2v,LR.pen=l1.C=2.000000,0.819544420658,0.780812088746,0.664130193462,0.691147308082
dstc3,next,7-d2v,LinearSVC.pen=l1.C=4.000000,0.805190214967,0.747470609642,0.65573826111,0.678255120707
dstc3,next,7-d2v,LR.pen=l1.C=4.000000,0.816841717956,0.785248478441,0.657888299038,0.684056810058
dstc3,next,7-d2v,LinearSVC.pen=l1.C=8.000000,0.799627597895,0.721716454359,0.643179509436,0.662492489717
dstc3,next,7-d2v,LR.pen=l1.C=8.000000,0.815478659352,0.779084300464,0.656458390881,0.681081213752
family,next,7-d2v,LinearSVC.pen=l1.C=0.062500,0.867729784028,0.722003347323,0.650064431086,0.660750516443
family,next,7-d2v,LR.pen=l1.C=0.062500,0.873088272225,0.754530288135,0.652558704814,0.672182802954
family,next,7-d2v,LinearSVC.pen=l1.C=0.125000,0.863776054746,0.711683827165,0.644209679558,0.653648184178
family,next,7-d2v,LR.pen=l1.C=0.125000,0.87168351331,0.747770611237,0.650969430354,0.670786541894
family,next,7-d2v,LinearSVC.pen=l1.C=0.250000,0.863515507283,0.704019970699,0.647313803293,0.655449055313
family,next,7-d2v,LR.pen=l1.C=0.250000,0.87168351331,0.743879160793,0.654852745107,0.672703454048
family,next,7-d2v,LinearSVC.pen=l1.C=0.500000,0.865496295831,0.701870004219,0.650236972669,0.658116386089
family,next,7-d2v,LR.pen=l1.C=0.500000,0.874240331492,0.74696739393,0.662803243181,0.679416007193
family,next,7-d2v,LinearSVC.pen=l1.C=1.000000,0.865756843295,0.715639741641,0.652488551559,0.662626055631
family,next,7-d2v,LR.pen=l1.C=1.000000,0.872535786037,0.744446728342,0.65978183388,0.673450226889
family,next,7-d2v,LinearSVC.pen=l1.C=2.000000,0.869181629834,0.736197053139,0.661883153436,0.674601266838
family,next,7-d2v,LR.pen=l1.C=2.000000,0.870831240583,0.737985421012,0.65610576393,0.669213402386
family,next,7-d2v,LinearSVC.pen=l1.C=4.000000,0.870609932195,0.726156664603,0.665012947141,0.676919846948
family,next,7-d2v,LR.pen=l1.C=4.000000,0.871407270216,0.741132437532,0.6555611151,0.668814894743
family,next,7-d2v,LinearSVC.pen=l1.C=8.000000,0.873695693119,0.735104027979,0.674708930251,0.688875661753
family,next,7-d2v,LR.pen=l1.C=8.000000,0.872259542943,0.744072201409,0.658856456025,0.67292351687
ghome,next,7-d2v,LinearSVC.pen=l1.C=0.062500,0.896436358248,0.668318664198,0.595561788949,0.618679937773
ghome,next,7-d2v,LR.pen=l1.C=0.062500,0.898528820304,0.675550914277,0.593321376861,0.612680942467
ghome,next,7-d2v,LinearSVC.pen=l1.C=0.125000,0.898521411486,0.703331010032,0.612294711268,0.639610055458
ghome,next,7-d2v,LR.pen=l1.C=0.125000,0.898337249423,0.650950003621,0.593023202041,0.611324154378
ghome,next,7-d2v,LinearSVC.pen=l1.C=0.250000,0.897187824136,0.702445164649,0.603923652007,0.630613863531
ghome,next,7-d2v,LR.pen=l1.C=0.250000,0.898329840605,0.67129755907,0.592632190555,0.611719156401
ghome,next,7-d2v,LinearSVC.pen=l1.C=0.500000,0.895441459749,0.674380216712,0.602432585803,0.625656439503
ghome,next,7-d2v,LR.pen=l1.C=0.500000,0.898329840605,0.672734427023,0.594615375538,0.614103954245
ghome,next,7-d2v,LinearSVC.pen=l1.C=1.000000,0.893547977393,0.683677196234,0.603752601563,0.62702347861
ghome,next,7-d2v,LR.pen=l1.C=1.000000,0.899280286192,0.700969499923,0.598305087427,0.619316957429
ghome,next,7-d2v,LinearSVC.pen=l1.C=2.000000,0.892951038293,0.690938147618,0.60202127498,0.6220664843
ghome,next,7-d2v,LR.pen=l1.C=2.000000,0.89849918503,0.700999997177,0.596782640396,0.617803108164
ghome,next,7-d2v,LinearSVC.pen=l1.C=4.000000,0.888191401537,0.680146809783,0.597933553797,0.616921459223
ghome,next,7-d2v,LR.pen=l1.C=4.000000,0.896797273555,0.695442452077,0.592180713515,0.612646140019
ghome,next,7-d2v,LinearSVC.pen=l1.C=8.000000,0.882260113037,0.639129270228,0.58352942843,0.593253531826
ghome,next,7-d2v,LR.pen=l1.C=8.000000,0.894866747105,0.670654777303,0.586531991504,0.604511342601
