dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc3,next,2-lexical,Random forest.#tree=256,0.803045000446,0.806343095636,0.611372467938,0.638656681244
dstc3,next,2-lexical,Random forest.#tree=512,0.80370896887,0.83960141391,0.608065595917,0.635203616625
dstc3,next,2-lexical,Random forest.#tree=1024,0.803716773704,0.838069699661,0.607430477851,0.634046302277
dstc3,next,2-lexical,LinearSVC.pen=l1.C=0.062500,0.818876549817,0.785492724543,0.675789619026,0.70380508888
dstc3,next,2-lexical,LinearSVC.pen=l2.C=0.062500,0.768605053073,0.64611527049,0.617646444226,0.624591370235
dstc3,next,2-lexical,RBF SVC with C=0.062500,0.679143252163,0.334169978315,0.430498406118,0.375079574295
dstc3,next,2-lexical,LR.pen=l1.C=0.062500,0.828976563197,0.808250511326,0.667911210864,0.697761878516
dstc3,next,2-lexical,LR.pen=l2.C=0.062500,0.797796806708,0.750328297146,0.657243262804,0.682400210565
dstc3,next,2-lexical,LinearSVC.pen=l1.C=1.000000,0.811420702881,0.779067953299,0.672987421207,0.700259568458
dstc3,next,2-lexical,LinearSVC.pen=l2.C=1.000000,0.767426523058,0.644904658546,0.616908326537,0.623744122004
dstc3,next,2-lexical,RBF SVC with C=1.000000,0.792737043975,0.80992452375,0.600802897673,0.627411228962
dstc3,next,2-lexical,LR.pen=l1.C=1.000000,0.818527004727,0.777578727604,0.664295016862,0.690666236383
dstc3,next,2-lexical,LR.pen=l2.C=1.000000,0.795266925341,0.731566891647,0.655260204049,0.67703717897
dstc3,next,2-lexical,LinearSVC.pen=l1.C=4.000000,0.805685264472,0.746135543974,0.660699373574,0.68422801592
dstc3,next,2-lexical,LinearSVC.pen=l2.C=4.000000,0.76708868522,0.64533145958,0.617418937877,0.624335871052
dstc3,next,2-lexical,RBF SVC with C=4.000000,0.803873985372,0.789868446526,0.639928661643,0.671018539329
dstc3,next,2-lexical,LR.pen=l1.C=4.000000,0.815824302025,0.778023748678,0.656129822922,0.681388383842
dstc3,next,2-lexical,LR.pen=l2.C=4.000000,0.795098006422,0.728783682857,0.656736963657,0.677916921411
dstc3,next,2-lexical,LinearSVC.pen=l1.C=8.000000,0.798303563464,0.71438941027,0.643635135269,0.661183536712
dstc3,next,2-lexical,LinearSVC.pen=l2.C=8.000000,0.767261506556,0.644791437779,0.616821938722,0.623639997824
dstc3,next,2-lexical,RBF SVC with C=8.000000,0.802864374275,0.784918038261,0.640782498762,0.671752146588
dstc3,next,2-lexical,LR.pen=l1.C=8.000000,0.812618744983,0.775155213147,0.64875512952,0.672000165341
dstc3,next,2-lexical,LR.pen=l2.C=8.000000,0.79510190884,0.72639123835,0.657085422014,0.677682722044
dstc3,next,2-lexical,LinearSVC+L1-FeatSel. C=8.000000,0.792721434306,0.707345104375,0.638485699726,0.654539600259
family,next,2-lexical,Random forest.#tree=256,0.85015538674,0.779633895892,0.597214560042,0.636300378541
family,next,2-lexical,Random forest.#tree=512,0.85467729784,0.792267012427,0.608085280397,0.648453855108
family,next,2-lexical,Random forest.#tree=1024,0.854408902562,0.799013522373,0.608163748696,0.65029386276
family,next,2-lexical,LinearSVC.pen=l1.C=0.062500,0.867169450025,0.712143948025,0.647955303914,0.656911778176
family,next,2-lexical,LinearSVC.pen=l2.C=0.062500,0.757500941738,0.559691495187,0.654372704408,0.591263553681
family,next,2-lexical,RBF SVC with C=0.062500,0.708541562029,0.177135390507,0.25,0.207350159609
family,next,2-lexical,LR.pen=l1.C=0.062500,0.87309612004,0.755012642127,0.652234976,0.672153147987
family,next,2-lexical,LR.pen=l2.C=0.062500,0.846691361125,0.689983423578,0.656865269088,0.664100373691
family,next,2-lexical,LinearSVC.pen=l1.C=1.000000,0.864060145655,0.709627581109,0.648075578233,0.658185463964
family,next,2-lexical,LinearSVC.pen=l2.C=1.000000,0.758605914114,0.560067721988,0.65306261692,0.59143760159
family,next,2-lexical,RBF SVC with C=1.000000,0.842200841286,0.750596989335,0.575508035259,0.599565748981
family,next,2-lexical,LR.pen=l1.C=1.000000,0.87168351331,0.73905740253,0.658089871448,0.672389990043
family,next,2-lexical,LR.pen=l2.C=1.000000,0.833946509292,0.665970154033,0.662591661856,0.655983836839
family,next,2-lexical,LinearSVC.pen=l1.C=4.000000,0.869165934204,0.729545153162,0.659301230176,0.673870383682
family,next,2-lexical,LinearSVC.pen=l2.C=4.000000,0.754352398292,0.55585922547,0.650613870027,0.587130972463
family,next,2-lexical,RBF SVC with C=4.000000,0.862553365143,0.7503466811,0.640758977327,0.673303856534
family,next,2-lexical,LR.pen=l1.C=4.000000,0.871983299849,0.74348900404,0.656805112039,0.670360330282
family,next,2-lexical,LR.pen=l2.C=4.000000,0.82719895781,0.645931864787,0.655689462369,0.64479378081
family,next,2-lexical,LinearSVC.pen=l1.C=8.000000,0.871714904571,0.737263932207,0.668675220585,0.680061926744
family,next,2-lexical,LinearSVC.pen=l2.C=8.000000,0.754944123556,0.558606720154,0.654241988323,0.590094557805
family,next,2-lexical,RBF SVC with C=8.000000,0.86338994224,0.743669522927,0.645372350635,0.676852622934
family,next,2-lexical,LR.pen=l1.C=8.000000,0.872543633852,0.746893457257,0.657840724575,0.673049554634
family,next,2-lexical,LR.pen=l2.C=8.000000,0.814990896534,0.631608199315,0.647340259181,0.632754048176
family,next,2-lexical,LinearSVC+L1-FeatSel. C=8.000000,0.847298782019,0.652907600648,0.652493407109,0.643442843429
ghome,next,2-lexical,Random forest.#tree=256,0.873551575962,0.649453148717,0.529796804684,0.558046339148
ghome,next,2-lexical,Random forest.#tree=512,0.876454774454,0.657474971579,0.537867523984,0.567233271143
ghome,next,2-lexical,Random forest.#tree=1024,0.876270612392,0.622490440377,0.534071440418,0.559748846045
ghome,next,2-lexical,LinearSVC.pen=l1.C=0.062500,0.897570965898,0.666918306741,0.595749604605,0.617501948278
ghome,next,2-lexical,LinearSVC.pen=l2.C=0.062500,0.786638724836,0.532942552173,0.614812740088,0.561842300593
ghome,next,2-lexical,RBF SVC with C=0.062500,0.756791769861,0.189197942465,0.25,0.215387488329
ghome,next,2-lexical,LR.pen=l1.C=0.062500,0.898720391186,0.677143729944,0.593384508174,0.613409628564
ghome,next,2-lexical,LR.pen=l2.C=0.062500,0.878119641837,0.687717579275,0.557024335238,0.581647994742
ghome,next,2-lexical,LinearSVC.pen=l1.C=1.000000,0.896944391524,0.676905661589,0.610839503671,0.631503120932
ghome,next,2-lexical,LinearSVC.pen=l2.C=1.000000,0.783006286912,0.530320792957,0.611139439922,0.558015233508
ghome,next,2-lexical,RBF SVC with C=1.000000,0.870331915074,0.562323282942,0.518453734023,0.530478078923
ghome,next,2-lexical,LR.pen=l1.C=1.000000,0.898506593849,0.676889456535,0.594855830557,0.614423521953
ghome,next,2-lexical,LR.pen=l2.C=1.000000,0.856310196651,0.611314222053,0.607577167883,0.603055484257
ghome,next,2-lexical,LinearSVC.pen=l1.C=4.000000,0.891771977731,0.689791067838,0.609183337368,0.630372002835
ghome,next,2-lexical,LinearSVC.pen=l2.C=4.000000,0.783941914862,0.533231899794,0.614858083935,0.561444563406
ghome,next,2-lexical,RBF SVC with C=4.000000,0.877979932686,0.608319965067,0.542924946734,0.553955348335
ghome,next,2-lexical,LR.pen=l1.C=4.000000,0.898116043268,0.7026526139,0.597123138675,0.618973845444
ghome,next,2-lexical,LR.pen=l2.C=4.000000,0.849980948752,0.603161157826,0.60989590637,0.600066307458
ghome,next,2-lexical,LinearSVC.pen=l1.C=8.000000,0.882879278593,0.680043415774,0.588497380122,0.602005695745
ghome,next,2-lexical,LinearSVC.pen=l2.C=8.000000,0.784317647806,0.532117819569,0.613384088151,0.560025763296
ghome,next,2-lexical,RBF SVC with C=8.000000,0.878738807392,0.626942211072,0.549585688152,0.563380239498
ghome,next,2-lexical,LR.pen=l1.C=8.000000,0.896384496518,0.702133936786,0.593273473744,0.614236736148
ghome,next,2-lexical,LR.pen=l2.C=8.000000,0.848448381702,0.60344945314,0.616656674108,0.605009454313
ghome,next,2-lexical,LinearSVC+L1-FeatSel. C=8.000000,0.867944158676,0.663370421509,0.602589257081,0.606610855956
