dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,7-d2v,LinearSVC.pen=l1.C=0.062500,0.774721612882,0.731594028715,0.572754510967,0.579425617241
dstc2,next,7-d2v,LinearSVC.pen=l2.C=0.062500,0.771587180146,0.686113592055,0.593795858859,0.608297214218
dstc2,next,7-d2v,LR.pen=l1.C=0.062500,0.769467672427,0.651564739966,0.561105008947,0.562854497229
dstc2,next,7-d2v,LR.pen=l2.C=0.062500,0.774735061535,0.711429733173,0.610783490906,0.631484152455
dstc2,next,7-d2v,RBF SVC with C=0.062500,0.732407069807,0.521060041622,0.50538481194,0.492717006403
dstc3,next,7-d2v,LinearSVC.pen=l1.C=0.062500,0.751237623762,0.6971732871,0.561112369277,0.577334158682
dstc3,next,7-d2v,LinearSVC.pen=l2.C=0.062500,0.742669587905,0.654037253485,0.593962860767,0.610974937078
dstc3,next,7-d2v,LR.pen=l1.C=0.062500,0.751249331014,0.744107327098,0.553434143042,0.56742972524
dstc3,next,7-d2v,LR.pen=l2.C=0.062500,0.74349857283,0.663448317709,0.595134780408,0.613533595994
dstc3,next,7-d2v,RBF SVC with C=0.062500,0.70929388547,0.475914672144,0.463188432664,0.40121768536
family,next,7-d2v,LinearSVC.pen=l1.C=0.062500,0.814217101959,0.647901241007,0.552474807779,0.574092488457
family,next,7-d2v,LinearSVC.pen=l2.C=0.062500,0.791781767956,0.587936895986,0.560421936456,0.570573389511
family,next,7-d2v,LR.pen=l1.C=0.062500,0.813878076344,0.633379711972,0.524508601233,0.545940249601
family,next,7-d2v,LR.pen=l2.C=0.062500,0.808251192868,0.620200822675,0.57363856451,0.590268536086
family,next,7-d2v,RBF SVC with C=0.062500,0.717893018584,0.425181922835,0.267029733449,0.240024556463
ghome,next,7-d2v,LinearSVC.pen=l1.C=0.062500,0.850880591012,0.6218919152,0.505342482668,0.532145196026
ghome,next,7-d2v,LinearSVC.pen=l2.C=0.062500,0.841670371076,0.571306440487,0.534565791357,0.548097010555
ghome,next,7-d2v,LR.pen=l1.C=0.062500,0.844978937787,0.603801088377,0.483793831813,0.513379257307
ghome,next,7-d2v,LR.pen=l2.C=0.062500,0.841891577232,0.564099356331,0.521663473426,0.537767944702
ghome,next,7-d2v,RBF SVC with C=0.062500,0.789586376241,0.550073370021,0.322679427446,0.326183426802
