dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,7-d2v,LinearSVC.pen=l1.C=2.000000,0.754302971256,0.619838528152,0.597836749301,0.605623757352
dstc2,next,7-d2v,LinearSVC.pen=l2.C=2.000000,0.734688260222,0.606114462221,0.595907429467,0.598526149453
dstc2,next,7-d2v,LR.pen=l1.C=2.000000,0.765471031601,0.662329249601,0.603121561943,0.618429396372
dstc2,next,7-d2v,LR.pen=l2.C=2.000000,0.754451205298,0.638980593948,0.604150924073,0.614704782596
dstc2,next,7-d2v,RBF SVC with C=2.000000,0.81843272386,0.797008396042,0.670157456891,0.697411732103
dstc3,next,7-d2v,LinearSVC.pen=l1.C=2.000000,0.72045424137,0.592153807795,0.584918968399,0.585650332027
dstc3,next,7-d2v,LinearSVC.pen=l2.C=2.000000,0.688433792704,0.563576887993,0.557482980856,0.558687913778
dstc3,next,7-d2v,LR.pen=l1.C=2.000000,0.732035500847,0.620557852003,0.585480745856,0.595914900502
dstc3,next,7-d2v,LR.pen=l2.C=2.000000,0.712145995005,0.596228598107,0.58531846998,0.58734045744
dstc3,next,7-d2v,RBF SVC with C=2.000000,0.786141401302,0.771888055481,0.614750062616,0.642264420892
family,next,7-d2v,LinearSVC.pen=l1.C=2.000000,0.760902184832,0.538087412433,0.544689929302,0.540105488335
family,next,7-d2v,LinearSVC.pen=l2.C=2.000000,0.748701971371,0.524669592031,0.535143567903,0.528501668704
family,next,7-d2v,LR.pen=l1.C=2.000000,0.783290431944,0.571169762524,0.553769700036,0.559628114812
family,next,7-d2v,LR.pen=l2.C=2.000000,0.760633789553,0.541659839172,0.55286131843,0.544977146226
family,next,7-d2v,RBF SVC with C=2.000000,0.811660283777,0.689787774169,0.522466747602,0.56028222998
ghome,next,7-d2v,LinearSVC.pen=l1.C=2.000000,0.826366927034,0.540186774556,0.537657864616,0.536713957095
ghome,next,7-d2v,LinearSVC.pen=l2.C=2.000000,0.817599119409,0.52322313357,0.53003709401,0.524288421513
ghome,next,7-d2v,LR.pen=l1.C=2.000000,0.836298977583,0.551209997909,0.525792390095,0.533512021792
ghome,next,7-d2v,LR.pen=l2.C=2.000000,0.825409072628,0.543483540428,0.546786502058,0.542949420516
ghome,next,7-d2v,RBF SVC with C=2.000000,0.861313266019,0.631654376978,0.516254433719,0.547065898045
