dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,2-lexical,LinearSVC.pen=l1.C=8.000000,0.728239780518,0.596721850103,0.606499100724,0.599251387176
dstc2,next,2-lexical,LinearSVC.pen=l2.C=8.000000,0.706016030794,0.567055500197,0.598981080428,0.575810402143
dstc2,next,2-lexical,LR.pen=l1.C=8.000000,0.751258495066,0.629274285301,0.606316537591,0.613924810953
dstc2,next,2-lexical,LR.pen=l2.C=8.000000,0.72838801456,0.584360779197,0.601526888157,0.589587360049
dstc2,next,2-lexical,RBF SVC with C=8.000000,0.763908298118,0.674464049244,0.602257529182,0.618543301296
dstc3,next,2-lexical,LinearSVC.pen=l1.C=8.000000,0.686218334671,0.570811859697,0.557916591519,0.56064313403
dstc3,next,2-lexical,LinearSVC.pen=l2.C=8.000000,0.650002229953,0.528640307312,0.538877118465,0.530683316172
dstc3,next,2-lexical,LR.pen=l1.C=8.000000,0.724795401837,0.637990613474,0.580249321909,0.59489271277
dstc3,next,2-lexical,LR.pen=l2.C=8.000000,0.699182164838,0.572374589248,0.58704744594,0.577878819616
dstc3,next,2-lexical,RBF SVC with C=8.000000,0.759675764874,0.664334326084,0.58938322781,0.60522654903
family,next,2-lexical,LinearSVC.pen=l1.C=8.000000,0.820396471622,0.607644177478,0.594710402269,0.598149164416
family,next,2-lexical,LinearSVC.pen=l2.C=8.000000,0.728696320944,0.508403855761,0.553571060083,0.523162069129
family,next,2-lexical,LR.pen=l1.C=8.000000,0.845372928177,0.661852735866,0.618858901116,0.636155767592
family,next,2-lexical,LR.pen=l2.C=8.000000,0.810539615771,0.600462493352,0.591497749288,0.594009432734
family,next,2-lexical,RBF SVC with C=8.000000,0.842831805625,0.678971478457,0.607965603487,0.634943243996
ghome,next,2-lexical,LinearSVC.pen=l1.C=8.000000,0.82397282022,0.545171071504,0.531512286325,0.526965008783
ghome,next,2-lexical,LinearSVC.pen=l2.C=8.000000,0.775763637518,0.519566164335,0.547166949413,0.522433161729
ghome,next,2-lexical,LR.pen=l1.C=8.000000,0.850519675705,0.598683965195,0.53054828237,0.542815178522
ghome,next,2-lexical,LR.pen=l2.C=8.000000,0.833661438158,0.56869591149,0.573792153059,0.566900073629
ghome,next,2-lexical,RBF SVC with C=8.000000,0.863243792468,0.612801771226,0.507648466101,0.513867451377
