dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,2-lexical,LinearSVC.pen=l1.C=0.125000,0.778323162167,0.694109410585,0.632006868526,0.649138159203
dstc2,next,2-lexical,LinearSVC.pen=l2.C=0.125000,0.72766059186,0.587668443878,0.613081994051,0.59624664003
dstc2,next,2-lexical,LR.pen=l1.C=0.125000,0.791480427727,0.736281300905,0.606117351354,0.621225985971
dstc2,next,2-lexical,LR.pen=l2.C=0.125000,0.752821228549,0.624650175489,0.599987729066,0.608699518348
dstc2,next,2-lexical,RBF SVC with C=0.125000,0.659781055928,0.490763170011,0.419193578578,0.37315498119
dstc3,next,2-lexical,LinearSVC.pen=l1.C=0.125000,0.747034162876,0.666089655693,0.599400240639,0.617630698379
dstc3,next,2-lexical,LinearSVC.pen=l2.C=0.125000,0.672901056998,0.549421690538,0.55433684373,0.550186028583
dstc3,next,2-lexical,LR.pen=l1.C=0.125000,0.770985527607,0.731774942106,0.589196044948,0.611845844481
dstc3,next,2-lexical,LR.pen=l2.C=0.125000,0.728307577379,0.628407135305,0.589405169305,0.602023283647
dstc3,next,2-lexical,RBF SVC with C=0.125000,0.573017014539,0.308674063892,0.336848080363,0.293085230897
family,next,2-lexical,LinearSVC.pen=l1.C=0.125000,0.85110183325,0.677810541768,0.62955981403,0.64754499441
family,next,2-lexical,LinearSVC.pen=l2.C=0.125000,0.759268269714,0.539816178114,0.572671547389,0.552111559176
family,next,2-lexical,LR.pen=l1.C=0.125000,0.859269839277,0.69335850834,0.630027513662,0.648616557513
family,next,2-lexical,LR.pen=l2.C=0.125000,0.840574773983,0.649621291856,0.600511460027,0.620811230965
family,next,2-lexical,RBF SVC with C=0.125000,0.708541562029,0.177135390507,0.25,0.207350159609
ghome,next,2-lexical,LinearSVC.pen=l1.C=0.125000,0.861328083656,0.631304654616,0.533802491094,0.556734200774
ghome,next,2-lexical,LinearSVC.pen=l2.C=0.125000,0.793152134798,0.534189930594,0.557629838103,0.53671207217
ghome,next,2-lexical,LR.pen=l1.C=0.125000,0.862868059525,0.624502925409,0.518873826672,0.541672670404
ghome,next,2-lexical,LR.pen=l2.C=0.125000,0.862514553037,0.618390886871,0.527202131927,0.551613445328
ghome,next,2-lexical,RBF SVC with C=0.125000,0.756791769861,0.189197942465,0.25,0.215387488329
