dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,2-lexical,Random forest.#tree=256,0.811759801079,0.796696578402,0.643263067252,0.668545360432
dstc2,next,2-lexical,Random forest.#tree=512,0.816313216141,0.799635549314,0.646139045324,0.671304518501
dstc2,next,2-lexical,Random forest.#tree=1024,0.815442042283,0.798285809037,0.646684595848,0.671837762342
dstc3,next,2-lexical,Random forest.#tree=256,0.784962871287,0.749992746353,0.588707103674,0.606388696975
dstc3,next,2-lexical,Random forest.#tree=512,0.784279390777,0.754554649799,0.58892733262,0.607919448535
dstc3,next,2-lexical,Random forest.#tree=1024,0.786298612969,0.767657845781,0.592026166474,0.612312492425
family,next,2-lexical,Random forest.#tree=256,0.856444625816,0.692434720957,0.629729373177,0.650622696117
family,next,2-lexical,Random forest.#tree=512,0.857573141637,0.694708979241,0.63581126905,0.655398066661
family,next,2-lexical,Random forest.#tree=1024,0.857849384731,0.692811133089,0.633288553496,0.653338985054
ghome,next,2-lexical,Random forest.#tree=256,0.838472936644,0.592291002632,0.510787916279,0.506008296405
ghome,next,2-lexical,Random forest.#tree=512,0.838480345463,0.588907011085,0.509757999095,0.50327825975
ghome,next,2-lexical,Random forest.#tree=1024,0.837714061938,0.584408212121,0.508150678281,0.502616655111
