dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,7-d2v,LinearSVC.pen=l1.C=16.000000,0.748361954059,0.605613177816,0.600231037601,0.602107764022
dstc2,next,7-d2v,LinearSVC.pen=l2.C=16.000000,0.723205800255,0.593950395251,0.588917367025,0.588907942788
dstc2,next,7-d2v,LR.pen=l1.C=16.000000,0.721620652349,0.575308158029,0.571490869519,0.572785534458
dstc2,next,7-d2v,LR.pen=l2.C=16.000000,0.752551657771,0.631203895549,0.602830878784,0.611751008023
dstc2,next,7-d2v,RBF SVC with C=16.000000,0.815630622284,0.751440659425,0.674478539264,0.691794478434
dstc3,next,7-d2v,LinearSVC.pen=l1.C=16.000000,0.711509343502,0.572642948726,0.571732694011,0.569564672934
dstc3,next,7-d2v,LinearSVC.pen=l2.C=16.000000,0.674629270359,0.546934266681,0.544427293896,0.542820250471
dstc3,next,7-d2v,LR.pen=l1.C=16.000000,0.689608420301,0.558791816661,0.561198175896,0.557929784943
dstc3,next,7-d2v,LR.pen=l2.C=16.000000,0.714353648203,0.598480172746,0.589740490234,0.590696415616
dstc3,next,7-d2v,RBF SVC with C=16.000000,0.773515408973,0.702362746461,0.639435784001,0.659749757117
family,next,7-d2v,LinearSVC.pen=l1.C=16.000000,0.756372425917,0.536160793621,0.544351991614,0.538825874671
family,next,7-d2v,LinearSVC.pen=l2.C=16.000000,0.743012305374,0.517619228736,0.532815427859,0.523221046413
family,next,7-d2v,LR.pen=l1.C=16.000000,0.749546396283,0.531576622609,0.542729026623,0.535589008791
family,next,7-d2v,LR.pen=l2.C=16.000000,0.751282332998,0.531181936733,0.550129098226,0.538001544774
family,next,7-d2v,RBF SVC with C=16.000000,0.810216285786,0.639880642876,0.546428900326,0.580719822324
ghome,next,7-d2v,LinearSVC.pen=l1.C=16.000000,0.819485192947,0.526856970668,0.530450080821,0.526466938288
ghome,next,7-d2v,LinearSVC.pen=l2.C=16.000000,0.812043563853,0.522642862307,0.535804822887,0.526568256447
ghome,next,7-d2v,LR.pen=l1.C=16.000000,0.810635888317,0.519929117163,0.529497997433,0.521801805757
ghome,next,7-d2v,LR.pen=l2.C=16.000000,0.819890561165,0.534613662293,0.544161092912,0.537458612388
ghome,next,7-d2v,RBF SVC with C=16.000000,0.862042505451,0.638051120269,0.548582974631,0.57571626599
