dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,2-lexical,LinearSVC.pen=l1.C=0.250000,0.768547186841,0.668344066922,0.632296792543,0.644665864083
dstc2,next,2-lexical,LinearSVC.pen=l2.C=0.250000,0.720861849459,0.582692527774,0.613291729591,0.592266715259
dstc2,next,2-lexical,LR.pen=l1.C=0.250000,0.785530444762,0.732506269508,0.609992600989,0.627143876907
dstc2,next,2-lexical,LR.pen=l2.C=0.250000,0.745290580563,0.610062995723,0.605857624946,0.60715640076
dstc2,next,2-lexical,RBF SVC with C=0.250000,0.708000753125,0.513127205789,0.474068277227,0.458175401303
dstc3,next,2-lexical,LinearSVC.pen=l1.C=0.250000,0.735060431719,0.634271356748,0.594439504927,0.606674243388
dstc3,next,2-lexical,LinearSVC.pen=l2.C=0.250000,0.665645348319,0.541754039537,0.550047682093,0.544035425153
dstc3,next,2-lexical,LR.pen=l1.C=0.250000,0.764747234859,0.711706848057,0.601594096758,0.625249581516
dstc3,next,2-lexical,LR.pen=l2.C=0.250000,0.724453661582,0.617055148619,0.59920306482,0.605495141817
dstc3,next,2-lexical,RBF SVC with C=0.250000,0.713882013201,0.515613588108,0.463134032631,0.404375876232
family,next,2-lexical,LinearSVC.pen=l1.C=0.250000,0.848844801607,0.668279370742,0.624781926793,0.641407833914
family,next,2-lexical,LinearSVC.pen=l2.C=0.250000,0.748780449523,0.528347750867,0.565053956177,0.541689094452
family,next,2-lexical,LR.pen=l1.C=0.250000,0.857865080362,0.691701952756,0.633066326655,0.652083846984
family,next,2-lexical,LR.pen=l2.C=0.250000,0.828090469613,0.627240333914,0.601574537948,0.612766402961
family,next,2-lexical,RBF SVC with C=0.250000,0.709393834756,0.252287148472,0.252332621083,0.211968632259
ghome,next,2-lexical,LinearSVC.pen=l1.C=0.250000,0.857312503969,0.610592119956,0.527965605926,0.548339796139
ghome,next,2-lexical,LinearSVC.pen=l2.C=0.250000,0.785909485405,0.531346304853,0.556392375331,0.533980115275
ghome,next,2-lexical,LR.pen=l1.C=0.250000,0.86056920895,0.619670223412,0.516608950944,0.537738076459
ghome,next,2-lexical,LR.pen=l2.C=0.250000,0.862728350374,0.629575144226,0.540321205025,0.565537385346
ghome,next,2-lexical,RBF SVC with C=0.250000,0.758316928092,0.339777681577,0.253578643579,0.222690940714
